concept,concept_type,domain,name,description,sourceurl
year,time,,,,
age,entity_domain,,,,
gender,entity_domain,,,,
freq,entity_domain,,,,
variant,entity_domain,,,,
geo,entity_domain,,,,
country,entity_set,geo,,,
region,entity_set,geo,,,
continent,entity_set,geo,,,
global,entity_set,geo,,,
agebroad,entity_set,age,,,
age1yearinterval,entity_set,age,,,
age5yearinterval,entity_set,age,,,
name,string,,,,
parent,string,,,,
domain,string,,,,
description,string,,,,
sourceurl,string,,,,
birthper1000population,measure,,"Crude birth rate (births per 1,000 population)","File FERT/3: Crude birth rate by region, subregion and country, 1950-2100 (births per 1,000 population)",https://esa.un.org/unpd/wpp/DVD/
childdependencyratio1564,measure,,,,
childdependencyratio2064,measure,,,,
childdependencyratio2069,measure,,,,
childdependencyratio2564,measure,,,,
childdependencyratio2569,measure,,,,
crudedeathrateper1000population,measure,,"Crude death rate (deaths per 1,000 population)","File MORT/2: Crude death rate by region, subregion and country, 1950-2100 (deaths per 1,000 population)",https://esa.un.org/unpd/wpp/DVD/
dependencyratio1564,measure,,,,
dependencyratio2064,measure,,,,
dependencyratio2069,measure,,,,
dependencyratio2564,measure,,,,
dependencyratio2569,measure,,,,
feminityratio_femaleper100male,measure,,Feminity ratio by broad age group (females per 100 males by age group),"File POP/10-2: Feminity ratio by broad age group, region, subregion and country, 1950-2100 (females per 100 males by age group)",https://esa.un.org/unpd/wpp/DVD/
fertilityrateper1000women,measure,,"Age-specific fertility rates (births per 1,000 women)","File FERT/7: Age-specific fertility rates by region, subregion and country, 1950-2100 (births per 1,000 women)",https://esa.un.org/unpd/wpp/DVD/
infantmortalityper1000livebirth,measure,,"Infant mortality rate, 1q0, for both sexes combined (infant deaths per 1,000 live births)","File MORT/1-1: Infant mortality rate (both sexes combined) by region, subregion and country, 1950-2100 (infant deaths per 1,000 live births)",https://esa.un.org/unpd/wpp/DVD/
lifeexpectancy,measure,,"life expectancy, e(x), at exact age x (years)","life expectancy at exact age, e(x), by major area, region and country, 1950-2100",https://esa.un.org/unpd/wpp/DVD/
lifeexpectancyat15,measure,,life expectancy at age 15 (years),"life expectancy at age 15 by major area, region and country, 1950-2100 (years)",https://esa.un.org/unpd/wpp/DVD/
lifeexpectancyat60,measure,,life expectancy at age 60 (years),"life expectancy at age 60 by major area, region and country, 1950-2100 (years)",https://esa.un.org/unpd/wpp/DVD/
lifeexpectancyat80,measure,,life expectancy at age 80 (years),"life expectancy at age 80 by major area, region and country, 1950-2100 (years)",https://esa.un.org/unpd/wpp/DVD/
lifeexpectancyatbirth,measure,,life expectancy at birth (years),"life expectancy at birth by major area, region and country, 1950-2100 (years)",https://esa.un.org/unpd/wpp/DVD/
meanageforchildbearing,measure,,Mean age of childbearing (years),"File FERT/8: Female mean age of childbearing by region, subregion and country, 1950-2100 (years)",https://esa.un.org/unpd/wpp/DVD/
medianageofpopulation,measure,,Median age of the total population (years),"File POP/5: Median age by region, subregion and country, 1950-2100 (years)",https://esa.un.org/unpd/wpp/DVD/
mortality15to50per1000aliveat15,measure,,"adult mortality between age 15 and 50, 35q15 (deaths under age 50 per 1,000 alive at age 15)","probability of dying between the ages of 15 and 50 years by major area, region and country, 1950-2100 (deaths under age 50 per 1,000 alive at age 15)",https://esa.un.org/unpd/wpp/DVD/
mortality15to60per1000aliveat15,measure,,"adult mortality between age 15 and 60, 45q15 (deaths under age 60 per 1,000 alive at age 15)","probability of dying between the ages of 15 and 60 years by major area, region and country, 1950-2100 (deaths under age 60 per 1,000 alive at age 15)",https://esa.un.org/unpd/wpp/DVD/
netmigrationrateper1000pop,measure,,"Net migration rate (per 1,000 population)","File MIGR/1: Net migration rate by region, subregion and country, 1950-2100 (per 1,000 population)",https://esa.un.org/unpd/wpp/DVD/
netnumberofmigrants,measure,,"Net number of migrants, both sexes combined (thousands)","File MIGR/2: Net number of migrants (both sexes combined) by region, subregion and country, 1950-2100 (thousands)",https://esa.un.org/unpd/wpp/DVD/
netreporductionrate,measure,,Net reproduction rate (surviving daughters per woman),"File FERT/5: Net reproduction rate by region, subregion and country, 1950-2100 (surviving daughters per woman)",https://esa.un.org/unpd/wpp/DVD/
noofbirth,measure,,"Number of births, both sexes combined (thousands)","File FERT/1: Births (both sexes combined) by region, subregion and country, 1950-2100 (thousands)",https://esa.un.org/unpd/wpp/DVD/
noofbirthbymother,measure,,Number of births by five-year age group of mother (thousands),"File FERT/6: Births by five-year age group of mother, region, subregion and country, 1950-2100 (thousands)",https://esa.un.org/unpd/wpp/DVD/
oldagedependencyratio1564,measure,,,,
oldagedependencyratio2064,measure,,,,
oldagedependencyratio2069,measure,,,,
oldagedependencyratio2564,measure,,,,
oldagedependencyratio2569,measure,,,,
percentagetotaldeaths,measure,,Percentage of deaths by age group (per 100 (male/female/all) total population),"Percentage of deaths by age group, major area, region and country, 1950-2100",https://esa.un.org/unpd/wpp/DVD/
percentagetotalpopulation,measure,,,,
population,measure,,population by age group (thousands),"population by age group, major area, region and country, 1950-2100 (thousands)",https://esa.un.org/unpd/wpp/DVD/
populationdensitypersqkm,measure,,"Population density (persons per square km), as of 1 July","File POP/6: Population density by region, subregion and country, 1950-2100 (persons per square km)",https://esa.un.org/unpd/wpp/DVD/
populationgrowthrate,measure,,Average annual rate of population change (percentage),"File POP/2: Average annual rate of population change by region, subregion and country, 1950-2100 (percentage)",https://esa.un.org/unpd/wpp/DVD/
potentialsupport1664_65,measure,,,,
potentialsupport2064_65,measure,,,,
potentialsupport2069_65,measure,,,,
potentialsupport2564_65,measure,,,,
potentialsupport2569_70,measure,,,,
rateofnaturalincreaseper1000population,measure,,"Rate of natural increase (per 1,000 population)","File POP/3: Rate of natural increase by region, subregion and country, 1950-2100 (per 1,000 population)",https://esa.un.org/unpd/wpp/DVD/
sexratio_maleper100female,measure,,Sex ratio by age group (males per 100 females by age group),"Sex ratio by age group, major area, region and country, 1950-2100 (males per 100 females by age group)",https://esa.un.org/unpd/wpp/DVD/
