variant,continent,year,birthper1000population
estimates,935,1950,43.732
estimates,935,1951,43.154
estimates,935,1952,42.089
estimates,935,1953,41.2
estimates,935,1954,40.488
estimates,935,1955,39.952
estimates,935,1956,39.587
estimates,935,1957,39.383
estimates,935,1958,39.322
estimates,935,1959,39.375
estimates,935,1960,39.504
estimates,935,1961,39.666
estimates,935,1962,39.812
estimates,935,1963,39.893
estimates,935,1964,39.873
estimates,935,1965,39.717
estimates,935,1966,39.409
estimates,935,1967,38.967
estimates,935,1968,38.409
estimates,935,1969,37.745
estimates,935,1970,36.973
estimates,935,1971,36.094
estimates,935,1972,35.131
estimates,935,1973,34.119
estimates,935,1974,33.099
estimates,935,1975,32.125
estimates,935,1976,31.249
estimates,935,1977,30.502
estimates,935,1978,29.901
estimates,935,1979,29.455
estimates,935,1980,29.171
estimates,935,1981,29.042
estimates,935,1982,29.022
estimates,935,1983,29.054
estimates,935,1984,29.09
estimates,935,1985,29.064
estimates,935,1986,28.911
estimates,935,1987,28.603
estimates,935,1988,28.131
estimates,935,1989,27.498
estimates,935,1990,26.726
estimates,935,1991,25.859
estimates,935,1992,24.962
estimates,935,1993,24.094
estimates,935,1994,23.291
estimates,935,1995,22.58
estimates,935,1996,21.971
estimates,935,1997,21.447
estimates,935,1998,20.99
estimates,935,1999,20.599
estimates,935,2000,20.268
estimates,935,2001,19.991
estimates,935,2002,19.756
estimates,935,2003,19.55
estimates,935,2004,19.363
estimates,935,2005,19.183
estimates,935,2006,19.003
estimates,935,2007,18.822
estimates,935,2008,18.637
estimates,935,2009,18.442
estimates,935,2010,18.236
estimates,935,2011,18.019
estimates,935,2012,17.792
estimates,935,2013,17.561
estimates,935,2014,17.325
estimates,935,2015,17.084
medium_variant,935,2015,17.084
medium_variant,935,2016,16.838
medium_variant,935,2017,16.588
medium_variant,935,2018,16.334
medium_variant,935,2019,16.08
medium_variant,935,2020,15.828
medium_variant,935,2021,15.58
medium_variant,935,2022,15.339
medium_variant,935,2023,15.106
medium_variant,935,2024,14.884
medium_variant,935,2025,14.674
medium_variant,935,2026,14.475
medium_variant,935,2027,14.287
medium_variant,935,2028,14.108
medium_variant,935,2029,13.939
medium_variant,935,2030,13.779
medium_variant,935,2031,13.629
medium_variant,935,2032,13.488
medium_variant,935,2033,13.355
medium_variant,935,2034,13.231
medium_variant,935,2035,13.114
medium_variant,935,2036,13.005
medium_variant,935,2037,12.902
medium_variant,935,2038,12.806
medium_variant,935,2039,12.714
medium_variant,935,2040,12.626
medium_variant,935,2041,12.541
medium_variant,935,2042,12.458
medium_variant,935,2043,12.376
medium_variant,935,2044,12.294
medium_variant,935,2045,12.211
medium_variant,935,2046,12.127
medium_variant,935,2047,12.042
medium_variant,935,2048,11.955
medium_variant,935,2049,11.868
medium_variant,935,2050,11.78
medium_variant,935,2051,11.691
medium_variant,935,2052,11.602
medium_variant,935,2053,11.515
medium_variant,935,2054,11.429
medium_variant,935,2055,11.346
medium_variant,935,2056,11.266
medium_variant,935,2057,11.19
medium_variant,935,2058,11.118
medium_variant,935,2059,11.05
medium_variant,935,2060,10.988
medium_variant,935,2061,10.93
medium_variant,935,2062,10.876
medium_variant,935,2063,10.827
medium_variant,935,2064,10.781
medium_variant,935,2065,10.739
medium_variant,935,2066,10.701
medium_variant,935,2067,10.665
medium_variant,935,2068,10.632
medium_variant,935,2069,10.602
medium_variant,935,2070,10.573
medium_variant,935,2071,10.545
medium_variant,935,2072,10.518
medium_variant,935,2073,10.491
medium_variant,935,2074,10.465
medium_variant,935,2075,10.438
medium_variant,935,2076,10.411
medium_variant,935,2077,10.383
medium_variant,935,2078,10.355
medium_variant,935,2079,10.327
medium_variant,935,2080,10.297
medium_variant,935,2081,10.267
medium_variant,935,2082,10.237
medium_variant,935,2083,10.206
medium_variant,935,2084,10.174
medium_variant,935,2085,10.143
medium_variant,935,2086,10.112
medium_variant,935,2087,10.081
medium_variant,935,2088,10.051
medium_variant,935,2089,10.022
medium_variant,935,2090,9.994
medium_variant,935,2091,9.968
medium_variant,935,2092,9.943
medium_variant,935,2093,9.92
medium_variant,935,2094,9.899
medium_variant,935,2095,9.879
medium_variant,935,2096,9.861
medium_variant,935,2097,9.845
medium_variant,935,2098,9.83
medium_variant,935,2099,9.818
