country,variant,freq,year,birthper1000population
120,estimates,5yearly,1950,42.329
120,estimates,5yearly,1955,42.248
120,estimates,5yearly,1960,43.582
120,estimates,5yearly,1965,44.582
120,estimates,5yearly,1970,45.051
120,estimates,5yearly,1975,45.48
120,estimates,5yearly,1980,46.33
120,estimates,5yearly,1985,45.584
120,estimates,5yearly,1990,43.619
120,estimates,5yearly,1995,41.702
120,estimates,5yearly,2000,41.029
120,estimates,5yearly,2005,40.182
120,estimates,5yearly,2010,38.152
120,constant_fertility,5yearly,2015,38.127
120,constant_mortality,5yearly,2015,35.527
120,high_variant,5yearly,2015,37.234
120,instant_replacement,5yearly,2015,19.19
120,low_variant,5yearly,2015,33.698
120,medium_variant,5yearly,2015,35.474
120,momentum,5yearly,2015,19.777
120,no_change,5yearly,2015,38.188
120,zero_migration,5yearly,2015,35.474
120,constant_fertility,5yearly,2020,37.79
120,constant_mortality,5yearly,2020,33.339
120,high_variant,5yearly,2020,35.718
120,instant_replacement,5yearly,2020,20.164
120,low_variant,5yearly,2020,30.528
120,medium_variant,5yearly,2020,33.162
120,momentum,5yearly,2020,21.289
120,no_change,5yearly,2020,38.01
120,zero_migration,5yearly,2020,33.162
120,constant_fertility,5yearly,2025,37.303
120,constant_mortality,5yearly,2025,31.53
120,high_variant,5yearly,2025,34.109
120,instant_replacement,5yearly,2025,21.078
120,low_variant,5yearly,2025,28.103
120,medium_variant,5yearly,2025,31.192
120,momentum,5yearly,2025,22.719
120,no_change,5yearly,2025,37.745
120,zero_migration,5yearly,2025,31.192
120,constant_fertility,5yearly,2030,36.78
120,constant_mortality,5yearly,2030,29.974
120,high_variant,5yearly,2030,32.145
120,instant_replacement,5yearly,2030,21.183
120,low_variant,5yearly,2030,26.606
120,medium_variant,5yearly,2030,29.482
120,momentum,5yearly,2030,23.277
120,no_change,5yearly,2030,37.438
120,zero_migration,5yearly,2030,29.482
120,constant_fertility,5yearly,2035,36.424
120,constant_mortality,5yearly,2035,28.463
120,high_variant,5yearly,2035,30.562
