country,variant,freq,year,birthper1000population
694,estimates,5Yearly,1950,46.282
694,estimates,5Yearly,1955,46.175
694,estimates,5Yearly,1960,46.045
694,estimates,5Yearly,1965,45.873
694,estimates,5Yearly,1970,46
694,estimates,5Yearly,1975,46.373
694,estimates,5Yearly,1980,46.714
694,estimates,5Yearly,1985,46.711
694,estimates,5Yearly,1990,46.007
694,estimates,5Yearly,1995,45.146
694,estimates,5Yearly,2000,43.846
694,estimates,5Yearly,2005,41.274
694,estimates,5Yearly,2010,36.94
694,constant-fertility,5Yearly,2015,37.389
694,constant-mortality,5Yearly,2015,34.239
694,high variant,5Yearly,2015,36.019
694,instant-replacement,5Yearly,2015,21.217
694,low variant,5Yearly,2015,32.332
694,medium variant,5Yearly,2015,34.184
694,no change,5Yearly,2015,37.453
694,zero-migration,5Yearly,2015,34.185
694,constant-fertility,5Yearly,2020,37.45
694,constant-mortality,5Yearly,2020,31.619
694,high variant,5Yearly,2020,34.195
694,instant-replacement,5Yearly,2020,22.344
694,low variant,5Yearly,2020,28.596
694,medium variant,5Yearly,2020,31.439
694,no change,5Yearly,2020,37.686
694,zero-migration,5Yearly,2020,31.44
694,constant-fertility,5Yearly,2025,37.019
694,constant-mortality,5Yearly,2025,29.352
694,high variant,5Yearly,2025,32.27
694,instant-replacement,5Yearly,2025,23.175
694,low variant,5Yearly,2025,25.592
694,medium variant,5Yearly,2025,29.033
694,no change,5Yearly,2025,37.478
694,zero-migration,5Yearly,2025,29.032
694,constant-fertility,5Yearly,2030,36.305
694,constant-mortality,5Yearly,2030,27.305
694,high variant,5Yearly,2030,29.923
694,instant-replacement,5Yearly,2030,22.913
694,low variant,5Yearly,2030,23.588
694,medium variant,5Yearly,2030,26.885
694,no change,5Yearly,2030,36.948
694,zero-migration,5Yearly,2030,26.884
694,constant-fertility,5Yearly,2035,35.771
694,constant-mortality,5Yearly,2035,25.351
694,high variant,5Yearly,2035,28.021
694,instant-replacement,5Yearly,2035,21.214
694,low variant,5Yearly,2035,21.518
694,medium variant,5Yearly,2035,24.896
694,no change,5Yearly,2035,36.514
694,zero-migration,5Yearly,2035,24.895
694,constant-fertility,5Yearly,2040,35.534
694,constant-mortality,5Yearly,2040,23.503
694,high variant,5Yearly,2040,26.503
694,instant-replacement,5Yearly,2040,18.98
694,low variant,5Yearly,2040,19.423
694,medium variant,5Yearly,2040,23.065
694,no change,5Yearly,2040,36.318
694,zero-migration,5Yearly,2040,23.065
694,constant-fertility,5Yearly,2045,35.442
694,constant-mortality,5Yearly,2045,21.86
694,high variant,5Yearly,2045,25.234
694,instant-replacement,5Yearly,2045,17.407
694,low variant,5Yearly,2045,17.502
694,medium variant,5Yearly,2045,21.451
694,no change,5Yearly,2045,36.259
694,zero-migration,5Yearly,2045,21.451
694,constant-fertility,5Yearly,2050,35.373
694,constant-mortality,5Yearly,2050,20.379
694,high variant,5Yearly,2050,23.993
694,instant-replacement,5Yearly,2050,16.761
694,low variant,5Yearly,2050,15.813
694,medium variant,5Yearly,2050,19.984
694,no change,5Yearly,2050,36.236
694,zero-migration,5Yearly,2050,19.984
694,constant-fertility,5Yearly,2055,35.288
694,constant-mortality,5Yearly,2055,19.122
694,high variant,5Yearly,2055,22.808
694,instant-replacement,5Yearly,2055,16.643
694,low variant,5Yearly,2055,14.452
694,medium variant,5Yearly,2055,18.72
694,no change,5Yearly,2055,36.204
694,zero-migration,5Yearly,2055,18.72
694,constant-fertility,5Yearly,2060,35.202
694,constant-mortality,5Yearly,2060,18
694,high variant,5Yearly,2060,21.688
694,instant-replacement,5Yearly,2060,16.444
694,low variant,5Yearly,2060,13.291
694,medium variant,5Yearly,2060,17.583
