variant,country,year,birthper1000population
estimates,328,1950,40.826
estimates,328,1951,41.074
estimates,328,1952,41.484
estimates,328,1953,41.723
estimates,328,1954,41.79
estimates,328,1955,41.687
estimates,328,1956,41.419
estimates,328,1957,40.995
estimates,328,1958,40.434
estimates,328,1959,39.765
estimates,328,1960,39.024
estimates,328,1961,38.255
estimates,328,1962,37.504
estimates,328,1963,36.817
estimates,328,1964,36.229
estimates,328,1965,35.773
estimates,328,1966,35.468
estimates,328,1967,35.296
estimates,328,1968,35.227
estimates,328,1969,35.243
estimates,328,1970,35.31
estimates,328,1971,35.389
estimates,328,1972,35.448
estimates,328,1973,35.462
estimates,328,1974,35.418
estimates,328,1975,35.318
estimates,328,1976,35.178
estimates,328,1977,35.028
estimates,328,1978,34.887
estimates,328,1979,34.762
estimates,328,1980,34.651
estimates,328,1981,34.548
estimates,328,1982,34.441
estimates,328,1983,34.317
estimates,328,1984,34.167
estimates,328,1985,33.993
estimates,328,1986,33.796
estimates,328,1987,33.578
estimates,328,1988,33.333
estimates,328,1989,33.052
estimates,328,1990,32.713
estimates,328,1991,32.293
estimates,328,1992,31.782
estimates,328,1993,31.178
estimates,328,1994,30.487
estimates,328,1995,29.725
estimates,328,1996,28.915
estimates,328,1997,28.084
estimates,328,1998,27.255
estimates,328,1999,26.442
estimates,328,2000,25.64
estimates,328,2001,24.834
estimates,328,2002,24.011
estimates,328,2003,23.173
estimates,328,2004,22.336
estimates,328,2005,21.528
estimates,328,2006,20.781
estimates,328,2007,20.123
estimates,328,2008,19.58
estimates,328,2009,19.164
estimates,328,2010,18.891
estimates,328,2011,18.77
estimates,328,2012,18.777
estimates,328,2013,18.885
estimates,328,2014,19.065
estimates,328,2015,19.288
medium_variant,328,2015,19.288
medium_variant,328,2016,19.524
medium_variant,328,2017,19.746
medium_variant,328,2018,19.928
medium_variant,328,2019,20.048
medium_variant,328,2020,20.088
medium_variant,328,2021,20.039
medium_variant,328,2022,19.914
medium_variant,328,2023,19.727
medium_variant,328,2024,19.486
medium_variant,328,2025,19.196
medium_variant,328,2026,18.867
medium_variant,328,2027,18.512
medium_variant,328,2028,18.143
medium_variant,328,2029,17.773
medium_variant,328,2030,17.411
medium_variant,328,2031,17.065
medium_variant,328,2032,16.734
medium_variant,328,2033,16.421
medium_variant,328,2034,16.129
medium_variant,328,2035,15.862
medium_variant,328,2036,15.623
medium_variant,328,2037,15.407
medium_variant,328,2038,15.214
medium_variant,328,2039,15.041
medium_variant,328,2040,14.89
medium_variant,328,2041,14.761
medium_variant,328,2042,14.651
medium_variant,328,2043,14.557
medium_variant,328,2044,14.475
medium_variant,328,2045,14.401
medium_variant,328,2046,14.33
medium_variant,328,2047,14.259
medium_variant,328,2048,14.184
medium_variant,328,2049,14.103
medium_variant,328,2050,14.012
medium_variant,328,2051,13.91
medium_variant,328,2052,13.799
medium_variant,328,2053,13.681
medium_variant,328,2054,13.556
medium_variant,328,2055,13.425
medium_variant,328,2056,13.288
medium_variant,328,2057,13.147
medium_variant,328,2058,13.003
medium_variant,328,2059,12.859
medium_variant,328,2060,12.716
medium_variant,328,2061,12.574
medium_variant,328,2062,12.435
medium_variant,328,2063,12.299
medium_variant,328,2064,12.168
medium_variant,328,2065,12.044
medium_variant,328,2066,11.926
medium_variant,328,2067,11.817
medium_variant,328,2068,11.715
medium_variant,328,2069,11.62
medium_variant,328,2070,11.535
medium_variant,328,2071,11.457
medium_variant,328,2072,11.387
medium_variant,328,2073,11.324
medium_variant,328,2074,11.267
medium_variant,328,2075,11.214
medium_variant,328,2076,11.167
medium_variant,328,2077,11.124
medium_variant,328,2078,11.084
medium_variant,328,2079,11.046
medium_variant,328,2080,11.009
medium_variant,328,2081,10.973
medium_variant,328,2082,10.937
medium_variant,328,2083,10.901
medium_variant,328,2084,10.864
medium_variant,328,2085,10.825
medium_variant,328,2086,10.783
medium_variant,328,2087,10.739
medium_variant,328,2088,10.692
medium_variant,328,2089,10.644
medium_variant,328,2090,10.593
medium_variant,328,2091,10.542
medium_variant,328,2092,10.49
medium_variant,328,2093,10.439
medium_variant,328,2094,10.389
medium_variant,328,2095,10.34
medium_variant,328,2096,10.292
medium_variant,328,2097,10.245
medium_variant,328,2098,10.2
medium_variant,328,2099,10.157
