region,variant,freq,year,birthper1000population
5500,estimates,5yearly,1950,37.231
5500,estimates,5yearly,1955,40.464
5500,estimates,5yearly,1960,39.669
5500,estimates,5yearly,1965,33.612
5500,estimates,5yearly,1970,32.483
5500,estimates,5yearly,1975,31.962
5500,estimates,5yearly,1980,32.752
5500,estimates,5yearly,1985,32.953
5500,estimates,5yearly,1990,29.135
5500,estimates,5yearly,1995,23.471
5500,estimates,5yearly,2000,20.937
5500,estimates,5yearly,2005,23.236
5500,estimates,5yearly,2010,24.158
5500,constant_fertility,5yearly,2015,23.043
5500,constant_mortality,5yearly,2015,21.808
5500,high_variant,5yearly,2015,23.809
5500,instant_replacement,5yearly,2015,18.511
5500,low_variant,5yearly,2015,19.762
5500,medium_variant,5yearly,2015,21.796
5500,momentum,5yearly,2015,18.628
5500,no_change,5yearly,2015,23.055
5500,zero_migration,5yearly,2015,21.826
5500,constant_fertility,5yearly,2020,20.882
5500,constant_mortality,5yearly,2020,19.006
5500,high_variant,5yearly,2020,21.718
5500,instant_replacement,5yearly,2020,17.093
5500,low_variant,5yearly,2020,16.118
5500,medium_variant,5yearly,2020,18.967
5500,momentum,5yearly,2020,17.325
5500,no_change,5yearly,2020,20.927
5500,zero_migration,5yearly,2020,19.045
5500,constant_fertility,5yearly,2025,19.407
5500,constant_mortality,5yearly,2025,17.015
5500,high_variant,5yearly,2025,19.935
5500,instant_replacement,5yearly,2025,16.018
5500,low_variant,5yearly,2025,13.735
5500,medium_variant,5yearly,2025,16.936
5500,momentum,5yearly,2025,16.34
5500,no_change,5yearly,2025,19.499
5500,zero_migration,5yearly,2025,17.036
5500,constant_fertility,5yearly,2030,19.355
5500,constant_mortality,5yearly,2030,16.307
5500,high_variant,5yearly,2030,18.919
5500,instant_replacement,5yearly,2030,15.835
5500,low_variant,5yearly,2030,13.162
5500,medium_variant,5yearly,2030,16.172
5500,momentum,5yearly,2030,16.235
5500,no_change,5yearly,2030,19.518
5500,zero_migration,5yearly,2030,16.257
5500,constant_fertility,5yearly,2035,19.907
5500,constant_mortality,5yearly,2035,16.25
5500,high_variant,5yearly,2035,18.914
