variant,region,year,birthper1000population
estimates,916,1950,49.009
estimates,916,1951,48.931
estimates,916,1952,48.756
estimates,916,1953,48.544
estimates,916,1954,48.294
estimates,916,1955,48.007
estimates,916,1956,47.685
estimates,916,1957,47.329
estimates,916,1958,46.945
estimates,916,1959,46.541
estimates,916,1960,46.126
estimates,916,1961,45.712
estimates,916,1962,45.313
estimates,916,1963,44.939
estimates,916,1964,44.602
estimates,916,1965,44.327
estimates,916,1966,44.139
estimates,916,1967,44.032
estimates,916,1968,43.983
estimates,916,1969,43.955
estimates,916,1970,43.883
estimates,916,1971,43.69
estimates,916,1972,43.327
estimates,916,1973,42.765
estimates,916,1974,42.006
estimates,916,1975,41.075
estimates,916,1976,40.018
estimates,916,1977,38.914
estimates,916,1978,37.831
estimates,916,1979,36.809
estimates,916,1980,35.878
estimates,916,1981,35.049
estimates,916,1982,34.304
estimates,916,1983,33.625
estimates,916,1984,33.007
estimates,916,1985,32.445
estimates,916,1986,31.932
estimates,916,1987,31.455
estimates,916,1988,31
estimates,916,1989,30.558
estimates,916,1990,30.12
estimates,916,1991,29.68
estimates,916,1992,29.238
estimates,916,1993,28.795
estimates,916,1994,28.345
estimates,916,1995,27.886
estimates,916,1996,27.418
estimates,916,1997,26.943
estimates,916,1998,26.462
estimates,916,1999,25.975
estimates,916,2000,25.481
estimates,916,2001,24.978
estimates,916,2002,24.466
estimates,916,2003,23.951
estimates,916,2004,23.437
estimates,916,2005,22.938
estimates,916,2006,22.464
estimates,916,2007,22.023
estimates,916,2008,21.618
estimates,916,2009,21.249
estimates,916,2010,20.911
estimates,916,2011,20.596
estimates,916,2012,20.29
estimates,916,2013,19.983
estimates,916,2014,19.671
estimates,916,2015,19.352
medium_variant,916,2015,19.352
medium_variant,916,2016,19.025
medium_variant,916,2017,18.696
medium_variant,916,2018,18.369
medium_variant,916,2019,18.046
medium_variant,916,2020,17.727
medium_variant,916,2021,17.411
medium_variant,916,2022,17.099
medium_variant,916,2023,16.791
medium_variant,916,2024,16.487
medium_variant,916,2025,16.19
medium_variant,916,2026,15.899
medium_variant,916,2027,15.616
medium_variant,916,2028,15.342
medium_variant,916,2029,15.078
medium_variant,916,2030,14.823
medium_variant,916,2031,14.579
medium_variant,916,2032,14.345
medium_variant,916,2033,14.12
medium_variant,916,2034,13.904
medium_variant,916,2035,13.698
medium_variant,916,2036,13.501
medium_variant,916,2037,13.314
medium_variant,916,2038,13.135
medium_variant,916,2039,12.964
medium_variant,916,2040,12.801
medium_variant,916,2041,12.645
medium_variant,916,2042,12.494
medium_variant,916,2043,12.349
medium_variant,916,2044,12.209
medium_variant,916,2045,12.073
medium_variant,916,2046,11.942
medium_variant,916,2047,11.814
medium_variant,916,2048,11.691
medium_variant,916,2049,11.571
medium_variant,916,2050,11.455
medium_variant,916,2051,11.34
medium_variant,916,2052,11.228
medium_variant,916,2053,11.119
medium_variant,916,2054,11.011
medium_variant,916,2055,10.906
medium_variant,916,2056,10.804
medium_variant,916,2057,10.705
medium_variant,916,2058,10.611
medium_variant,916,2059,10.521
medium_variant,916,2060,10.435
medium_variant,916,2061,10.353
medium_variant,916,2062,10.275
medium_variant,916,2063,10.2
medium_variant,916,2064,10.127
medium_variant,916,2065,10.058
medium_variant,916,2066,9.992
medium_variant,916,2067,9.929
medium_variant,916,2068,9.87
medium_variant,916,2069,9.814
medium_variant,916,2070,9.762
medium_variant,916,2071,9.713
medium_variant,916,2072,9.666
medium_variant,916,2073,9.623
medium_variant,916,2074,9.581
medium_variant,916,2075,9.542
medium_variant,916,2076,9.504
medium_variant,916,2077,9.468
medium_variant,916,2078,9.433
medium_variant,916,2079,9.4
medium_variant,916,2080,9.367
medium_variant,916,2081,9.336
medium_variant,916,2082,9.307
medium_variant,916,2083,9.279
medium_variant,916,2084,9.252
medium_variant,916,2085,9.226
medium_variant,916,2086,9.202
medium_variant,916,2087,9.179
medium_variant,916,2088,9.156
medium_variant,916,2089,9.135
medium_variant,916,2090,9.114
medium_variant,916,2091,9.094
medium_variant,916,2092,9.075
medium_variant,916,2093,9.056
medium_variant,916,2094,9.039
medium_variant,916,2095,9.023
medium_variant,916,2096,9.008
medium_variant,916,2097,8.995
medium_variant,916,2098,8.982
medium_variant,916,2099,8.97
