variant,global,year,gender,childdependencyratio1564
estimates,900,1950,male,57.999
estimates,900,1951,male,58.834
estimates,900,1952,male,59.605
estimates,900,1953,male,60.241
estimates,900,1954,male,60.747
estimates,900,1955,male,61.192
estimates,900,1956,male,62.316
estimates,900,1957,male,63.188
estimates,900,1958,male,63.948
estimates,900,1959,male,64.678
estimates,900,1960,male,65.378
estimates,900,1961,male,65.969
estimates,900,1962,male,66.671
estimates,900,1963,male,67.317
estimates,900,1964,male,67.687
estimates,900,1965,male,67.713
estimates,900,1966,male,68.049
estimates,900,1967,male,67.946
estimates,900,1968,male,67.56
estimates,900,1969,male,67.115
estimates,900,1970,male,66.711
estimates,900,1971,male,66.503
estimates,900,1972,male,66.254
estimates,900,1973,male,65.941
estimates,900,1974,male,65.481
estimates,900,1975,male,64.832
estimates,900,1976,male,64.29
estimates,900,1977,male,63.545
estimates,900,1978,male,62.65
estimates,900,1979,male,61.693
estimates,900,1980,male,60.735
estimates,900,1981,male,59.856
estimates,900,1982,male,59.041
estimates,900,1983,male,58.265
estimates,900,1984,male,57.499
estimates,900,1985,male,56.746
estimates,900,1986,male,56.352
estimates,900,1987,male,55.916
estimates,900,1988,male,55.465
estimates,900,1989,male,55.01
estimates,900,1990,male,54.536
estimates,900,1991,male,54.336
estimates,900,1992,male,53.962
estimates,900,1993,male,53.471
estimates,900,1994,male,52.932
estimates,900,1995,male,52.363
estimates,900,1996,male,51.633
estimates,900,1997,male,50.98
estimates,900,1998,male,50.319
estimates,900,1999,male,49.547
estimates,900,2000,male,48.64
estimates,900,2001,male,47.837
estimates,900,2002,male,46.927
estimates,900,2003,male,45.966
estimates,900,2004,male,45.049
estimates,900,2005,male,44.228
estimates,900,2006,male,43.619
estimates,900,2007,male,43.058
estimates,900,2008,male,42.562
estimates,900,2009,male,42.132
estimates,900,2010,male,41.762
estimates,900,2011,male,41.496
estimates,900,2012,male,41.27
estimates,900,2013,male,41.075
estimates,900,2014,male,40.895
estimates,900,2015,male,40.717
medium_variant,900,2015,male,40.717
medium_variant,900,2016,male,40.586
medium_variant,900,2017,male,40.442
medium_variant,900,2018,male,40.278
medium_variant,900,2019,male,40.086
medium_variant,900,2020,male,39.864
medium_variant,900,2021,male,39.653
medium_variant,900,2022,male,39.413
medium_variant,900,2023,male,39.145
medium_variant,900,2024,male,38.856
medium_variant,900,2025,male,38.55
medium_variant,900,2026,male,38.286
medium_variant,900,2027,male,38.003
medium_variant,900,2028,male,37.707
medium_variant,900,2029,male,37.407
medium_variant,900,2030,male,37.11
medium_variant,900,2031,male,36.874
medium_variant,900,2032,male,36.636
medium_variant,900,2033,male,36.399
medium_variant,900,2034,male,36.167
medium_variant,900,2035,male,35.941
medium_variant,900,2036,male,35.774
medium_variant,900,2037,male,35.609
medium_variant,900,2038,male,35.445
medium_variant,900,2039,male,35.28
