variant,global,year,childdependencyratio1564
estimates,900,1950,56.713
estimates,900,1951,57.57
estimates,900,1952,58.323
estimates,900,1953,58.94
estimates,900,1954,59.449
estimates,900,1955,59.916
estimates,900,1956,60.999
estimates,900,1957,61.873
estimates,900,1958,62.656
estimates,900,1959,63.403
estimates,900,1960,64.102
estimates,900,1961,64.716
estimates,900,1962,65.402
estimates,900,1963,66.021
estimates,900,1964,66.399
estimates,900,1965,66.481
estimates,900,1966,66.818
estimates,900,1967,66.785
estimates,900,1968,66.508
estimates,900,1969,66.168
estimates,900,1970,65.844
estimates,900,1971,65.709
estimates,900,1972,65.5
estimates,900,1973,65.211
estimates,900,1974,64.785
estimates,900,1975,64.19
estimates,900,1976,63.664
estimates,900,1977,62.959
estimates,900,1978,62.115
estimates,900,1979,61.2
estimates,900,1980,60.264
estimates,900,1981,59.381
estimates,900,1982,58.544
estimates,900,1983,57.737
estimates,900,1984,56.944
estimates,900,1985,56.175
estimates,900,1986,55.753
estimates,900,1987,55.299
estimates,900,1988,54.836
estimates,900,1989,54.371
estimates,900,1990,53.889
estimates,900,1991,53.675
estimates,900,1992,53.293
estimates,900,1993,52.801
estimates,900,1994,52.258
estimates,900,1995,51.681
estimates,900,1996,50.954
estimates,900,1997,50.278
estimates,900,1998,49.582
estimates,900,1999,48.781
estimates,900,2000,47.86
estimates,900,2001,47.022
estimates,900,2002,46.103
estimates,900,2003,45.143
estimates,900,2004,44.212
estimates,900,2005,43.355
estimates,900,2006,42.708
estimates,900,2007,42.088
estimates,900,2008,41.525
estimates,900,2009,41.041
estimates,900,2010,40.643
estimates,900,2011,40.356
estimates,900,2012,40.138
estimates,900,2013,39.977
estimates,900,2014,39.84
estimates,900,2015,39.702
medium_variant,900,2015,39.702
medium_variant,900,2016,39.626
medium_variant,900,2017,39.527
medium_variant,900,2018,39.403
medium_variant,900,2019,39.256
medium_variant,900,2020,39.086
medium_variant,900,2021,38.913
medium_variant,900,2022,38.716
medium_variant,900,2023,38.491
medium_variant,900,2024,38.24
medium_variant,900,2025,37.965
medium_variant,900,2026,37.71
medium_variant,900,2027,37.438
medium_variant,900,2028,37.151
medium_variant,900,2029,36.858
medium_variant,900,2030,36.567
medium_variant,900,2031,36.336
medium_variant,900,2032,36.101
medium_variant,900,2033,35.87
medium_variant,900,2034,35.649
medium_variant,900,2035,35.442
medium_variant,900,2036,35.296
medium_variant,900,2037,35.157
medium_variant,900,2038,35.025
medium_variant,900,2039,34.897
medium_variant,900,2040,34.77
medium_variant,900,2041,34.682
medium_variant,900,2042,34.589
medium_variant,900,2043,34.494
medium_variant,900,2044,34.402
medium_variant,900,2045,34.313
medium_variant,900,2046,34.26
medium_variant,900,2047,34.203
medium_variant,900,2048,34.143
medium_variant,900,2049,34.081
medium_variant,900,2050,34.02
medium_variant,900,2051,33.988
medium_variant,900,2052,33.951
medium_variant,900,2053,33.906
medium_variant,900,2054,33.844
medium_variant,900,2055,33.762
medium_variant,900,2056,33.692
medium_variant,900,2057,33.6
medium_variant,900,2058,33.489
medium_variant,900,2059,33.363
medium_variant,900,2060,33.225
medium_variant,900,2061,33.102
medium_variant,900,2062,32.967
medium_variant,900,2063,32.824
medium_variant,900,2064,32.676
medium_variant,900,2065,32.529
medium_variant,900,2066,32.413
medium_variant,900,2067,32.295
medium_variant,900,2068,32.177
medium_variant,900,2069,32.063
medium_variant,900,2070,31.953
medium_variant,900,2071,31.876
medium_variant,900,2072,31.8
medium_variant,900,2073,31.726
medium_variant,900,2074,31.654
medium_variant,900,2075,31.584
medium_variant,900,2076,31.539
medium_variant,900,2077,31.493
medium_variant,900,2078,31.443
medium_variant,900,2079,31.389
medium_variant,900,2080,31.33
medium_variant,900,2081,31.286
medium_variant,900,2082,31.233
medium_variant,900,2083,31.172
medium_variant,900,2084,31.103
medium_variant,900,2085,31.025
medium_variant,900,2086,30.958
medium_variant,900,2087,30.882
medium_variant,900,2088,30.797
medium_variant,900,2089,30.705
medium_variant,900,2090,30.607
medium_variant,900,2091,30.524
medium_variant,900,2092,30.434
medium_variant,900,2093,30.338
medium_variant,900,2094,30.24
medium_variant,900,2095,30.14
medium_variant,900,2096,30.058
medium_variant,900,2097,29.974
medium_variant,900,2098,29.888
medium_variant,900,2099,29.803
medium_variant,900,2100,29.718
high_variant,900,2015,39.7018901063986
low_variant,900,2015,39.7018901063986
constant_fertility,900,2015,39.7018901063986
instant_replacement,900,2015,39.7018901063986
zero_migration,900,2015,39.7018901063986
constant_mortality,900,2015,39.7018901063986
no_change,900,2015,39.7018901063986
high_variant,900,2020,40.4592432590052
low_variant,900,2020,37.7101837698348
constant_fertility,900,2020,39.6879175975588
instant_replacement,900,2020,37.7776411612553
zero_migration,900,2020,39.0722097494056
constant_mortality,900,2020,39.0209621039473
no_change,900,2020,39.61816609577
high_variant,900,2025,41.3840779956255
low_variant,900,2025,34.5439962085707
constant_fertility,900,2025,39.7659708165421
instant_replacement,900,2025,35.5615356992901
zero_migration,900,2025,37.9459711321713
constant_mortality,900,2025,37.7791120425744
no_change,900,2025,39.5543785087403
high_variant,900,2030,42.4091171334035
low_variant,900,2030,30.7223289300795
constant_fertility,900,2030,40.1507622049532
instant_replacement,900,2030,33.230733342928
zero_migration,900,2030,36.5572293571188
constant_mortality,900,2030,36.2266832907939
no_change,900,2030,39.740324519943
high_variant,900,2035,41.9540479028535
low_variant,900,2035,28.7836753136882
constant_fertility,900,2035,40.7107773078476
instant_replacement,900,2035,32.692795198535
zero_migration,900,2035,35.4552852566351
constant_mortality,900,2035,34.9954732495866
no_change,900,2035,40.1281839897634
high_variant,900,2040,41.2741157148225
low_variant,900,2040,27.9811358580685
constant_fertility,900,2040,41.7233098875942
instant_replacement,900,2040,32.3700441680252
zero_migration,900,2040,34.7878848888013
constant_mortality,900,2040,34.2408700183592
no_change,900,2040,40.9665848391206
high_variant,900,2045,40.7459479378037
low_variant,900,2045,27.6154242910707
constant_fertility,900,2045,43.0838065791392
instant_replacement,900,2045,31.9718979623587
zero_migration,900,2045,34.3282478710888
constant_mortality,900,2045,33.7045506237366
no_change,900,2045,42.1202319413191
high_variant,900,2050,40.975349734384
low_variant,900,2050,26.987209248479
constant_fertility,900,2050,44.8829238987794
instant_replacement,900,2050,31.6375983778465
zero_migration,900,2050,34.0354438236448
