variant,continent,year,childdependencyratio2064
estimates,935,1950,94.081
estimates,935,1951,95.385
estimates,935,1952,96.889
estimates,935,1953,98.039
estimates,935,1954,98.648
estimates,935,1955,98.854
estimates,935,1956,100.197
estimates,935,1957,100.77
estimates,935,1958,101.099
estimates,935,1959,101.635
estimates,935,1960,102.529
estimates,935,1961,103.378
estimates,935,1962,104.827
estimates,935,1963,106.55
estimates,935,1964,108.086
estimates,935,1965,109.251
estimates,935,1966,110.995
estimates,935,1967,112.283
estimates,935,1968,113.123
estimates,935,1969,113.532
estimates,935,1970,113.487
estimates,935,1971,113.352
estimates,935,1972,112.565
estimates,935,1973,111.389
estimates,935,1974,110.094
estimates,935,1975,108.816
estimates,935,1976,107.752
estimates,935,1977,106.622
estimates,935,1978,105.393
estimates,935,1979,104.035
estimates,935,1980,102.554
estimates,935,1981,101.005
estimates,935,1982,99.545
estimates,935,1983,98.066
estimates,935,1984,96.459
estimates,935,1985,94.714
estimates,935,1986,93.391
estimates,935,1987,91.901
estimates,935,1988,90.319
estimates,935,1989,88.689
estimates,935,1990,87.012
estimates,935,1991,85.709
estimates,935,1992,84.098
estimates,935,1993,82.387
estimates,935,1994,80.809
estimates,935,1995,79.451
estimates,935,1996,77.944
estimates,935,1997,76.746
estimates,935,1998,75.69
estimates,935,1999,74.56
estimates,935,2000,73.278
estimates,935,2001,72.118
estimates,935,2002,70.906
estimates,935,2003,69.605
estimates,935,2004,68.181
estimates,935,2005,66.62
estimates,935,2006,65.053
estimates,935,2007,63.32
estimates,935,2008,61.566
estimates,935,2009,59.948
estimates,935,2010,58.543
estimates,935,2011,57.347
estimates,935,2012,56.3
estimates,935,2013,55.4
estimates,935,2014,54.616
estimates,935,2015,53.928
medium_variant,935,2015,53.928
medium_variant,935,2016,53.405
medium_variant,935,2017,52.954
medium_variant,935,2018,52.551
medium_variant,935,2019,52.162
medium_variant,935,2020,51.762
medium_variant,935,2021,51.365
medium_variant,935,2022,50.953
medium_variant,935,2023,50.527
medium_variant,935,2024,50.093
medium_variant,935,2025,49.654
medium_variant,935,2026,49.24
medium_variant,935,2027,48.826
medium_variant,935,2028,48.404
medium_variant,935,2029,47.969
medium_variant,935,2030,47.523
medium_variant,935,2031,47.133
medium_variant,935,2032,46.722
medium_variant,935,2033,46.3
medium_variant,935,2034,45.879
medium_variant,935,2035,45.465
medium_variant,935,2036,45.109
medium_variant,935,2037,44.751
medium_variant,935,2038,44.399
medium_variant,935,2039,44.057
medium_variant,935,2040,43.728
medium_variant,935,2041,43.446
medium_variant,935,2042,43.173
medium_variant,935,2043,42.917
medium_variant,935,2044,42.682
medium_variant,935,2045,42.471
medium_variant,935,2046,42.317
medium_variant,935,2047,42.176
medium_variant,935,2048,42.053
medium_variant,935,2049,41.953
medium_variant,935,2050,41.877
medium_variant,935,2051,41.851
medium_variant,935,2052,41.841
medium_variant,935,2053,41.835
medium_variant,935,2054,41.817
medium_variant,935,2055,41.773
medium_variant,935,2056,41.732
medium_variant,935,2057,41.661
medium_variant,935,2058,41.562
medium_variant,935,2059,41.44
medium_variant,935,2060,41.298
medium_variant,935,2061,41.16
medium_variant,935,2062,41.001
medium_variant,935,2063,40.826
medium_variant,935,2064,40.644
medium_variant,935,2065,40.462
medium_variant,935,2066,40.313
medium_variant,935,2067,40.16
medium_variant,935,2068,40.009
medium_variant,935,2069,39.866
medium_variant,935,2070,39.735
medium_variant,935,2071,39.641
medium_variant,935,2072,39.554
medium_variant,935,2073,39.478
medium_variant,935,2074,39.416
medium_variant,935,2075,39.37
medium_variant,935,2076,39.361
medium_variant,935,2077,39.363
medium_variant,935,2078,39.373
medium_variant,935,2079,39.387
medium_variant,935,2080,39.401
medium_variant,935,2081,39.435
medium_variant,935,2082,39.464
medium_variant,935,2083,39.486
medium_variant,935,2084,39.501
medium_variant,935,2085,39.505
medium_variant,935,2086,39.515
medium_variant,935,2087,39.512
medium_variant,935,2088,39.496
medium_variant,935,2089,39.47
medium_variant,935,2090,39.436
medium_variant,935,2091,39.412
medium_variant,935,2092,39.376
medium_variant,935,2093,39.333
medium_variant,935,2094,39.285
medium_variant,935,2095,39.236
medium_variant,935,2096,39.203
medium_variant,935,2097,39.166
medium_variant,935,2098,39.129
medium_variant,935,2099,39.093
medium_variant,935,2100,39.062
high_variant,935,2015,53.9282894709426
low_variant,935,2015,53.9282894709426
constant_fertility,935,2015,53.9282894709426
instant_replacement,935,2015,53.9282894709426
zero_migration,935,2015,53.9282894709426
constant_mortality,935,2015,53.9282894709426
no_change,935,2015,53.9282894709426
high_variant,935,2020,53.2970487497998
low_variant,935,2020,50.2222052735861
constant_fertility,935,2020,52.2721279456974
instant_replacement,935,2020,52.1813106661559
zero_migration,935,2020,51.7584855533896
constant_mortality,935,2020,51.733739199684
no_change,935,2020,52.240799177172
high_variant,935,2025,53.4399288549155
low_variant,935,2025,45.8633442881737
constant_fertility,935,2025,51.1419945683086
instant_replacement,935,2025,50.5808137695511
zero_migration,935,2025,49.6327998576634
constant_mortality,935,2025,49.5723936251191
no_change,935,2025,51.0445108503785
high_variant,935,2030,53.9754109128517
low_variant,935,2030,41.063682216815
constant_fertility,935,2030,50.4000365007006
instant_replacement,935,2030,49.077861580112
zero_migration,935,2030,47.4989478456593
constant_mortality,935,2030,47.3593412925175
no_change,935,2030,50.1976002339485
high_variant,935,2035,54.569559038646
low_variant,935,2035,36.3673147902256
constant_fertility,935,2035,50.1544503679511
instant_replacement,935,2035,47.7805147982271
zero_migration,935,2035,45.4789010459773
constant_mortality,935,2035,45.1925902110081
no_change,935,2035,49.8060889092714
high_variant,935,2040,53.6258822892647
low_variant,935,2040,33.6933952962805
constant_fertility,935,2040,50.0393522902309
instant_replacement,935,2040,46.3825303743258
zero_migration,935,2040,43.7994478910398
constant_mortality,935,2040,43.4003102545865
no_change,935,2040,49.592226889855
high_variant,935,2045,52.6380658370452
low_variant,935,2045,32.1092483908947
constant_fertility,935,2045,50.264955650052
instant_replacement,935,2045,45.5363536231208
zero_migration,935,2045,42.56698944646
constant_mortality,935,2045,42.1288084511243
no_change,935,2045,49.7573890819405
high_variant,935,2050,52.3977608152301
low_variant,935,2050,31.2963720942296
constant_fertility,935,2050,51.2014385272405
instant_replacement,935,2050,45.4833618469227
zero_migration,935,2050,41.9689125287055
constant_mortality,935,2050,41.525847064535
no_change,935,2050,50.6333045416847
high_variant,935,2055,53.2788669981263
low_variant,935,2055,30.4827058621977
constant_fertility,935,2055,52.8111761152853
instant_replacement,935,2055,46.0790019850016
zero_migration,935,2055,41.8480460337617
constant_mortality,935,2055,41.3951240157105
no_change,935,2055,52.1551777563483
high_variant,935,2060,53.7302266941162
low_variant,935,2060,29.2819316675925
constant_fertility,935,2060,54.089101171292
instant_replacement,935,2060,46.2552485130727
zero_migration,935,2060,41.3655756360521
constant_mortality,935,2060,40.897849613187
no_change,935,2060,53.3476990764767
high_variant,935,2065,53.2383991383317
low_variant,935,2065,28.0630789068457
constant_fertility,935,2065,54.9318824385248
instant_replacement,935,2065,45.8777933096108
zero_migration,935,2065,40.5386862100869
constant_mortality,935,2065,40.0655775621725
no_change,935,2065,54.1372341533832
high_variant,935,2070,52.2966520251156
low_variant,935,2070,27.3482460480888
constant_fertility,935,2070,55.8009493956603
instant_replacement,935,2070,45.356630715425
zero_migration,935,2070,39.8280384283213
constant_mortality,935,2070,39.3723755070265
no_change,935,2070,54.9802920797701
high_variant,935,2075,51.4560261238824
low_variant,935,2075,27.2885381440779
constant_fertility,935,2075,56.883017657353
instant_replacement,935,2075,44.9930999161933
zero_migration,935,2075,39.4664860560284
constant_mortality,935,2075,39.0651952004826
no_change,935,2075,56.0457382700713
high_variant,935,2080,51.0092644937257
low_variant,935,2080,27.804222732986
constant_fertility,935,2080,58.1272858589727
instant_replacement,935,2080,45.0168981411821
zero_migration,935,2080,39.4804793019107
constant_mortality,935,2080,39.1685579015965
no_change,935,2080,57.2695800354504
high_variant,935,2085,51.192696064852
low_variant,935,2085,27.9647780412911
constant_fertility,935,2085,59.4504901541216
instant_replacement,935,2085,45.3723750762319
zero_migration,935,2085,39.5593131028223
constant_mortality,935,2085,39.3304509218911
no_change,935,2085,58.5248137241294
high_variant,935,2090,51.3644442983737
low_variant,935,2090,27.7283932339109
constant_fertility,935,2090,60.6657258748733
instant_replacement,935,2090,45.5374825027598
zero_migration,935,2090,39.4824395683281
constant_mortality,935,2090,39.3123301621449
no_change,935,2090,59.6472207494209
high_variant,935,2095,51.2964540497292
low_variant,935,2095,27.3166755673137
constant_fertility,935,2095,61.8220022832576
instant_replacement,935,2095,45.4444556025538
zero_migration,935,2095,39.2896855613044
constant_mortality,935,2095,39.1621999449427
no_change,935,2095,60.7025668252291
high_variant,935,2100,50.9409809965801
low_variant,935,2100,27.1707322733785
constant_fertility,935,2100,63.0161407288326
instant_replacement,935,2100,45.2029654653812
zero_migration,935,2100,39.1238498921934
constant_mortality,935,2100,39.0433682874744
no_change,935,2100,61.7931622503266
