variant,country,year,gender,childdependencyratio2064
estimates,710,1950,male,101.661
estimates,710,1951,male,102.838
estimates,710,1952,male,104.234
estimates,710,1953,male,105.397
estimates,710,1954,male,106.294
estimates,710,1955,male,107.072
estimates,710,1956,male,108.933
estimates,710,1957,male,110.355
estimates,710,1958,male,111.562
estimates,710,1959,male,112.676
estimates,710,1960,male,113.705
estimates,710,1961,male,114.731
estimates,710,1962,male,115.636
estimates,710,1963,male,116.443
estimates,710,1964,male,117.141
estimates,710,1965,male,117.738
estimates,710,1966,male,118.774
estimates,710,1967,male,119.645
estimates,710,1968,male,120.277
estimates,710,1969,male,120.588
estimates,710,1970,male,120.56
estimates,710,1971,male,120.869
estimates,710,1972,male,120.785
estimates,710,1973,male,120.384
estimates,710,1974,male,119.742
estimates,710,1975,male,118.91
estimates,710,1976,male,118.761
estimates,710,1977,male,118.323
estimates,710,1978,male,117.694
estimates,710,1979,male,117.001
estimates,710,1980,male,116.307
estimates,710,1981,male,115.631
estimates,710,1982,male,114.97
estimates,710,1983,male,114.231
estimates,710,1984,male,113.283
estimates,710,1985,male,112.076
estimates,710,1986,male,111.534
estimates,710,1987,male,110.731
estimates,710,1988,male,109.71
estimates,710,1989,male,108.501
estimates,710,1990,male,107.094
estimates,710,1991,male,104.989
estimates,710,1992,male,102.573
estimates,710,1993,male,100.004
estimates,710,1994,male,97.544
estimates,710,1995,male,95.402
estimates,710,1996,male,94.317
estimates,710,1997,male,94.139
estimates,710,1998,male,94.699
estimates,710,1999,male,95.482
estimates,710,2000,male,96.045
estimates,710,2001,male,96.544
estimates,710,2002,male,95.885
estimates,710,2003,male,94.374
estimates,710,2004,male,92.61
estimates,710,2005,male,90.941
estimates,710,2006,male,88.863
estimates,710,2007,male,87.241
estimates,710,2008,male,85.774
estimates,710,2009,male,84.04
estimates,710,2010,male,81.935
estimates,710,2011,male,80.623
estimates,710,2012,male,78.767
estimates,710,2013,male,76.614
estimates,710,2014,male,74.523
estimates,710,2015,male,72.625
medium_variant,710,2015,male,72.625
medium_variant,710,2016,male,70.623
medium_variant,710,2017,male,68.931
medium_variant,710,2018,male,67.487
medium_variant,710,2019,male,66.173
medium_variant,710,2020,male,64.97
medium_variant,710,2021,male,64.353
medium_variant,710,2022,male,63.819
medium_variant,710,2023,male,63.291
medium_variant,710,2024,male,62.706
medium_variant,710,2025,male,62.008
medium_variant,710,2026,male,61.229
medium_variant,710,2027,male,60.342
medium_variant,710,2028,male,59.395
medium_variant,710,2029,male,58.454
medium_variant,710,2030,male,57.568
medium_variant,710,2031,male,56.863
medium_variant,710,2032,male,56.197
medium_variant,710,2033,male,55.545
medium_variant,710,2034,male,54.878
medium_variant,710,2035,male,54.178
medium_variant,710,2036,male,53.543
medium_variant,710,2037,male,52.88
medium_variant,710,2038,male,52.203
medium_variant,710,2039,male,51.528
medium_variant,710,2040,male,50.869
medium_variant,710,2041,male,50.301
medium_variant,710,2042,male,49.744
medium_variant,710,2043,male,49.208
medium_variant,710,2044,male,48.702
medium_variant,710,2045,male,48.231
medium_variant,710,2046,male,47.866
medium_variant,710,2047,male,47.525
medium_variant,710,2048,male,47.2
medium_variant,710,2049,male,46.886
medium_variant,710,2050,male,46.58
medium_variant,710,2051,male,46.369
medium_variant,710,2052,male,46.161
medium_variant,710,2053,male,45.943
medium_variant,710,2054,male,45.702
medium_variant,710,2055,male,45.43
medium_variant,710,2056,male,45.223
medium_variant,710,2057,male,44.984
medium_variant,710,2058,male,44.722
medium_variant,710,2059,male,44.456
medium_variant,710,2060,male,44.195
medium_variant,710,2061,male,44.027
medium_variant,710,2062,male,43.86
medium_variant,710,2063,male,43.68
medium_variant,710,2064,male,43.469
medium_variant,710,2065,male,43.22
medium_variant,710,2066,male,43.019
medium_variant,710,2067,male,42.782
medium_variant,710,2068,male,42.527
medium_variant,710,2069,male,42.285
medium_variant,710,2070,male,42.071
medium_variant,710,2071,male,41.958
medium_variant,710,2072,male,41.863
medium_variant,710,2073,male,41.775
medium_variant,710,2074,male,41.679
medium_variant,710,2075,male,41.567
medium_variant,710,2076,male,41.516
medium_variant,710,2077,male,41.447
medium_variant,710,2078,male,41.364
medium_variant,710,2079,male,41.273
medium_variant,710,2080,male,41.178
medium_variant,710,2081,male,41.149
medium_variant,710,2082,male,41.11
medium_variant,710,2083,male,41.058
medium_variant,710,2084,male,40.99
medium_variant,710,2085,male,40.905
medium_variant,710,2086,male,40.874
medium_variant,710,2087,male,40.823
medium_variant,710,2088,male,40.753
medium_variant,710,2089,male,40.669
medium_variant,710,2090,male,40.574
medium_variant,710,2091,male,40.536
medium_variant,710,2092,male,40.482
medium_variant,710,2093,male,40.416
medium_variant,710,2094,male,40.34
medium_variant,710,2095,male,40.259
medium_variant,710,2096,male,40.239
medium_variant,710,2097,male,40.208
medium_variant,710,2098,male,40.171
medium_variant,710,2099,male,40.128
medium_variant,710,2100,male,40.082
estimates,710,1950,female,99.748
estimates,710,1951,female,101.071
estimates,710,1952,female,102.193
estimates,710,1953,female,102.992
estimates,710,1954,female,103.565
estimates,710,1955,female,104.034
estimates,710,1956,female,105.314
estimates,710,1957,female,106.31
estimates,710,1958,female,107.104
estimates,710,1959,female,107.724
estimates,710,1960,female,108.196
estimates,710,1961,female,109.496
estimates,710,1962,female,110.476
estimates,710,1963,female,111.282
estimates,710,1964,female,112.084
estimates,710,1965,female,112.97
estimates,710,1966,female,114
estimates,710,1967,female,115.1
estimates,710,1968,female,116.13
estimates,710,1969,female,116.888
estimates,710,1970,female,117.294
estimates,710,1971,female,118
estimates,710,1972,female,118.264
estimates,710,1973,female,118.194
estimates,710,1974,female,117.914
estimates,710,1975,female,117.48
estimates,710,1976,female,117.296
estimates,710,1977,female,116.877
estimates,710,1978,female,116.309
estimates,710,1979,female,115.694
estimates,710,1980,female,115.091
estimates,710,1981,female,114.512
estimates,710,1982,female,113.962
estimates,710,1983,female,113.338
estimates,710,1984,female,112.498
estimates,710,1985,female,111.379
estimates,710,1986,female,110.452
estimates,710,1987,female,109.225
estimates,710,1988,female,107.766
estimates,710,1989,female,106.152
estimates,710,1990,female,104.423
estimates,710,1991,female,101.986
estimates,710,1992,female,99.383
estimates,710,1993,female,96.683
estimates,710,1994,female,93.957
estimates,710,1995,female,91.254
estimates,710,1996,female,89.394
estimates,710,1997,female,87.635
estimates,710,1998,female,85.909
estimates,710,1999,female,84.168
estimates,710,2000,female,82.4
estimates,710,2001,female,81.316
estimates,710,2002,female,80.154
estimates,710,2003,female,78.891
estimates,710,2004,female,77.547
estimates,710,2005,female,76.166
estimates,710,2006,female,75.167
estimates,710,2007,female,74.08
estimates,710,2008,female,72.93
estimates,710,2009,female,71.751
estimates,710,2010,female,70.581
estimates,710,2011,female,69.753
estimates,710,2012,female,68.855
estimates,710,2013,female,67.947
estimates,710,2014,female,67.112
estimates,710,2015,female,66.389
medium_variant,710,2015,female,66.389
medium_variant,710,2016,female,65.824
medium_variant,710,2017,female,65.486
medium_variant,710,2018,female,65.252
medium_variant,710,2019,female,64.965
medium_variant,710,2020,female,64.557
medium_variant,710,2021,female,64.363
medium_variant,710,2022,female,64.035
medium_variant,710,2023,female,63.58
medium_variant,710,2024,female,63.043
medium_variant,710,2025,female,62.444
medium_variant,710,2026,female,61.787
medium_variant,710,2027,female,61.074
medium_variant,710,2028,female,60.319
medium_variant,710,2029,female,59.535
medium_variant,710,2030,female,58.747
medium_variant,710,2031,female,58.041
medium_variant,710,2032,female,57.339
medium_variant,710,2033,female,56.633
medium_variant,710,2034,female,55.918
medium_variant,710,2035,female,55.191
medium_variant,710,2036,female,54.498
medium_variant,710,2037,female,53.797
medium_variant,710,2038,female,53.102
medium_variant,710,2039,female,52.429
medium_variant,710,2040,female,51.791
medium_variant,710,2041,female,51.214
medium_variant,710,2042,female,50.67
medium_variant,710,2043,female,50.158
medium_variant,710,2044,female,49.68
medium_variant,710,2045,female,49.236
medium_variant,710,2046,female,48.851
medium_variant,710,2047,female,48.496
medium_variant,710,2048,female,48.161
medium_variant,710,2049,female,47.833
medium_variant,710,2050,female,47.506
medium_variant,710,2051,female,47.222
medium_variant,710,2052,female,46.938
medium_variant,710,2053,female,46.646
medium_variant,710,2054,female,46.34
medium_variant,710,2055,female,46.017
medium_variant,710,2056,female,45.729
medium_variant,710,2057,female,45.425
medium_variant,710,2058,female,45.106
medium_variant,710,2059,female,44.772
medium_variant,710,2060,female,44.428
medium_variant,710,2061,female,44.122
medium_variant,710,2062,female,43.805
medium_variant,710,2063,female,43.484
medium_variant,710,2064,female,43.166
medium_variant,710,2065,female,42.859
medium_variant,710,2066,female,42.603
medium_variant,710,2067,female,42.355
medium_variant,710,2068,female,42.119
medium_variant,710,2069,female,41.901
medium_variant,710,2070,female,41.705
medium_variant,710,2071,female,41.57
medium_variant,710,2072,female,41.453
medium_variant,710,2073,female,41.349
medium_variant,710,2074,female,41.249
medium_variant,710,2075,female,41.148
medium_variant,710,2076,female,41.083
medium_variant,710,2077,female,41.013
medium_variant,710,2078,female,40.941
medium_variant,710,2079,female,40.867
medium_variant,710,2080,female,40.796
medium_variant,710,2081,female,40.759
medium_variant,710,2082,female,40.721
medium_variant,710,2083,female,40.678
medium_variant,710,2084,female,40.625
medium_variant,710,2085,female,40.561
medium_variant,710,2086,female,40.523
medium_variant,710,2087,female,40.472
medium_variant,710,2088,female,40.41
medium_variant,710,2089,female,40.339
medium_variant,710,2090,female,40.263
medium_variant,710,2091,female,40.217
medium_variant,710,2092,female,40.164
medium_variant,710,2093,female,40.104
medium_variant,710,2094,female,40.041
medium_variant,710,2095,female,39.979
medium_variant,710,2096,female,39.951
medium_variant,710,2097,female,39.92
medium_variant,710,2098,female,39.889
medium_variant,710,2099,female,39.859
medium_variant,710,2100,female,39.83
