variant,region,year,gender,childdependencyratio2064
estimates,916,1950,male,125.535
estimates,916,1951,male,126.901
estimates,916,1952,male,128.643
estimates,916,1953,male,130.152
estimates,916,1954,male,131.337
estimates,916,1955,male,132.357
estimates,916,1956,male,134.484
estimates,916,1957,male,136.037
estimates,916,1958,male,137.338
estimates,916,1959,male,138.583
estimates,916,1960,male,139.797
estimates,916,1961,male,140.891
estimates,916,1962,male,141.956
estimates,916,1963,male,142.976
estimates,916,1964,male,143.883
estimates,916,1965,male,144.66
estimates,916,1966,male,145.766
estimates,916,1967,male,146.744
estimates,916,1968,male,147.527
estimates,916,1969,male,148.063
estimates,916,1970,male,148.323
estimates,916,1971,male,148.387
estimates,916,1972,male,148.321
estimates,916,1973,male,148.109
estimates,916,1974,male,147.648
estimates,916,1975,male,146.875
estimates,916,1976,male,146.369
estimates,916,1977,male,145.261
estimates,916,1978,male,143.835
estimates,916,1979,male,142.405
estimates,916,1980,male,141.064
estimates,916,1981,male,138.899
estimates,916,1982,male,137.064
estimates,916,1983,male,135.413
estimates,916,1984,male,133.73
estimates,916,1985,male,131.928
estimates,916,1986,male,129.661
estimates,916,1987,male,127.423
estimates,916,1988,male,125.163
estimates,916,1989,male,122.804
estimates,916,1990,male,120.288
estimates,916,1991,male,117.614
estimates,916,1992,male,114.731
estimates,916,1993,male,111.831
estimates,916,1994,male,109.103
estimates,916,1995,male,106.626
estimates,916,1996,male,104.232
estimates,916,1997,male,102.109
estimates,916,1998,male,100.195
estimates,916,1999,male,98.413
estimates,916,2000,male,96.708
estimates,916,2001,male,94.957
estimates,916,2002,male,93.258
estimates,916,2003,male,91.627
estimates,916,2004,male,90.079
estimates,916,2005,male,88.608
estimates,916,2006,male,86.82
estimates,916,2007,male,85.085
estimates,916,2008,male,83.376
estimates,916,2009,male,81.66
estimates,916,2010,male,79.931
estimates,916,2011,male,78.213
estimates,916,2012,male,76.505
estimates,916,2013,male,74.821
estimates,916,2014,male,73.174
estimates,916,2015,male,71.572
medium_variant,916,2015,male,71.572
medium_variant,916,2016,male,70.039
medium_variant,916,2017,male,68.522
medium_variant,916,2018,male,67.05
medium_variant,916,2019,male,65.65
medium_variant,916,2020,male,64.335
medium_variant,916,2021,male,63.065
medium_variant,916,2022,male,61.871
medium_variant,916,2023,male,60.747
medium_variant,916,2024,male,59.679
medium_variant,916,2025,male,58.657
medium_variant,916,2026,male,57.673
medium_variant,916,2027,male,56.734
medium_variant,916,2028,male,55.834
medium_variant,916,2029,male,54.969
medium_variant,916,2030,male,54.133
medium_variant,916,2031,male,53.314
medium_variant,916,2032,male,52.521
medium_variant,916,2033,male,51.753
medium_variant,916,2034,male,51.008
medium_variant,916,2035,male,50.287
medium_variant,916,2036,male,49.583
medium_variant,916,2037,male,48.9
medium_variant,916,2038,male,48.239
medium_variant,916,2039,male,47.602
medium_variant,916,2040,male,46.988
medium_variant,916,2041,male,46.391
medium_variant,916,2042,male,45.815
medium_variant,916,2043,male,45.266
medium_variant,916,2044,male,44.745
medium_variant,916,2045,male,44.254
medium_variant,916,2046,male,43.782
medium_variant,916,2047,male,43.338
medium_variant,916,2048,male,42.924
medium_variant,916,2049,male,42.54
medium_variant,916,2050,male,42.184
medium_variant,916,2051,male,41.848
medium_variant,916,2052,male,41.536
medium_variant,916,2053,male,41.25
medium_variant,916,2054,male,40.991
medium_variant,916,2055,male,40.757
medium_variant,916,2056,male,40.536
medium_variant,916,2057,male,40.336
medium_variant,916,2058,male,40.156
medium_variant,916,2059,male,39.996
medium_variant,916,2060,male,39.854
medium_variant,916,2061,male,39.717
medium_variant,916,2062,male,39.595
medium_variant,916,2063,male,39.485
medium_variant,916,2064,male,39.383
medium_variant,916,2065,male,39.285
medium_variant,916,2066,male,39.184
medium_variant,916,2067,male,39.085
medium_variant,916,2068,male,38.99
medium_variant,916,2069,male,38.901
medium_variant,916,2070,male,38.818
medium_variant,916,2071,male,38.733
medium_variant,916,2072,male,38.651
medium_variant,916,2073,male,38.576
medium_variant,916,2074,male,38.511
medium_variant,916,2075,male,38.458
medium_variant,916,2076,male,38.409
medium_variant,916,2077,male,38.369
medium_variant,916,2078,male,38.34
medium_variant,916,2079,male,38.321
medium_variant,916,2080,male,38.311
medium_variant,916,2081,male,38.303
medium_variant,916,2082,male,38.301
medium_variant,916,2083,male,38.306
medium_variant,916,2084,male,38.318
medium_variant,916,2085,male,38.336
medium_variant,916,2086,male,38.352
medium_variant,916,2087,male,38.37
medium_variant,916,2088,male,38.393
medium_variant,916,2089,male,38.418
medium_variant,916,2090,male,38.445
medium_variant,916,2091,male,38.467
medium_variant,916,2092,male,38.488
medium_variant,916,2093,male,38.508
medium_variant,916,2094,male,38.529
medium_variant,916,2095,male,38.55
medium_variant,916,2096,male,38.566
medium_variant,916,2097,male,38.579
medium_variant,916,2098,male,38.593
medium_variant,916,2099,male,38.607
medium_variant,916,2100,male,38.623
estimates,916,1950,female,117.503
estimates,916,1951,female,118.285
estimates,916,1952,female,119.589
estimates,916,1953,female,120.683
estimates,916,1954,female,121.508
estimates,916,1955,female,122.289
estimates,916,1956,female,124.513
estimates,916,1957,female,126.211
estimates,916,1958,female,127.715
estimates,916,1959,female,129.201
estimates,916,1960,female,130.664
estimates,916,1961,female,131.978
estimates,916,1962,female,133.293
estimates,916,1963,female,134.575
estimates,916,1964,female,135.746
estimates,916,1965,female,136.793
estimates,916,1966,female,138.288
estimates,916,1967,female,139.642
estimates,916,1968,female,140.758
estimates,916,1969,female,141.557
estimates,916,1970,female,142.005
estimates,916,1971,female,142.24
estimates,916,1972,female,142.256
estimates,916,1973,female,142.051
estimates,916,1974,female,141.561
estimates,916,1975,female,140.754
estimates,916,1976,female,140.232
estimates,916,1977,female,139.115
estimates,916,1978,female,137.664
estimates,916,1979,female,136.181
estimates,916,1980,female,134.762
estimates,916,1981,female,132.663
estimates,916,1982,female,130.823
estimates,916,1983,female,129.102
estimates,916,1984,female,127.312
estimates,916,1985,female,125.387
estimates,916,1986,female,123.141
estimates,916,1987,female,120.905
estimates,916,1988,female,118.631
estimates,916,1989,female,116.254
estimates,916,1990,female,113.728
estimates,916,1991,female,110.964
estimates,916,1992,female,108.013
estimates,916,1993,female,105.059
estimates,916,1994,female,102.286
estimates,916,1995,female,99.776
estimates,916,1996,female,97.706
estimates,916,1997,female,95.834
estimates,916,1998,female,94.092
estimates,916,1999,female,92.402
estimates,916,2000,female,90.714
estimates,916,2001,female,88.873
estimates,916,2002,female,87.087
estimates,916,2003,female,85.37
estimates,916,2004,female,83.748
estimates,916,2005,female,82.226
estimates,916,2006,female,80.506
estimates,916,2007,female,78.865
estimates,916,2008,female,77.265
estimates,916,2009,female,75.66
estimates,916,2010,female,74.036
estimates,916,2011,female,72.444
estimates,916,2012,female,70.864
estimates,916,2013,female,69.304
estimates,916,2014,female,67.776
estimates,916,2015,female,66.288
medium_variant,916,2015,female,66.288
medium_variant,916,2016,female,64.903
medium_variant,916,2017,female,63.519
medium_variant,916,2018,female,62.17
medium_variant,916,2019,female,60.89
medium_variant,916,2020,female,59.695
medium_variant,916,2021,female,58.556
medium_variant,916,2022,female,57.493
medium_variant,916,2023,female,56.499
medium_variant,916,2024,female,55.558
medium_variant,916,2025,female,54.663
medium_variant,916,2026,female,53.822
medium_variant,916,2027,female,53.026
medium_variant,916,2028,female,52.265
medium_variant,916,2029,female,51.526
medium_variant,916,2030,female,50.802
medium_variant,916,2031,female,50.097
medium_variant,916,2032,female,49.405
medium_variant,916,2033,female,48.728
medium_variant,916,2034,female,48.072
medium_variant,916,2035,female,47.441
medium_variant,916,2036,female,46.84
medium_variant,916,2037,female,46.259
medium_variant,916,2038,female,45.698
medium_variant,916,2039,female,45.158
medium_variant,916,2040,female,44.637
medium_variant,916,2041,female,44.143
medium_variant,916,2042,female,43.666
medium_variant,916,2043,female,43.209
medium_variant,916,2044,female,42.775
medium_variant,916,2045,female,42.365
medium_variant,916,2046,female,41.979
medium_variant,916,2047,female,41.616
medium_variant,916,2048,female,41.275
medium_variant,916,2049,female,40.955
medium_variant,916,2050,female,40.656
medium_variant,916,2051,female,40.38
medium_variant,916,2052,female,40.121
medium_variant,916,2053,female,39.882
medium_variant,916,2054,female,39.664
medium_variant,916,2055,female,39.469
medium_variant,916,2056,female,39.294
medium_variant,916,2057,female,39.137
medium_variant,916,2058,female,38.999
medium_variant,916,2059,female,38.877
medium_variant,916,2060,female,38.77
medium_variant,916,2061,female,38.677
medium_variant,916,2062,female,38.596
medium_variant,916,2063,female,38.525
medium_variant,916,2064,female,38.459
medium_variant,916,2065,female,38.395
medium_variant,916,2066,female,38.331
medium_variant,916,2067,female,38.267
medium_variant,916,2068,female,38.203
medium_variant,916,2069,female,38.141
medium_variant,916,2070,female,38.082
medium_variant,916,2071,female,38.025
medium_variant,916,2072,female,37.967
medium_variant,916,2073,female,37.913
medium_variant,916,2074,female,37.866
medium_variant,916,2075,female,37.831
medium_variant,916,2076,female,37.804
medium_variant,916,2077,female,37.785
medium_variant,916,2078,female,37.776
medium_variant,916,2079,female,37.774
medium_variant,916,2080,female,37.78
medium_variant,916,2081,female,37.792
medium_variant,916,2082,female,37.808
medium_variant,916,2083,female,37.83
medium_variant,916,2084,female,37.857
medium_variant,916,2085,female,37.888
medium_variant,916,2086,female,37.921
medium_variant,916,2087,female,37.955
medium_variant,916,2088,female,37.991
medium_variant,916,2089,female,38.029
medium_variant,916,2090,female,38.067
medium_variant,916,2091,female,38.103
medium_variant,916,2092,female,38.136
medium_variant,916,2093,female,38.168
medium_variant,916,2094,female,38.198
medium_variant,916,2095,female,38.229
medium_variant,916,2096,female,38.256
medium_variant,916,2097,female,38.28
medium_variant,916,2098,female,38.303
medium_variant,916,2099,female,38.326
medium_variant,916,2100,female,38.349
