variant,region,year,childdependencyratio2064
estimates,922,1950,102.61
estimates,922,1951,103.393
estimates,922,1952,104.444
estimates,922,1953,105.201
estimates,922,1954,105.517
estimates,922,1955,105.541
estimates,922,1956,106.916
estimates,922,1957,107.536
estimates,922,1958,107.928
estimates,922,1959,108.533
estimates,922,1960,109.502
estimates,922,1961,110.795
estimates,922,1962,112.478
estimates,922,1963,114.334
estimates,922,1964,116.01
estimates,922,1965,117.342
estimates,922,1966,119.227
estimates,922,1967,120.731
estimates,922,1968,121.823
estimates,922,1969,122.508
estimates,922,1970,122.785
estimates,922,1971,122.765
estimates,922,1972,122.345
estimates,922,1973,121.683
estimates,922,1974,120.942
estimates,922,1975,120.227
estimates,922,1976,119.906
estimates,922,1977,119.438
estimates,922,1978,118.848
estimates,922,1979,118.146
estimates,922,1980,117.344
estimates,922,1981,116.43
estimates,922,1982,115.383
estimates,922,1983,114.246
estimates,922,1984,113.047
estimates,922,1985,111.818
estimates,922,1986,111.423
estimates,922,1987,110.813
estimates,922,1988,110.052
estimates,922,1989,109.204
estimates,922,1990,108.297
estimates,922,1991,106.941
estimates,922,1992,105.626
estimates,922,1993,104.308
estimates,922,1994,102.925
estimates,922,1995,101.45
estimates,922,1996,100.103
estimates,922,1997,98.554
estimates,922,1998,96.862
estimates,922,1999,95.063
estimates,922,2000,93.189
estimates,922,2001,91.686
estimates,922,2002,89.975
estimates,922,2003,88.132
estimates,922,2004,86.235
estimates,922,2005,84.335
estimates,922,2006,82.243
estimates,922,2007,80.129
estimates,922,2008,78.045
estimates,922,2009,76.037
estimates,922,2010,74.171
estimates,922,2011,73.089
estimates,922,2012,72.124
estimates,922,2013,71.269
estimates,922,2014,70.491
estimates,922,2015,69.761
medium_variant,922,2015,69.761
medium_variant,922,2016,69.089
medium_variant,922,2017,68.33
medium_variant,922,2018,67.531
medium_variant,922,2019,66.761
medium_variant,922,2020,66.063
medium_variant,922,2021,65.393
medium_variant,922,2022,64.833
medium_variant,922,2023,64.333
medium_variant,922,2024,63.808
medium_variant,922,2025,63.214
medium_variant,922,2026,62.736
medium_variant,922,2027,62.187
medium_variant,922,2028,61.567
medium_variant,922,2029,60.895
medium_variant,922,2030,60.187
medium_variant,922,2031,59.53
medium_variant,922,2032,58.813
medium_variant,922,2033,58.071
medium_variant,922,2034,57.34
medium_variant,922,2035,56.646
medium_variant,922,2036,56.087
medium_variant,922,2037,55.55
medium_variant,922,2038,55.041
medium_variant,922,2039,54.559
medium_variant,922,2040,54.103
medium_variant,922,2041,53.75
medium_variant,922,2042,53.404
medium_variant,922,2043,53.073
medium_variant,922,2044,52.763
medium_variant,922,2045,52.477
medium_variant,922,2046,52.273
medium_variant,922,2047,52.072
medium_variant,922,2048,51.874
medium_variant,922,2049,51.672
medium_variant,922,2050,51.462
medium_variant,922,2051,51.306
medium_variant,922,2052,51.128
medium_variant,922,2053,50.932
medium_variant,922,2054,50.715
medium_variant,922,2055,50.478
medium_variant,922,2056,50.28
medium_variant,922,2057,50.05
medium_variant,922,2058,49.799
medium_variant,922,2059,49.534
medium_variant,922,2060,49.261
medium_variant,922,2061,49.041
medium_variant,922,2062,48.804
medium_variant,922,2063,48.557
medium_variant,922,2064,48.298
medium_variant,922,2065,48.031
medium_variant,922,2066,47.815
medium_variant,922,2067,47.581
medium_variant,922,2068,47.341
medium_variant,922,2069,47.106
medium_variant,922,2070,46.883
medium_variant,922,2071,46.719
medium_variant,922,2072,46.557
medium_variant,922,2073,46.401
medium_variant,922,2074,46.255
medium_variant,922,2075,46.12
medium_variant,922,2076,46.044
medium_variant,922,2077,45.97
medium_variant,922,2078,45.895
medium_variant,922,2079,45.815
medium_variant,922,2080,45.727
medium_variant,922,2081,45.672
medium_variant,922,2082,45.6
medium_variant,922,2083,45.515
medium_variant,922,2084,45.418
medium_variant,922,2085,45.312
medium_variant,922,2086,45.235
medium_variant,922,2087,45.142
medium_variant,922,2088,45.036
medium_variant,922,2089,44.917
medium_variant,922,2090,44.787
medium_variant,922,2091,44.686
medium_variant,922,2092,44.568
medium_variant,922,2093,44.436
medium_variant,922,2094,44.297
medium_variant,922,2095,44.155
medium_variant,922,2096,44.044
medium_variant,922,2097,43.924
medium_variant,922,2098,43.8
medium_variant,922,2099,43.675
medium_variant,922,2100,43.55
high_variant,922,2015,69.761424782842
low_variant,922,2015,69.761424782842
constant_fertility,922,2015,69.761424782842
instant_replacement,922,2015,69.761424782842
zero_migration,922,2015,69.761424782842
constant_mortality,922,2015,69.761424782842
no_change,922,2015,69.761424782842
high_variant,922,2020,67.6489779169326
low_variant,922,2020,64.4775271556048
constant_fertility,922,2020,67.3355267628254
instant_replacement,922,2020,62.1595923557738
zero_migration,922,2020,66.3456356428304
constant_mortality,922,2020,66.0375665030724
no_change,922,2020,67.3058043026035
high_variant,922,2025,67.1361100855683
low_variant,922,2025,59.2912416400472
constant_fertility,922,2025,66.771109057516
instant_replacement,922,2025,56.5644991965037
zero_migration,922,2025,63.373796477948
constant_mortality,922,2025,63.1465210760083
no_change,922,2025,66.6871046738546
high_variant,922,2030,66.8336085783919
low_variant,922,2030,53.539745441611
constant_fertility,922,2030,66.8032032928734
instant_replacement,922,2030,51.6173776419181
zero_migration,922,2030,60.0460762305229
constant_mortality,922,2030,60.0648783977946
no_change,922,2030,66.6427198200678
high_variant,922,2035,65.8568734828625
low_variant,922,2035,47.4529750132818
constant_fertility,922,2035,66.9834589031973
instant_replacement,922,2035,46.6630595370818
zero_migration,922,2035,56.5561493209895
constant_mortality,922,2035,56.4605621440107
no_change,922,2035,66.7296376966378
high_variant,922,2040,64.1026966184053
low_variant,922,2040,43.9804583862024
constant_fertility,922,2040,67.4576622551306
instant_replacement,922,2040,46.94111890142
zero_migration,922,2040,54.6710468625487
constant_mortality,922,2040,53.9049243379152
no_change,922,2040,67.1582393270173
high_variant,922,2045,62.6744185665212
low_variant,922,2045,42.0456529081107
constant_fertility,922,2045,68.5532045109849
instant_replacement,922,2045,46.8794363685836
zero_migration,922,2045,53.6127576504203
constant_mortality,922,2045,52.2932877621084
no_change,922,2045,68.2300057868724
high_variant,922,2050,61.8112477017316
low_variant,922,2050,40.9270632252584
constant_fertility,922,2050,70.3715040836881
instant_replacement,922,2050,46.4580210605259
zero_migration,922,2050,52.8896020454742
constant_mortality,922,2050,51.3001611217625
no_change,922,2050,70.0165587864333
high_variant,922,2055,61.4997463049157
low_variant,922,2055,39.4729711946706
constant_fertility,922,2055,72.4249236134904
instant_replacement,922,2055,45.5790658280092
zero_migration,922,2055,51.8854424323971
constant_mortality,922,2055,50.3353353167602
no_change,922,2055,72.0177464036309
high_variant,922,2060,61.0430138301758
low_variant,922,2060,37.701720499275
constant_fertility,922,2060,74.2589581845757
instant_replacement,922,2060,44.6844140777776
zero_migration,922,2060,50.404285447954
constant_mortality,922,2060,49.1369352148395
no_change,922,2060,73.7810336673842
high_variant,922,2065,60.2586572465223
low_variant,922,2065,36.0900391813721
constant_fertility,922,2065,75.876057207002
instant_replacement,922,2065,44.3584575604445
zero_migration,922,2065,48.9451362445891
constant_mortality,922,2065,47.9281077715998
no_change,922,2065,75.3205155044851
high_variant,922,2070,59.0787374081852
low_variant,922,2070,34.8855349242705
constant_fertility,922,2070,77.1930047644826
instant_replacement,922,2070,44.5152425670175
zero_migration,922,2070,47.7529972747751
constant_mortality,922,2070,46.819226092231
no_change,922,2070,76.5778255980179
high_variant,922,2075,57.9664182770527
low_variant,922,2075,34.3426983570056
constant_fertility,922,2075,78.5420984315637
instant_replacement,922,2075,45.1425199843519
zero_migration,922,2075,47.0257127097566
constant_mortality,922,2075,46.1131937082721
no_change,922,2075,77.8866374076772
high_variant,922,2080,57.1413509951895
low_variant,922,2080,34.3437462444042
constant_fertility,922,2080,79.9776789548151
instant_replacement,922,2080,45.956233735218
zero_migration,922,2080,46.6229189873518
constant_mortality,922,2080,45.7812234530014
no_change,922,2080,79.2917839045055
high_variant,922,2085,56.7198072773819
low_variant,922,2085,34.0240109833582
constant_fertility,922,2085,81.4772532509384
instant_replacement,922,2085,45.4023470145184
zero_migration,922,2085,46.0479079524347
constant_mortality,922,2085,45.4200312348187
no_change,922,2085,80.7465250874838
high_variant,922,2090,56.4119682080387
low_variant,922,2090,33.384496097057
constant_fertility,922,2090,82.8925543738662
instant_replacement,922,2090,44.8867423883274
zero_migration,922,2090,45.3684881306609
constant_mortality,922,2090,44.9437705773338
no_change,922,2090,82.112634545841
high_variant,922,2095,56.0080613643544
low_variant,922,2095,32.5509105815763
constant_fertility,922,2095,84.1649511751735
instant_replacement,922,2095,44.6053063668011
zero_migration,922,2095,44.6557721373637
constant_mortality,922,2095,44.3608610838554
no_change,922,2095,83.3433571469639
high_variant,922,2100,55.4119136325681
low_variant,922,2100,31.8839183202991
constant_fertility,922,2100,85.3398354438948
instant_replacement,922,2100,44.6465993546072
zero_migration,922,2100,44.0411284780702
constant_mortality,922,2100,43.8079799006849
no_change,922,2100,84.4940567507844
