variant,country,year,childdependencyratio2069
estimates,804,1950,59.348
estimates,804,1951,59.54
estimates,804,1952,60.209
estimates,804,1953,60.936
estimates,804,1954,61.037
estimates,804,1955,60.231
estimates,804,1956,60.152
estimates,804,1957,58.814
estimates,804,1958,57.01
estimates,804,1959,55.66
estimates,804,1960,55.217
estimates,804,1961,54.407
estimates,804,1962,54.649
estimates,804,1963,55.489
estimates,804,1964,56.196
estimates,804,1965,56.366
estimates,804,1966,56.674
estimates,804,1967,56.479
estimates,804,1968,55.899
estimates,804,1969,55.213
estimates,804,1970,54.565
estimates,804,1971,53.435
estimates,804,1972,52.421
estimates,804,1973,51.49
estimates,804,1974,50.535
estimates,804,1975,49.524
estimates,804,1976,48.935
estimates,804,1977,48.155
estimates,804,1978,47.309
estimates,804,1979,46.572
estimates,804,1980,46.009
estimates,804,1981,45.559
estimates,804,1982,45.295
estimates,804,1983,45.174
estimates,804,1984,45.065
estimates,804,1985,44.893
estimates,804,1986,44.875
estimates,804,1987,44.724
estimates,804,1988,44.464
estimates,804,1989,44.15
estimates,804,1990,43.794
estimates,804,1991,43.407
estimates,804,1992,42.993
estimates,804,1993,42.548
estimates,804,1994,42.048
estimates,804,1995,41.474
estimates,804,1996,40.936
estimates,804,1997,40.325
estimates,804,1998,39.591
estimates,804,1999,38.695
estimates,804,2000,37.637
estimates,804,2001,36.498
estimates,804,2002,35.228
estimates,804,2003,33.942
estimates,804,2004,32.782
estimates,804,2005,31.818
estimates,804,2006,31.129
estimates,804,2007,30.632
estimates,804,2008,30.193
estimates,804,2009,29.678
estimates,804,2010,29.078
estimates,804,2011,28.997
estimates,804,2012,28.741
estimates,804,2013,28.474
estimates,804,2014,28.365
estimates,804,2015,28.456
medium_variant,804,2015,28.456
medium_variant,804,2016,28.42
medium_variant,804,2017,28.629
medium_variant,804,2018,29.016
medium_variant,804,2019,29.486
medium_variant,804,2020,30.003
medium_variant,804,2021,30.714
medium_variant,804,2022,31.504
medium_variant,804,2023,32.277
medium_variant,804,2024,32.921
medium_variant,804,2025,33.351
medium_variant,804,2026,33.622
medium_variant,804,2027,33.637
medium_variant,804,2028,33.465
medium_variant,804,2029,33.222
medium_variant,804,2030,32.981
medium_variant,804,2031,32.779
medium_variant,804,2032,32.576
medium_variant,804,2033,32.358
medium_variant,804,2034,32.099
medium_variant,804,2035,31.793
medium_variant,804,2036,31.534
medium_variant,804,2037,31.26
medium_variant,804,2038,30.997
medium_variant,804,2039,30.777
medium_variant,804,2040,30.619
medium_variant,804,2041,30.615
medium_variant,804,2042,30.66
medium_variant,804,2043,30.761
medium_variant,804,2044,30.916
medium_variant,804,2045,31.12
medium_variant,804,2046,31.444
medium_variant,804,2047,31.799
medium_variant,804,2048,32.188
medium_variant,804,2049,32.616
medium_variant,804,2050,33.075
medium_variant,804,2051,33.593
medium_variant,804,2052,34.132
medium_variant,804,2053,34.673
medium_variant,804,2054,35.195
medium_variant,804,2055,35.682
medium_variant,804,2056,36.174
medium_variant,804,2057,36.629
medium_variant,804,2058,37.017
medium_variant,804,2059,37.306
medium_variant,804,2060,37.478
medium_variant,804,2061,37.598
medium_variant,804,2062,37.6
medium_variant,804,2063,37.499
medium_variant,804,2064,37.322
medium_variant,804,2065,37.087
medium_variant,804,2066,36.866
medium_variant,804,2067,36.597
medium_variant,804,2068,36.298
medium_variant,804,2069,35.983
medium_variant,804,2070,35.665
medium_variant,804,2071,35.42
medium_variant,804,2072,35.171
medium_variant,804,2073,34.949
medium_variant,804,2074,34.788
medium_variant,804,2075,34.706
medium_variant,804,2076,34.756
medium_variant,804,2077,34.869
medium_variant,804,2078,35.033
medium_variant,804,2079,35.222
medium_variant,804,2080,35.419
medium_variant,804,2081,35.671
medium_variant,804,2082,35.924
medium_variant,804,2083,36.17
medium_variant,804,2084,36.402
medium_variant,804,2085,36.612
