variant,continent,year,gender,childdependencyratio2564
estimates,909,1950,male,91.357
estimates,909,1951,male,92.171
estimates,909,1952,male,92.672
estimates,909,1953,male,93.255
estimates,909,1954,male,94.05
estimates,909,1955,male,95.003
estimates,909,1956,male,96.318
estimates,909,1957,male,97.991
estimates,909,1958,male,99.748
estimates,909,1959,male,101.337
estimates,909,1960,male,102.653
estimates,909,1961,male,104.638
estimates,909,1962,male,106.239
estimates,909,1963,male,107.499
estimates,909,1964,male,108.53
estimates,909,1965,male,109.386
estimates,909,1966,male,110.539
estimates,909,1967,male,111.38
estimates,909,1968,male,111.89
estimates,909,1969,male,112.012
estimates,909,1970,male,111.716
estimates,909,1971,male,111.265
estimates,909,1972,male,110.648
estimates,909,1973,male,109.86
estimates,909,1974,male,108.879
estimates,909,1975,male,107.705
estimates,909,1976,male,107.241
estimates,909,1977,male,106.295
estimates,909,1978,male,105.076
estimates,909,1979,male,103.857
estimates,909,1980,male,102.77
estimates,909,1981,male,101.266
estimates,909,1982,male,100.079
estimates,909,1983,male,99.014
estimates,909,1984,male,97.785
estimates,909,1985,male,96.305
estimates,909,1986,male,95.204
estimates,909,1987,male,93.759
estimates,909,1988,male,92.184
estimates,909,1989,male,90.76
estimates,909,1990,male,89.597
estimates,909,1991,male,88.58
estimates,909,1992,male,87.801
estimates,909,1993,male,87.155
estimates,909,1994,male,86.448
estimates,909,1995,male,85.594
estimates,909,1996,male,84.645
estimates,909,1997,male,83.543
estimates,909,1998,male,82.415
estimates,909,1999,male,81.433
estimates,909,2000,male,80.675
estimates,909,2001,male,80.167
estimates,909,2002,male,79.797
estimates,909,2003,male,79.493
estimates,909,2004,male,79.147
estimates,909,2005,male,78.703
estimates,909,2006,male,78.577
estimates,909,2007,male,78.306
estimates,909,2008,male,77.895
estimates,909,2009,male,77.336
estimates,909,2010,male,76.624
estimates,909,2011,male,76.198
estimates,909,2012,male,75.624
estimates,909,2013,male,75.01
estimates,909,2014,male,74.47
estimates,909,2015,male,74.028
medium_variant,909,2015,male,74.028
medium_variant,909,2016,male,73.656
medium_variant,909,2017,male,73.416
medium_variant,909,2018,male,73.249
medium_variant,909,2019,male,73.055
medium_variant,909,2020,male,72.791
medium_variant,909,2021,male,72.695
medium_variant,909,2022,male,72.504
medium_variant,909,2023,male,72.263
medium_variant,909,2024,male,72.044
medium_variant,909,2025,male,71.876
medium_variant,909,2026,male,71.8
medium_variant,909,2027,male,71.77
medium_variant,909,2028,male,71.743
medium_variant,909,2029,male,71.648
medium_variant,909,2030,male,71.451
medium_variant,909,2031,male,71.316
medium_variant,909,2032,male,71.081
medium_variant,909,2033,male,70.759
medium_variant,909,2034,male,70.382
medium_variant,909,2035,male,69.968
medium_variant,909,2036,male,69.636
medium_variant,909,2037,male,69.258
medium_variant,909,2038,male,68.851
medium_variant,909,2039,male,68.425
medium_variant,909,2040,male,67.988
medium_variant,909,2041,male,67.666
medium_variant,909,2042,male,67.331
medium_variant,909,2043,male,66.975
medium_variant,909,2044,male,66.581
medium_variant,909,2045,male,66.144
