continent,variant,freq,year,crudedeathrateper1000population
904,estimates,5yearly,1950,15.681
904,estimates,5yearly,1955,13.78
904,estimates,5yearly,1960,12.255
904,estimates,5yearly,1965,10.906
904,estimates,5yearly,1970,9.635
904,estimates,5yearly,1975,8.682
904,estimates,5yearly,1980,7.859
904,estimates,5yearly,1985,7.174
904,estimates,5yearly,1990,6.626
904,estimates,5yearly,1995,6.101
904,estimates,5yearly,2000,5.845
904,estimates,5yearly,2005,5.792
904,estimates,5yearly,2010,5.848
904,constant_fertility,5yearly,2015,6.035
904,constant_mortality,5yearly,2015,6.425
904,high_variant,5yearly,2015,6.035
904,instant_replacement,5yearly,2015,6.019
904,low_variant,5yearly,2015,6.025
904,medium_variant,5yearly,2015,6.03
904,momentum,5yearly,2015,6.407
904,no_change,5yearly,2015,6.432
904,zero_migration,5yearly,2015,6.023
904,constant_fertility,5yearly,2020,6.248
904,constant_mortality,5yearly,2020,7.04
904,high_variant,5yearly,2020,6.215
904,instant_replacement,5yearly,2020,6.242
904,low_variant,5yearly,2020,6.324
904,medium_variant,5yearly,2020,6.268
904,momentum,5yearly,2020,6.995
904,no_change,5yearly,2020,7.024
904,zero_migration,5yearly,2020,6.253
904,constant_fertility,5yearly,2025,6.5
904,constant_mortality,5yearly,2025,7.721
904,high_variant,5yearly,2025,6.421
904,instant_replacement,5yearly,2025,6.511
904,low_variant,5yearly,2025,6.735
904,medium_variant,5yearly,2025,6.573
904,momentum,5yearly,2025,7.624
904,no_change,5yearly,2025,7.65
904,zero_migration,5yearly,2025,6.55
904,constant_fertility,5yearly,2030,6.808
904,constant_mortality,5yearly,2030,8.489
904,high_variant,5yearly,2030,6.68
904,instant_replacement,5yearly,2030,6.839
904,low_variant,5yearly,2030,7.256
904,medium_variant,5yearly,2030,6.954
904,momentum,5yearly,2030,8.31
904,no_change,5yearly,2030,8.333
904,zero_migration,5yearly,2030,6.921
904,constant_fertility,5yearly,2035,7.17
904,constant_mortality,5yearly,2035,9.335
904,high_variant,5yearly,2035,7.005
904,instant_replacement,5yearly,2035,7.226
904,low_variant,5yearly,2035,7.871
904,medium_variant,5yearly,2035,7.411
904,momentum,5yearly,2035,9.049
904,no_change,5yearly,2035,9.065
904,zero_migration,5yearly,2035,7.367
904,constant_fertility,5yearly,2040,7.564
904,constant_mortality,5yearly,2040,10.23
904,high_variant,5yearly,2040,7.364
904,instant_replacement,5yearly,2040,7.654
904,low_variant,5yearly,2040,8.572
904,medium_variant,5yearly,2040,7.924
904,momentum,5yearly,2040,9.806
904,no_change,5yearly,2040,9.81
904,zero_migration,5yearly,2040,7.869
904,constant_fertility,5yearly,2045,7.953
904,constant_mortality,5yearly,2045,11.138
904,high_variant,5yearly,2045,7.716
904,instant_replacement,5yearly,2045,8.087
904,low_variant,5yearly,2045,9.343
904,medium_variant,5yearly,2045,8.465
904,momentum,5yearly,2045,10.542
904,no_change,5yearly,2045,10.524
904,zero_migration,5yearly,2045,8.397
904,constant_fertility,5yearly,2050,8.323
904,constant_mortality,5yearly,2050,12.034
904,high_variant,5yearly,2050,8.041
904,instant_replacement,5yearly,2050,8.51
904,low_variant,5yearly,2050,10.184
904,medium_variant,5yearly,2050,9.02
904,momentum,5yearly,2050,11.23
904,no_change,5yearly,2050,11.178
904,zero_migration,5yearly,2050,8.94
904,constant_fertility,5yearly,2055,8.677
904,constant_mortality,5yearly,2055,12.899
904,high_variant,5yearly,2055,8.347
904,instant_replacement,5yearly,2055,8.929
904,low_variant,5yearly,2055,11.112
904,medium_variant,5yearly,2055,9.596
904,momentum,5yearly,2055,11.85
904,no_change,5yearly,2055,11.752
904,zero_migration,5yearly,2055,9.504
904,constant_fertility,5yearly,2060,9.011
904,constant_mortality,5yearly,2060,13.718
904,high_variant,5yearly,2060,8.636
904,instant_replacement,5yearly,2060,9.342
904,low_variant,5yearly,2060,12.131
904,medium_variant,5yearly,2060,10.193
904,momentum,5yearly,2060,12.391
904,no_change,5yearly,2060,12.233
904,zero_migration,5yearly,2060,10.089
904,constant_fertility,5yearly,2065,9.294
904,constant_mortality,5yearly,2065,14.459
904,high_variant,5yearly,2065,8.883
904,instant_replacement,5yearly,2065,9.717
904,low_variant,5yearly,2065,13.203
904,medium_variant,5yearly,2065,10.774
904,momentum,5yearly,2065,12.831
904,no_change,5yearly,2065,12.596
904,zero_migration,5yearly,2065,10.661
904,constant_fertility,5yearly,2070,9.512
904,constant_mortality,5yearly,2070,15.097
904,high_variant,5yearly,2070,9.076
904,instant_replacement,5yearly,2070,10.04
904,low_variant,5yearly,2070,14.316
904,medium_variant,5yearly,2070,11.325
904,momentum,5yearly,2070,13.154
904,no_change,5yearly,2070,12.832
904,zero_migration,5yearly,2070,11.205
904,constant_fertility,5yearly,2075,9.627
904,constant_mortality,5yearly,2075,15.614
904,high_variant,5yearly,2075,9.176
904,instant_replacement,5yearly,2075,10.266
904,low_variant,5yearly,2075,15.413
904,medium_variant,5yearly,2075,11.793
904,momentum,5yearly,2075,13.354
904,no_change,5yearly,2075,12.937
904,zero_migration,5yearly,2075,11.67
904,constant_fertility,5yearly,2080,9.649
904,constant_mortality,5yearly,2080,16.009
904,high_variant,5yearly,2080,9.193
904,instant_replacement,5yearly,2080,10.403
904,low_variant,5yearly,2080,16.496
904,medium_variant,5yearly,2080,12.182
