variant,continent,year,crudedeathrateper1000population
estimates,935,1950,23.889
estimates,935,1951,23.58
estimates,935,1952,22.99
estimates,935,1953,22.458
estimates,935,1954,21.983
estimates,935,1955,21.562
estimates,935,1956,21.19
estimates,935,1957,20.857
estimates,935,1958,20.547
estimates,935,1959,20.229
estimates,935,1960,19.871
estimates,935,1961,19.438
estimates,935,1962,18.902
estimates,935,1963,18.251
estimates,935,1964,17.493
estimates,935,1965,16.662
estimates,935,1966,15.804
estimates,935,1967,14.976
estimates,935,1968,14.221
estimates,935,1969,13.56
estimates,935,1970,12.999
estimates,935,1971,12.524
estimates,935,1972,12.103
estimates,935,1973,11.71
estimates,935,1974,11.336
estimates,935,1975,10.982
estimates,935,1976,10.65
estimates,935,1977,10.349
estimates,935,1978,10.083
estimates,935,1979,9.85
estimates,935,1980,9.648
estimates,935,1981,9.473
estimates,935,1982,9.32
estimates,935,1983,9.18
estimates,935,1984,9.049
estimates,935,1985,8.922
estimates,935,1986,8.795
estimates,935,1987,8.667
estimates,935,1988,8.538
estimates,935,1989,8.408
estimates,935,1990,8.277
estimates,935,1991,8.148
estimates,935,1992,8.025
estimates,935,1993,7.908
estimates,935,1994,7.8
estimates,935,1995,7.699
estimates,935,1996,7.604
estimates,935,1997,7.514
estimates,935,1998,7.427
estimates,935,1999,7.344
estimates,935,2000,7.266
estimates,935,2001,7.196
estimates,935,2002,7.136
estimates,935,2003,7.087
estimates,935,2004,7.049
estimates,935,2005,7.022
estimates,935,2006,7.004
estimates,935,2007,6.994
estimates,935,2008,6.99
estimates,935,2009,6.989
estimates,935,2010,6.993
estimates,935,2011,6.998
estimates,935,2012,7.007
estimates,935,2013,7.018
estimates,935,2014,7.033
estimates,935,2015,7.051
medium_variant,935,2015,7.051
medium_variant,935,2016,7.073
medium_variant,935,2017,7.1
medium_variant,935,2018,7.131
medium_variant,935,2019,7.169
medium_variant,935,2020,7.212
medium_variant,935,2021,7.26
medium_variant,935,2022,7.314
medium_variant,935,2023,7.374
medium_variant,935,2024,7.438
medium_variant,935,2025,7.508
medium_variant,935,2026,7.583
medium_variant,935,2027,7.664
medium_variant,935,2028,7.75
medium_variant,935,2029,7.841
medium_variant,935,2030,7.937
medium_variant,935,2031,8.037
medium_variant,935,2032,8.141
medium_variant,935,2033,8.248
medium_variant,935,2034,8.357
medium_variant,935,2035,8.468
medium_variant,935,2036,8.58
medium_variant,935,2037,8.694
medium_variant,935,2038,8.808
medium_variant,935,2039,8.922
medium_variant,935,2040,9.037
medium_variant,935,2041,9.151
medium_variant,935,2042,9.265
medium_variant,935,2043,9.378
medium_variant,935,2044,9.491
medium_variant,935,2045,9.603
medium_variant,935,2046,9.713
medium_variant,935,2047,9.821
medium_variant,935,2048,9.927
medium_variant,935,2049,10.031
medium_variant,935,2050,10.134
medium_variant,935,2051,10.235
medium_variant,935,2052,10.335
medium_variant,935,2053,10.435
medium_variant,935,2054,10.533
medium_variant,935,2055,10.631
medium_variant,935,2056,10.728
medium_variant,935,2057,10.823
medium_variant,935,2058,10.917
medium_variant,935,2059,11.009
medium_variant,935,2060,11.098
medium_variant,935,2061,11.183
medium_variant,935,2062,11.265
medium_variant,935,2063,11.343
medium_variant,935,2064,11.417
medium_variant,935,2065,11.489
medium_variant,935,2066,11.557
medium_variant,935,2067,11.624
medium_variant,935,2068,11.69
medium_variant,935,2069,11.755
medium_variant,935,2070,11.819
medium_variant,935,2071,11.882
medium_variant,935,2072,11.944
medium_variant,935,2073,12.002
medium_variant,935,2074,12.058
medium_variant,935,2075,12.111
medium_variant,935,2076,12.159
medium_variant,935,2077,12.205
medium_variant,935,2078,12.246
medium_variant,935,2079,12.283
medium_variant,935,2080,12.314
medium_variant,935,2081,12.339
medium_variant,935,2082,12.358
medium_variant,935,2083,12.371
medium_variant,935,2084,12.378
medium_variant,935,2085,12.379
medium_variant,935,2086,12.374
medium_variant,935,2087,12.365
medium_variant,935,2088,12.353
medium_variant,935,2089,12.339
medium_variant,935,2090,12.326
medium_variant,935,2091,12.314
medium_variant,935,2092,12.304
medium_variant,935,2093,12.298
medium_variant,935,2094,12.295
medium_variant,935,2095,12.298
medium_variant,935,2096,12.305
medium_variant,935,2097,12.317
medium_variant,935,2098,12.334
medium_variant,935,2099,12.355
