country,variant,freq,year,crudedeathrateper1000population
887,estimates,5yearly,1950,30.251
887,estimates,5yearly,1955,30.073
887,estimates,5yearly,1960,30.463
887,estimates,5yearly,1965,26.477
887,estimates,5yearly,1970,22.681
887,estimates,5yearly,1975,19.039
887,estimates,5yearly,1980,15.09
887,estimates,5yearly,1985,12.245
887,estimates,5yearly,1990,10.944
887,estimates,5yearly,1995,9.631
887,estimates,5yearly,2000,8.583
887,estimates,5yearly,2005,7.474
887,estimates,5yearly,2010,6.802
887,constant_fertility,5yearly,2015,6.482
887,constant_mortality,5yearly,2015,6.792
887,high_variant,5yearly,2015,6.408
887,instant_replacement,5yearly,2015,5.922
887,low_variant,5yearly,2015,6.279
887,medium_variant,5yearly,2015,6.344
887,momentum,5yearly,2015,6.317
887,no_change,5yearly,2015,6.95
887,zero_migration,5yearly,2015,6.341
887,constant_fertility,5yearly,2020,6.178
887,constant_mortality,5yearly,2020,6.853
887,high_variant,5yearly,2020,6.092
887,instant_replacement,5yearly,2020,5.969
887,low_variant,5yearly,2020,5.974
887,medium_variant,5yearly,2020,6.034
887,momentum,5yearly,2020,6.714
887,no_change,5yearly,2020,7.058
887,zero_migration,5yearly,2020,6.025
887,constant_fertility,5yearly,2025,5.911
887,constant_mortality,5yearly,2025,7.005
887,high_variant,5yearly,2025,5.881
887,instant_replacement,5yearly,2025,6.144
887,low_variant,5yearly,2025,5.874
887,medium_variant,5yearly,2025,5.877
887,momentum,5yearly,2025,7.212
887,no_change,5yearly,2025,7.144
887,zero_migration,5yearly,2025,5.861
887,constant_fertility,5yearly,2030,5.706
887,constant_mortality,5yearly,2030,7.257
887,high_variant,5yearly,2030,5.765
887,instant_replacement,5yearly,2030,6.347
887,low_variant,5yearly,2030,5.95
887,medium_variant,5yearly,2030,5.853
887,momentum,5yearly,2030,7.713
887,no_change,5yearly,2030,7.25
887,zero_migration,5yearly,2030,5.831
887,constant_fertility,5yearly,2035,5.581
887,constant_mortality,5yearly,2035,7.617
887,high_variant,5yearly,2035,5.775
887,instant_replacement,5yearly,2035,6.585
887,low_variant,5yearly,2035,6.155
887,medium_variant,5yearly,2035,5.952
887,momentum,5yearly,2035,8.205
887,no_change,5yearly,2035,7.417
887,zero_migration,5yearly,2035,5.925
887,constant_fertility,5yearly,2040,5.53
887,constant_mortality,5yearly,2040,8.107
887,high_variant,5yearly,2040,5.908
887,instant_replacement,5yearly,2040,6.952
887,low_variant,5yearly,2040,6.514
887,medium_variant,5yearly,2040,6.186
887,momentum,5yearly,2040,8.803
887,no_change,5yearly,2040,7.65
887,zero_migration,5yearly,2040,6.159
887,constant_fertility,5yearly,2045,5.529
887,constant_mortality,5yearly,2045,8.752
887,high_variant,5yearly,2045,6.16
887,instant_replacement,5yearly,2045,7.511
887,low_variant,5yearly,2045,7.059
887,medium_variant,5yearly,2045,6.568
887,momentum,5yearly,2045,9.601
887,no_change,5yearly,2045,7.929
887,zero_migration,5yearly,2045,6.54
887,constant_fertility,5yearly,2050,5.573
887,constant_mortality,5yearly,2050,9.561
887,high_variant,5yearly,2050,6.534
887,instant_replacement,5yearly,2050,8.276
