variant,country,year,crudedeathrateper1000population
estimates,392,1950,9.792
estimates,392,1951,9.603
estimates,392,1952,9.242
estimates,392,1953,8.913
estimates,392,1954,8.617
estimates,392,1955,8.353
estimates,392,1956,8.12
estimates,392,1957,7.919
estimates,392,1958,7.746
estimates,392,1959,7.598
estimates,392,1960,7.471
estimates,392,1961,7.361
estimates,392,1962,7.263
estimates,392,1963,7.171
estimates,392,1964,7.082
estimates,392,1965,6.995
estimates,392,1966,6.909
estimates,392,1967,6.828
estimates,392,1968,6.753
estimates,392,1969,6.682
estimates,392,1970,6.613
estimates,392,1971,6.542
estimates,392,1972,6.469
estimates,392,1973,6.393
estimates,392,1974,6.316
estimates,392,1975,6.242
estimates,392,1976,6.176
estimates,392,1977,6.123
estimates,392,1978,6.087
estimates,392,1979,6.068
estimates,392,1980,6.065
estimates,392,1981,6.075
estimates,392,1982,6.094
estimates,392,1983,6.118
estimates,392,1984,6.148
estimates,392,1985,6.187
estimates,392,1986,6.24
estimates,392,1987,6.309
estimates,392,1988,6.396
estimates,392,1989,6.5
estimates,392,1990,6.615
estimates,392,1991,6.738
estimates,392,1992,6.863
estimates,392,1993,6.983
estimates,392,1994,7.097
estimates,392,1995,7.202
estimates,392,1996,7.297
estimates,392,1997,7.384
estimates,392,1998,7.467
estimates,392,1999,7.551
estimates,392,2000,7.64
estimates,392,2001,7.738
estimates,392,2002,7.849
estimates,392,2003,7.977
estimates,392,2004,8.122
estimates,392,2005,8.287
estimates,392,2006,8.47
estimates,392,2007,8.668
estimates,392,2008,8.876
estimates,392,2009,9.091
estimates,392,2010,9.309
estimates,392,2011,9.526
estimates,392,2012,9.739
estimates,392,2013,9.947
estimates,392,2014,10.147
estimates,392,2015,10.341
medium_variant,392,2015,10.341
medium_variant,392,2016,10.528
medium_variant,392,2017,10.713
medium_variant,392,2018,10.896
medium_variant,392,2019,11.079
medium_variant,392,2020,11.262
medium_variant,392,2021,11.446
medium_variant,392,2022,11.63
medium_variant,392,2023,11.812
medium_variant,392,2024,11.992
medium_variant,392,2025,12.169
medium_variant,392,2026,12.343
medium_variant,392,2027,12.512
medium_variant,392,2028,12.678
medium_variant,392,2029,12.837
medium_variant,392,2030,12.992
medium_variant,392,2031,13.143
medium_variant,392,2032,13.289
medium_variant,392,2033,13.431
medium_variant,392,2034,13.566
medium_variant,392,2035,13.694
medium_variant,392,2036,13.811
medium_variant,392,2037,13.918
medium_variant,392,2038,14.011
medium_variant,392,2039,14.09
medium_variant,392,2040,14.154
medium_variant,392,2041,14.2
medium_variant,392,2042,14.23
medium_variant,392,2043,14.245
medium_variant,392,2044,14.248
medium_variant,392,2045,14.24
medium_variant,392,2046,14.22
medium_variant,392,2047,14.192
medium_variant,392,2048,14.161
medium_variant,392,2049,14.13
medium_variant,392,2050,14.105
medium_variant,392,2051,14.09
medium_variant,392,2052,14.089
medium_variant,392,2053,14.104
medium_variant,392,2054,14.136
medium_variant,392,2055,14.188
medium_variant,392,2056,14.26
medium_variant,392,2057,14.349
medium_variant,392,2058,14.451
medium_variant,392,2059,14.561
medium_variant,392,2060,14.674
medium_variant,392,2061,14.788
medium_variant,392,2062,14.898
medium_variant,392,2063,15
medium_variant,392,2064,15.088
medium_variant,392,2065,15.159
medium_variant,392,2066,15.21
medium_variant,392,2067,15.241
medium_variant,392,2068,15.251
medium_variant,392,2069,15.239
medium_variant,392,2070,15.2
medium_variant,392,2071,15.131
medium_variant,392,2072,15.034
medium_variant,392,2073,14.91
medium_variant,392,2074,14.765
medium_variant,392,2075,14.603
medium_variant,392,2076,14.43
medium_variant,392,2077,14.253
medium_variant,392,2078,14.077
medium_variant,392,2079,13.908
medium_variant,392,2080,13.748
medium_variant,392,2081,13.598
medium_variant,392,2082,13.454
medium_variant,392,2083,13.316
medium_variant,392,2084,13.185
medium_variant,392,2085,13.062
medium_variant,392,2086,12.947
medium_variant,392,2087,12.842
medium_variant,392,2088,12.747
medium_variant,392,2089,12.661
medium_variant,392,2090,12.584
medium_variant,392,2091,12.515
medium_variant,392,2092,12.453
medium_variant,392,2093,12.398
medium_variant,392,2094,12.349
medium_variant,392,2095,12.304
medium_variant,392,2096,12.265
medium_variant,392,2097,12.231
medium_variant,392,2098,12.202
medium_variant,392,2099,12.177
