variant,global,year,crudedeathrateper1000population
estimates,900,1950,20.116
estimates,900,1951,19.879
estimates,900,1952,19.424
estimates,900,1953,19.008
estimates,900,1954,18.631
estimates,900,1955,18.291
estimates,900,1956,17.985
estimates,900,1957,17.709
estimates,900,1958,17.453
estimates,900,1959,17.199
estimates,900,1960,16.931
estimates,900,1961,16.628
estimates,900,1962,16.275
estimates,900,1963,15.863
estimates,900,1964,15.397
estimates,900,1965,14.893
estimates,900,1966,14.377
estimates,900,1967,13.879
estimates,900,1968,13.421
estimates,900,1969,13.015
estimates,900,1970,12.662
estimates,900,1971,12.356
estimates,900,1972,12.077
estimates,900,1973,11.812
estimates,900,1974,11.558
estimates,900,1975,11.314
estimates,900,1976,11.083
estimates,900,1977,10.871
estimates,900,1978,10.68
estimates,900,1979,10.51
estimates,900,1980,10.358
estimates,900,1981,10.22
estimates,900,1982,10.093
estimates,900,1983,9.974
estimates,900,1984,9.859
estimates,900,1985,9.748
estimates,900,1986,9.642
estimates,900,1987,9.541
estimates,900,1988,9.447
estimates,900,1989,9.359
estimates,900,1990,9.276
estimates,900,1991,9.197
estimates,900,1992,9.121
estimates,900,1993,9.047
estimates,900,1994,8.975
estimates,900,1995,8.903
estimates,900,1996,8.832
estimates,900,1997,8.763
estimates,900,1998,8.694
estimates,900,1999,8.627
estimates,900,2000,8.56
estimates,900,2001,8.492
estimates,900,2002,8.422
estimates,900,2003,8.352
estimates,900,2004,8.28
estimates,900,2005,8.21
estimates,900,2006,8.141
estimates,900,2007,8.075
estimates,900,2008,8.014
estimates,900,2009,7.959
estimates,900,2010,7.912
estimates,900,2011,7.873
estimates,900,2012,7.841
estimates,900,2013,7.817
estimates,900,2014,7.801
estimates,900,2015,7.79
medium_variant,900,2015,7.79
medium_variant,900,2016,7.786
medium_variant,900,2017,7.787
medium_variant,900,2018,7.792
medium_variant,900,2019,7.8
medium_variant,900,2020,7.811
medium_variant,900,2021,7.826
medium_variant,900,2022,7.844
medium_variant,900,2023,7.866
medium_variant,900,2024,7.892
medium_variant,900,2025,7.921
medium_variant,900,2026,7.956
medium_variant,900,2027,7.994
medium_variant,900,2028,8.036
medium_variant,900,2029,8.083
medium_variant,900,2030,8.133
medium_variant,900,2031,8.186
medium_variant,900,2032,8.243
medium_variant,900,2033,8.302
medium_variant,900,2034,8.363
medium_variant,900,2035,8.425
medium_variant,900,2036,8.488
medium_variant,900,2037,8.552
medium_variant,900,2038,8.616
medium_variant,900,2039,8.68
medium_variant,900,2040,8.744
medium_variant,900,2041,8.808
medium_variant,900,2042,8.87
medium_variant,900,2043,8.932
medium_variant,900,2044,8.993
medium_variant,900,2045,9.052
medium_variant,900,2046,9.11
medium_variant,900,2047,9.166
medium_variant,900,2048,9.221
medium_variant,900,2049,9.274
medium_variant,900,2050,9.325
medium_variant,900,2051,9.375
medium_variant,900,2052,9.424
medium_variant,900,2053,9.473
medium_variant,900,2054,9.521
medium_variant,900,2055,9.568
medium_variant,900,2056,9.615
medium_variant,900,2057,9.662
medium_variant,900,2058,9.707
medium_variant,900,2059,9.752
medium_variant,900,2060,9.795
medium_variant,900,2061,9.837
medium_variant,900,2062,9.877
medium_variant,900,2063,9.915
medium_variant,900,2064,9.951
medium_variant,900,2065,9.985
medium_variant,900,2066,10.019
medium_variant,900,2067,10.052
medium_variant,900,2068,10.084
medium_variant,900,2069,10.117
medium_variant,900,2070,10.149
medium_variant,900,2071,10.181
medium_variant,900,2072,10.212
medium_variant,900,2073,10.242
medium_variant,900,2074,10.27
medium_variant,900,2075,10.297
medium_variant,900,2076,10.322
medium_variant,900,2077,10.346
medium_variant,900,2078,10.367
medium_variant,900,2079,10.387
medium_variant,900,2080,10.404
medium_variant,900,2081,10.419
medium_variant,900,2082,10.43
medium_variant,900,2083,10.439
medium_variant,900,2084,10.446
medium_variant,900,2085,10.45
medium_variant,900,2086,10.453
medium_variant,900,2087,10.455
medium_variant,900,2088,10.456
medium_variant,900,2089,10.457
medium_variant,900,2090,10.459
medium_variant,900,2091,10.463
medium_variant,900,2092,10.468
medium_variant,900,2093,10.476
medium_variant,900,2094,10.486
medium_variant,900,2095,10.498
medium_variant,900,2096,10.513
medium_variant,900,2097,10.531
medium_variant,900,2098,10.551
medium_variant,900,2099,10.574
