region,variant,freq,year,crudedeathrateper1000population
913,estimates,5yearly,1950,20.425
913,estimates,5yearly,1955,18.056
913,estimates,5yearly,1960,16.43
913,estimates,5yearly,1965,14.882
913,estimates,5yearly,1970,13.296
913,estimates,5yearly,1975,11.796
913,estimates,5yearly,1980,10.002
913,estimates,5yearly,1985,8.663
913,estimates,5yearly,1990,8.015
913,estimates,5yearly,1995,9.886
913,estimates,5yearly,2000,13.896
913,estimates,5yearly,2005,14.33
913,estimates,5yearly,2010,12.213
913,constant_fertility,5yearly,2015,12.355
913,constant_mortality,5yearly,2015,12.581
913,high_variant,5yearly,2015,12.364
913,instant_replacement,5yearly,2015,12.336
913,low_variant,5yearly,2015,12.326
913,medium_variant,5yearly,2015,12.345
913,no_change,5yearly,2015,12.597
913,zero_migration,5yearly,2015,12.365
913,constant_fertility,5yearly,2020,12.085
913,constant_mortality,5yearly,2020,13.058
913,high_variant,5yearly,2020,12.037
913,instant_replacement,5yearly,2020,12.163
913,low_variant,5yearly,2020,12.22
913,medium_variant,5yearly,2020,12.127
913,no_change,5yearly,2020,13.038
913,zero_migration,5yearly,2020,12.148
913,constant_fertility,5yearly,2025,11.588
913,constant_mortality,5yearly,2025,13.629
913,high_variant,5yearly,2025,11.478
913,instant_replacement,5yearly,2025,11.775
913,low_variant,5yearly,2025,12.005
913,medium_variant,5yearly,2025,11.732
913,no_change,5yearly,2025,13.513
913,zero_migration,5yearly,2025,11.758
913,constant_fertility,5yearly,2030,11.062
913,constant_mortality,5yearly,2030,14.261
913,high_variant,5yearly,2030,10.905
913,instant_replacement,5yearly,2030,11.362
913,low_variant,5yearly,2030,11.827
913,medium_variant,5yearly,2030,11.341
913,no_change,5yearly,2030,13.995
913,zero_migration,5yearly,2030,11.371
913,constant_fertility,5yearly,2035,10.56
913,constant_mortality,5yearly,2035,14.896
913,high_variant,5yearly,2035,10.392
913,instant_replacement,5yearly,2035,10.972
913,low_variant,5yearly,2035,11.684
913,medium_variant,5yearly,2035,10.992
913,no_change,5yearly,2035,14.428
913,zero_migration,5yearly,2035,11.027
913,constant_fertility,5yearly,2040,10.087
913,constant_mortality,5yearly,2040,15.523
913,high_variant,5yearly,2040,9.934
913,instant_replacement,5yearly,2040,10.612
913,low_variant,5yearly,2040,11.582
913,medium_variant,5yearly,2040,10.687
913,no_change,5yearly,2040,14.806
913,zero_migration,5yearly,2040,10.727
913,constant_fertility,5yearly,2045,9.695
913,constant_mortality,5yearly,2045,16.165
913,high_variant,5yearly,2045,9.568
913,instant_replacement,5yearly,2045,10.345
913,low_variant,5yearly,2045,11.591
913,medium_variant,5yearly,2045,10.482
913,no_change,5yearly,2045,15.151
913,zero_migration,5yearly,2045,10.525
913,constant_fertility,5yearly,2050,9.517
913,constant_mortality,5yearly,2050,16.83
913,high_variant,5yearly,2050,9.424
913,instant_replacement,5yearly,2050,10.316
913,low_variant,5yearly,2050,11.895
913,medium_variant,5yearly,2050,10.53
913,no_change,5yearly,2050,15.477
913,zero_migration,5yearly,2050,10.576
913,constant_fertility,5yearly,2055,9.483
913,constant_mortality,5yearly,2055,17.521
913,high_variant,5yearly,2055,9.439
913,instant_replacement,5yearly,2055,10.459
913,low_variant,5yearly,2055,12.442
913,medium_variant,5yearly,2055,10.768
913,no_change,5yearly,2055,15.785
913,zero_migration,5yearly,2055,10.817
913,constant_fertility,5yearly,2060,9.457
913,constant_mortality,5yearly,2060,18.194
913,high_variant,5yearly,2060,9.473
913,instant_replacement,5yearly,2060,10.631
913,low_variant,5yearly,2060,13.086
913,medium_variant,5yearly,2060,11.05
913,no_change,5yearly,2060,16.032
913,zero_migration,5yearly,2060,11.102
913,constant_fertility,5yearly,2065,9.431
913,constant_mortality,5yearly,2065,18.793
913,high_variant,5yearly,2065,9.523
913,instant_replacement,5yearly,2065,10.822
913,low_variant,5yearly,2065,13.833
913,medium_variant,5yearly,2065,11.372
913,no_change,5yearly,2065,16.177
913,zero_migration,5yearly,2065,11.426
913,constant_fertility,5yearly,2070,9.371
913,constant_mortality,5yearly,2070,19.273
913,high_variant,5yearly,2070,9.552
913,instant_replacement,5yearly,2070,10.991
913,low_variant,5yearly,2070,14.633
913,medium_variant,5yearly,2070,11.689
913,no_change,5yearly,2070,16.197
913,zero_migration,5yearly,2070,11.746
913,constant_fertility,5yearly,2075,9.242
913,constant_mortality,5yearly,2075,19.634
913,high_variant,5yearly,2075,9.527
913,instant_replacement,5yearly,2075,11.087
913,low_variant,5yearly,2075,15.401
913,medium_variant,5yearly,2075,11.946
913,no_change,5yearly,2075,16.12
913,zero_migration,5yearly,2075,12.004
913,constant_fertility,5yearly,2080,9.063
913,constant_mortality,5yearly,2080,19.93
913,high_variant,5yearly,2080,9.47
913,instant_replacement,5yearly,2080,11.115
913,low_variant,5yearly,2080,16.104
913,medium_variant,5yearly,2080,12.144
913,no_change,5yearly,2080,16.009
913,zero_migration,5yearly,2080,12.203
913,constant_fertility,5yearly,2085,8.871
913,constant_mortality,5yearly,2085,20.211
913,high_variant,5yearly,2085,9.42
913,instant_replacement,5yearly,2085,11.105
913,low_variant,5yearly,2085,16.754
913,medium_variant,5yearly,2085,12.316
913,no_change,5yearly,2085,15.917
913,zero_migration,5yearly,2085,12.375
913,constant_fertility,5yearly,2090,8.709
913,constant_mortality,5yearly,2090,20.478
913,high_variant,5yearly,2090,9.421
913,instant_replacement,5yearly,2090,11.102
913,low_variant,5yearly,2090,17.388
913,medium_variant,5yearly,2090,12.509
913,no_change,5yearly,2090,15.85
913,zero_migration,5yearly,2090,12.571
913,constant_fertility,5yearly,2095,8.585
913,constant_mortality,5yearly,2095,20.701
913,high_variant,5yearly,2095,9.481
913,instant_replacement,5yearly,2095,11.112
913,low_variant,5yearly,2095,17.97
913,medium_variant,5yearly,2095,12.723
913,no_change,5yearly,2095,15.792
913,zero_migration,5yearly,2095,12.789
