variant,region,year,crudedeathrateper1000population
Estimates,920,1950,20.042
Estimates,920,1951,19.809
Estimates,920,1952,19.346
Estimates,920,1953,18.888
Estimates,920,1954,18.435
Estimates,920,1955,17.986
Estimates,920,1956,17.542
Estimates,920,1957,17.101
Estimates,920,1958,16.663
Estimates,920,1959,16.227
Estimates,920,1960,15.791
Estimates,920,1961,15.355
Estimates,920,1962,14.918
Estimates,920,1963,14.485
Estimates,920,1964,14.06
Estimates,920,1965,13.655
Estimates,920,1966,13.279
Estimates,920,1967,12.941
Estimates,920,1968,12.643
Estimates,920,1969,12.383
Estimates,920,1970,12.161
Estimates,920,1971,11.971
Estimates,920,1972,11.801
Estimates,920,1973,11.638
Estimates,920,1974,11.468
Estimates,920,1975,11.277
Estimates,920,1976,11.046
Estimates,920,1977,10.774
Estimates,920,1978,10.462
Estimates,920,1979,10.115
Estimates,920,1980,9.747
Estimates,920,1981,9.375
Estimates,920,1982,9.018
Estimates,920,1983,8.693
Estimates,920,1984,8.409
Estimates,920,1985,8.17
Estimates,920,1986,7.975
Estimates,920,1987,7.813
Estimates,920,1988,7.674
Estimates,920,1989,7.552
Estimates,920,1990,7.445
Estimates,920,1991,7.349
Estimates,920,1992,7.261
Estimates,920,1993,7.182
Estimates,920,1994,7.11
Estimates,920,1995,7.045
Estimates,920,1996,6.99
Estimates,920,1997,6.946
Estimates,920,1998,6.915
Estimates,920,1999,6.894
Estimates,920,2000,6.88
Estimates,920,2001,6.869
Estimates,920,2002,6.859
Estimates,920,2003,6.846
Estimates,920,2004,6.831
Estimates,920,2005,6.814
Estimates,920,2006,6.799
Estimates,920,2007,6.79
Estimates,920,2008,6.789
Estimates,920,2009,6.797
Estimates,920,2010,6.812
Estimates,920,2011,6.833
Estimates,920,2012,6.856
Estimates,920,2013,6.881
Estimates,920,2014,6.906
Estimates,920,2015,6.932
Medium_variant,920,2015,6.932
Medium_variant,920,2016,6.96
Medium_variant,920,2017,6.993
Medium_variant,920,2018,7.03
Medium_variant,920,2019,7.074
Medium_variant,920,2020,7.124
Medium_variant,920,2021,7.181
Medium_variant,920,2022,7.243
Medium_variant,920,2023,7.31
Medium_variant,920,2024,7.383
Medium_variant,920,2025,7.46
Medium_variant,920,2026,7.543
Medium_variant,920,2027,7.63
Medium_variant,920,2028,7.722
Medium_variant,920,2029,7.82
Medium_variant,920,2030,7.922
Medium_variant,920,2031,8.029
Medium_variant,920,2032,8.141
Medium_variant,920,2033,8.257
Medium_variant,920,2034,8.377
Medium_variant,920,2035,8.5
Medium_variant,920,2036,8.624
Medium_variant,920,2037,8.751
Medium_variant,920,2038,8.877
Medium_variant,920,2039,9.004
Medium_variant,920,2040,9.129
Medium_variant,920,2041,9.253
Medium_variant,920,2042,9.376
Medium_variant,920,2043,9.497
Medium_variant,920,2044,9.617
Medium_variant,920,2045,9.733
Medium_variant,920,2046,9.847
Medium_variant,920,2047,9.958
Medium_variant,920,2048,10.066
Medium_variant,920,2049,10.17
Medium_variant,920,2050,10.27
Medium_variant,920,2051,10.366
Medium_variant,920,2052,10.458
Medium_variant,920,2053,10.545
Medium_variant,920,2054,10.628
Medium_variant,920,2055,10.707
Medium_variant,920,2056,10.784
Medium_variant,920,2057,10.859
Medium_variant,920,2058,10.933
Medium_variant,920,2059,11.005
Medium_variant,920,2060,11.077
Medium_variant,920,2061,11.146
Medium_variant,920,2062,11.214
Medium_variant,920,2063,11.279
Medium_variant,920,2064,11.342
Medium_variant,920,2065,11.403
Medium_variant,920,2066,11.462
Medium_variant,920,2067,11.518
Medium_variant,920,2068,11.574
Medium_variant,920,2069,11.628
Medium_variant,920,2070,11.68
Medium_variant,920,2071,11.731
Medium_variant,920,2072,11.781
Medium_variant,920,2073,11.83
Medium_variant,920,2074,11.877
Medium_variant,920,2075,11.922
Medium_variant,920,2076,11.966
Medium_variant,920,2077,12.008
Medium_variant,920,2078,12.049
Medium_variant,920,2079,12.088
Medium_variant,920,2080,12.124
Medium_variant,920,2081,12.158
Medium_variant,920,2082,12.188
Medium_variant,920,2083,12.215
Medium_variant,920,2084,12.239
Medium_variant,920,2085,12.259
Medium_variant,920,2086,12.274
Medium_variant,920,2087,12.286
Medium_variant,920,2088,12.294
Medium_variant,920,2089,12.299
Medium_variant,920,2090,12.301
Medium_variant,920,2091,12.302
Medium_variant,920,2092,12.3
Medium_variant,920,2093,12.297
Medium_variant,920,2094,12.293
Medium_variant,920,2095,12.288
Medium_variant,920,2096,12.282
Medium_variant,920,2097,12.276
Medium_variant,920,2098,12.269
Medium_variant,920,2099,12.261
