variant,continent,year,gender,dependencyratio1564
estimates,909,1950,male,58.3
estimates,909,1951,male,59.548
estimates,909,1952,male,60.55
estimates,909,1953,male,61.54
estimates,909,1954,male,62.525
estimates,909,1955,male,63.404
estimates,909,1956,male,64.298
estimates,909,1957,male,65.195
estimates,909,1958,male,65.938
estimates,909,1959,male,66.388
estimates,909,1960,male,66.5
estimates,909,1961,male,66.843
estimates,909,1962,male,66.768
estimates,909,1963,male,66.416
estimates,909,1964,male,65.973
estimates,909,1965,male,65.535
estimates,909,1966,male,65.281
estimates,909,1967,male,64.997
estimates,909,1968,male,64.727
estimates,909,1969,male,64.418
estimates,909,1970,male,63.987
estimates,909,1971,male,63.621
estimates,909,1972,male,63.232
estimates,909,1973,male,62.794
estimates,909,1974,male,62.25
estimates,909,1975,male,61.558
estimates,909,1976,male,61.306
estimates,909,1977,male,60.718
estimates,909,1978,male,59.959
estimates,909,1979,male,59.244
estimates,909,1980,male,58.672
estimates,909,1981,male,57.926
estimates,909,1982,male,57.438
estimates,909,1983,male,57.09
estimates,909,1984,male,56.698
estimates,909,1985,male,56.194
estimates,909,1986,male,56.024
estimates,909,1987,male,55.653
estimates,909,1988,male,55.195
estimates,909,1989,male,54.833
estimates,909,1990,male,54.643
estimates,909,1991,male,54.605
estimates,909,1992,male,54.718
estimates,909,1993,male,54.888
estimates,909,1994,male,54.973
estimates,909,1995,male,54.917
estimates,909,1996,male,55.016
estimates,909,1997,male,54.994
estimates,909,1998,male,54.891
estimates,909,1999,male,54.781
estimates,909,2000,male,54.697
estimates,909,2001,male,54.444
estimates,909,2002,male,54.205
estimates,909,2003,male,53.974
estimates,909,2004,male,53.738
estimates,909,2005,male,53.514
estimates,909,2006,male,53.225
estimates,909,2007,male,52.978
estimates,909,2008,male,52.818
estimates,909,2009,male,52.751
estimates,909,2010,male,52.76
estimates,909,2011,male,53.184
estimates,909,2012,male,53.539
estimates,909,2013,male,53.865
estimates,909,2014,male,54.209
estimates,909,2015,male,54.587
medium_variant,909,2015,male,54.587
medium_variant,909,2016,male,54.988
medium_variant,909,2017,male,55.452
medium_variant,909,2018,male,55.93
medium_variant,909,2019,male,56.346
medium_variant,909,2020,male,56.669
medium_variant,909,2021,male,57.064
medium_variant,909,2022,male,57.33
medium_variant,909,2023,male,57.515
medium_variant,909,2024,male,57.698
medium_variant,909,2025,male,57.922
medium_variant,909,2026,male,58.164
medium_variant,909,2027,male,58.433
medium_variant,909,2028,male,58.698
medium_variant,909,2029,male,58.904
medium_variant,909,2030,male,59.025
medium_variant,909,2031,male,59.107
medium_variant,909,2032,male,59.097
medium_variant,909,2033,male,59.036
medium_variant,909,2034,male,58.983
medium_variant,909,2035,male,58.974
medium_variant,909,2036,male,59.009
medium_variant,909,2037,male,59.073
medium_variant,909,2038,male,59.145
medium_variant,909,2039,male,59.19
medium_variant,909,2040,male,59.194
medium_variant,909,2041,male,59.188
medium_variant,909,2042,male,59.125
