variant,country,year,dependencyratio1564
estimates,40,1950,49.657
estimates,40,1951,49.942
estimates,40,1952,50.228
estimates,40,1953,50.485
estimates,40,1954,50.715
estimates,40,1955,50.914
estimates,40,1956,51.166
estimates,40,1957,51.391
estimates,40,1958,51.61
estimates,40,1959,51.902
estimates,40,1960,52.348
estimates,40,1961,53.318
estimates,40,1962,54.235
estimates,40,1963,55.186
estimates,40,1964,56.245
estimates,40,1965,57.415
estimates,40,1966,58.663
estimates,40,1967,59.94
estimates,40,1968,61.147
estimates,40,1969,62.112
estimates,40,1970,62.722
estimates,40,1971,63.126
estimates,40,1972,63.125
estimates,40,1973,62.76
estimates,40,1974,62.13
estimates,40,1975,61.297
estimates,40,1976,60.466
estimates,40,1977,59.558
estimates,40,1978,58.478
estimates,40,1979,57.109
estimates,40,1980,55.444
estimates,40,1981,53.832
estimates,40,1982,52.013
estimates,40,1983,50.199
estimates,40,1984,48.648
estimates,40,1985,47.487
estimates,40,1986,46.98
estimates,40,1987,46.653
estimates,40,1988,46.499
estimates,40,1989,46.49
estimates,40,1990,46.599
estimates,40,1991,46.99
estimates,40,1992,47.571
estimates,40,1993,48.226
estimates,40,1994,48.731
estimates,40,1995,48.929
estimates,40,1996,48.995
estimates,40,1997,48.711
estimates,40,1998,48.207
estimates,40,1999,47.727
estimates,40,2000,47.414
estimates,40,2001,47.195
estimates,40,2002,47.139
estimates,40,2003,47.204
estimates,40,2004,47.28
estimates,40,2005,47.311
estimates,40,2006,47.48
estimates,40,2007,47.639
estimates,40,2008,47.781
estimates,40,2009,47.927
estimates,40,2010,48.098
estimates,40,2011,48.334
estimates,40,2012,48.548
estimates,40,2013,48.764
estimates,40,2014,48.979
estimates,40,2015,49.18
medium_variant,40,2015,49.18
medium_variant,40,2016,49.471
medium_variant,40,2017,49.8
medium_variant,40,2018,50.196
medium_variant,40,2019,50.706
medium_variant,40,2020,51.367
medium_variant,40,2021,52.183
medium_variant,40,2022,53.152
medium_variant,40,2023,54.258
medium_variant,40,2024,55.478
medium_variant,40,2025,56.792
medium_variant,40,2026,58.139
medium_variant,40,2027,59.568
