variant,global,year,gender,dependencyratio1564
estimates,900,1950,male,65.712
estimates,900,1951,male,66.6
estimates,900,1952,male,67.376
estimates,900,1953,male,67.976
estimates,900,1954,male,68.417
estimates,900,1955,male,68.776
estimates,900,1956,male,69.935
estimates,900,1957,male,70.82
estimates,900,1958,male,71.571
estimates,900,1959,male,72.262
estimates,900,1960,male,72.892
estimates,900,1961,male,73.566
estimates,900,1962,male,74.305
estimates,900,1963,male,74.956
estimates,900,1964,male,75.321
estimates,900,1965,male,75.338
estimates,900,1966,male,75.751
estimates,900,1967,male,75.737
estimates,900,1968,male,75.437
estimates,900,1969,male,75.056
estimates,900,1970,male,74.687
estimates,900,1971,male,74.599
estimates,900,1972,male,74.422
estimates,900,1973,male,74.15
estimates,900,1974,male,73.718
estimates,900,1975,male,73.092
estimates,900,1976,male,72.653
estimates,900,1977,male,71.998
estimates,900,1978,male,71.172
estimates,900,1979,male,70.244
estimates,900,1980,male,69.266
estimates,900,1981,male,68.375
estimates,900,1982,male,67.506
estimates,900,1983,male,66.653
estimates,900,1984,male,65.808
estimates,900,1985,male,64.989
estimates,900,1986,male,64.608
estimates,900,1987,male,64.189
estimates,900,1988,male,63.76
estimates,900,1989,male,63.339
estimates,900,1990,male,62.915
estimates,900,1991,male,62.852
estimates,900,1992,male,62.618
estimates,900,1993,male,62.265
estimates,900,1994,male,61.844
estimates,900,1995,male,61.368
estimates,900,1996,male,60.804
estimates,900,1997,male,60.266
estimates,900,1998,male,59.688
estimates,900,1999,male,58.988
estimates,900,2000,male,58.155
estimates,900,2001,male,57.449
estimates,900,2002,male,56.647
estimates,900,2003,male,55.782
estimates,900,2004,male,54.918
estimates,900,2005,male,54.1
estimates,900,2006,male,53.541
estimates,900,2007,male,52.986
estimates,900,2008,male,52.48
estimates,900,2009,male,52.063
estimates,900,2010,male,51.751
estimates,900,2011,male,51.606
estimates,900,2012,male,51.537
estimates,900,2013,male,51.54
estimates,900,2014,male,51.593
estimates,900,2015,male,51.676
medium_variant,900,2015,male,51.676
medium_variant,900,2016,male,51.897
medium_variant,900,2017,male,52.113
medium_variant,900,2018,male,52.312
medium_variant,900,2019,male,52.477
medium_variant,900,2020,male,52.598
medium_variant,900,2021,male,52.739
medium_variant,900,2022,male,52.832
medium_variant,900,2023,male,52.887
medium_variant,900,2024,male,52.919
medium_variant,900,2025,male,52.94
medium_variant,900,2026,male,53.025
medium_variant,900,2027,male,53.095
medium_variant,900,2028,male,53.155
medium_variant,900,2029,male,53.214
medium_variant,900,2030,male,53.283
medium_variant,900,2031,male,53.438
medium_variant,900,2032,male,53.591
medium_variant,900,2033,male,53.745
medium_variant,900,2034,male,53.905
medium_variant,900,2035,male,54.072
medium_variant,900,2036,male,54.31
medium_variant,900,2037,male,54.545
medium_variant,900,2038,male,54.771
medium_variant,900,2039,male,54.974
medium_variant,900,2040,male,55.147
medium_variant,900,2041,male,55.345
medium_variant,900,2042,male,55.505
medium_variant,900,2043,male,55.646
medium_variant,900,2044,male,55.794
medium_variant,900,2045,male,55.963
medium_variant,900,2046,male,56.197
medium_variant,900,2047,male,56.435
medium_variant,900,2048,male,56.686
medium_variant,900,2049,male,56.962
medium_variant,900,2050,male,57.271
medium_variant,900,2051,male,57.654
medium_variant,900,2052,male,58.059
medium_variant,900,2053,male,58.468
medium_variant,900,2054,male,58.848
medium_variant,900,2055,male,59.178
medium_variant,900,2056,male,59.494
medium_variant,900,2057,male,59.76
medium_variant,900,2058,male,59.978
medium_variant,900,2059,male,60.151
medium_variant,900,2060,male,60.282
medium_variant,900,2061,male,60.395
medium_variant,900,2062,male,60.466
medium_variant,900,2063,male,60.51
medium_variant,900,2064,male,60.543
medium_variant,900,2065,male,60.579
medium_variant,900,2066,male,60.641
medium_variant,900,2067,male,60.708
medium_variant,900,2068,male,60.783
medium_variant,900,2069,male,60.87
medium_variant,900,2070,male,60.974
medium_variant,900,2071,male,61.106
medium_variant,900,2072,male,61.251
medium_variant,900,2073,male,61.414
medium_variant,900,2074,male,61.599
medium_variant,900,2075,male,61.805
medium_variant,900,2076,male,62.02
medium_variant,900,2077,male,62.25
medium_variant,900,2078,male,62.494
medium_variant,900,2079,male,62.742
medium_variant,900,2080,male,62.983
medium_variant,900,2081,male,63.208
medium_variant,900,2082,male,63.435
medium_variant,900,2083,male,63.655
medium_variant,900,2084,male,63.86
medium_variant,900,2085,male,64.047
medium_variant,900,2086,male,64.212
medium_variant,900,2087,male,64.365
medium_variant,900,2088,male,64.51
medium_variant,900,2089,male,64.65
medium_variant,900,2090,male,64.79
medium_variant,900,2091,male,64.897
medium_variant,900,2092,male,65.003
medium_variant,900,2093,male,65.115
medium_variant,900,2094,male,65.238
medium_variant,900,2095,male,65.374
medium_variant,900,2096,male,65.466
medium_variant,900,2097,male,65.576
medium_variant,900,2098,male,65.709
medium_variant,900,2099,male,65.858
medium_variant,900,2100,male,66.022
estimates,900,1950,female,64.549
estimates,900,1951,female,65.535
estimates,900,1952,female,66.374
estimates,900,1953,female,67.054
estimates,900,1954,female,67.609
estimates,900,1955,female,68.106
estimates,900,1956,female,69.274
estimates,900,1957,female,70.225
estimates,900,1958,female,71.068
estimates,900,1959,female,71.852
estimates,900,1960,female,72.565
estimates,900,1961,female,73.32
estimates,900,1962,female,74.105
estimates,900,1963,female,74.794
estimates,900,1964,female,75.231
estimates,900,1965,female,75.371
estimates,900,1966,female,75.866
estimates,900,1967,female,75.986
estimates,900,1968,female,75.863
estimates,900,1969,female,75.672
estimates,900,1970,female,75.491
estimates,900,1971,female,75.538
estimates,900,1972,female,75.487
estimates,900,1973,female,75.342
estimates,900,1974,female,75.055
estimates,900,1975,female,74.595
estimates,900,1976,female,74.202
estimates,900,1977,female,73.631
estimates,900,1978,female,72.906
estimates,900,1979,female,72.065
estimates,900,1980,female,71.148
estimates,900,1981,female,70.27
estimates,900,1982,female,69.377
estimates,900,1983,female,68.491
estimates,900,1984,female,67.638
estimates,900,1985,female,66.847
estimates,900,1986,female,66.451
estimates,900,1987,female,66.042
estimates,900,1988,female,65.639
estimates,900,1989,female,65.239
estimates,900,1990,female,64.821
