variant,continent,year,dependencyratio2064
estimates,935,1950,102.276
estimates,935,1951,103.638
estimates,935,1952,105.154
estimates,935,1953,106.263
estimates,935,1954,106.775
estimates,935,1955,106.831
estimates,935,1956,108.191
estimates,935,1957,108.729
estimates,935,1958,108.977
estimates,935,1959,109.399
estimates,935,1960,110.154
estimates,935,1961,111.082
estimates,935,1962,112.579
estimates,935,1963,114.317
estimates,935,1964,115.838
estimates,935,1965,116.956
estimates,935,1966,118.87
estimates,935,1967,120.303
estimates,935,1968,121.261
estimates,935,1969,121.759
estimates,935,1970,121.771
estimates,935,1971,121.758
estimates,935,1972,121.055
estimates,935,1973,119.936
estimates,935,1974,118.683
estimates,935,1975,117.441
estimates,935,1976,116.491
estimates,935,1977,115.461
estimates,935,1978,114.317
estimates,935,1979,113.024
estimates,935,1980,111.587
estimates,935,1981,110.128
estimates,935,1982,108.732
estimates,935,1983,107.296
estimates,935,1984,105.709
estimates,935,1985,103.968
estimates,935,1986,102.688
estimates,935,1987,101.218
estimates,935,1988,99.644
estimates,935,1989,98.025
estimates,935,1990,96.371
estimates,935,1991,95.155
estimates,935,1992,93.629
estimates,935,1993,92.004
estimates,935,1994,90.521
estimates,935,1995,89.268
estimates,935,1996,87.918
estimates,935,1997,86.878
estimates,935,1998,85.976
estimates,935,1999,84.992
estimates,935,2000,83.846
estimates,935,2001,82.856
estimates,935,2002,81.8
estimates,935,2003,80.634
estimates,935,2004,79.316
estimates,935,2005,77.831
estimates,935,2006,76.348
estimates,935,2007,74.672
estimates,935,2008,72.966
estimates,935,2009,71.408
estimates,935,2010,70.089
estimates,935,2011,69.027
estimates,935,2012,68.126
estimates,935,2013,67.402
estimates,935,2014,66.847
estimates,935,2015,66.452
medium_variant,935,2015,66.452
medium_variant,935,2016,66.312
medium_variant,935,2017,66.301
medium_variant,935,2018,66.369
medium_variant,935,2019,66.447
medium_variant,935,2020,66.488
medium_variant,935,2021,66.531
medium_variant,935,2022,66.534
medium_variant,935,2023,66.515
medium_variant,935,2024,66.508
medium_variant,935,2025,66.535
medium_variant,935,2026,66.626
medium_variant,935,2027,66.737
medium_variant,935,2028,66.868
medium_variant,935,2029,67.021
medium_variant,935,2030,67.201
medium_variant,935,2031,67.467
medium_variant,935,2032,67.74
medium_variant,935,2033,68.019
medium_variant,935,2034,68.303
medium_variant,935,2035,68.589
medium_variant,935,2036,68.911
medium_variant,935,2037,69.221
medium_variant,935,2038,69.517
medium_variant,935,2039,69.787
medium_variant,935,2040,70.024
medium_variant,935,2041,70.245
medium_variant,935,2042,70.425
medium_variant,935,2043,70.599
medium_variant,935,2044,70.81
medium_variant,935,2045,71.079
medium_variant,935,2046,71.415
medium_variant,935,2047,71.789
medium_variant,935,2048,72.218
medium_variant,935,2049,72.732
medium_variant,935,2050,73.347
medium_variant,935,2051,74.07
medium_variant,935,2052,74.879
medium_variant,935,2053,75.735
medium_variant,935,2054,76.567
medium_variant,935,2055,77.323
medium_variant,935,2056,77.998
medium_variant,935,2057,78.587
medium_variant,935,2058,79.097
medium_variant,935,2059,79.535
medium_variant,935,2060,79.903
medium_variant,935,2061,80.182
medium_variant,935,2062,80.389
