variant,global,year,dependencyratio2064
estimates,900,1950,95.659
estimates,900,1951,96.732
estimates,900,1952,97.757
estimates,900,1953,98.61
estimates,900,1954,99.18
estimates,900,1955,99.48
estimates,900,1956,100.483
estimates,900,1957,101.027
estimates,900,1958,101.405
estimates,900,1959,101.901
estimates,900,1960,102.634
estimates,900,1961,103.712
estimates,900,1962,105.11
estimates,900,1963,106.613
estimates,900,1964,107.908
estimates,900,1965,108.851
estimates,900,1966,110.249
estimates,900,1967,111.231
estimates,900,1968,111.847
estimates,900,1969,112.162
estimates,900,1970,112.193
estimates,900,1971,112.232
estimates,900,1972,111.861
estimates,900,1973,111.213
estimates,900,1974,110.426
estimates,900,1975,109.574
estimates,900,1976,109.043
estimates,900,1977,108.389
estimates,900,1978,107.599
estimates,900,1979,106.646
estimates,900,1980,105.538
estimates,900,1981,104.456
estimates,900,1982,103.328
estimates,900,1983,102.155
estimates,900,1984,100.936
estimates,900,1985,99.694
estimates,900,1986,98.892
estimates,900,1987,98.006
estimates,900,1988,97.067
estimates,900,1989,96.082
estimates,900,1990,95.039
estimates,900,1991,94.324
estimates,900,1992,93.368
estimates,900,1993,92.302
estimates,900,1994,91.271
estimates,900,1995,90.335
estimates,900,1996,89.375
estimates,900,1997,88.573
estimates,900,1998,87.83
estimates,900,1999,87.018
estimates,900,2000,86.094
estimates,900,2001,85.346
estimates,900,2002,84.538
estimates,900,2003,83.638
estimates,900,2004,82.612
estimates,900,2005,81.45
estimates,900,2006,80.351
estimates,900,2007,79.097
estimates,900,2008,77.82
estimates,900,2009,76.669
estimates,900,2010,75.722
estimates,900,2011,75.019
estimates,900,2012,74.448
estimates,900,2013,74.016
estimates,900,2014,73.711
estimates,900,2015,73.524
medium_variant,900,2015,73.524
medium_variant,900,2016,73.568
medium_variant,900,2017,73.703
medium_variant,900,2018,73.894
medium_variant,900,2019,74.086
medium_variant,900,2020,74.248
medium_variant,900,2021,74.43
medium_variant,900,2022,74.575
medium_variant,900,2023,74.694
medium_variant,900,2024,74.807
medium_variant,900,2025,74.926
medium_variant,900,2026,75.107
medium_variant,900,2027,75.283
medium_variant,900,2028,75.448
medium_variant,900,2029,75.6
medium_variant,900,2030,75.738
medium_variant,900,2031,75.923
medium_variant,900,2032,76.081
medium_variant,900,2033,76.221
