variant,region,year,gender,dependencyratio2069
estimates,912,1950,male,110.088
estimates,912,1951,male,111.216
estimates,912,1952,male,111.839
estimates,912,1953,male,112.399
estimates,912,1954,male,113.055
estimates,912,1955,male,113.812
estimates,912,1956,male,115.262
estimates,912,1957,male,116.711
estimates,912,1958,male,118.172
estimates,912,1959,male,119.671
estimates,912,1960,male,121.229
estimates,912,1961,male,123.772
estimates,912,1962,male,126.307
estimates,912,1963,male,128.718
estimates,912,1964,male,130.841
estimates,912,1965,male,132.577
estimates,912,1966,male,134.659
estimates,912,1967,male,136.202
estimates,912,1968,male,137.279
estimates,912,1969,male,137.937
estimates,912,1970,male,138.188
estimates,912,1971,male,138.611
estimates,912,1972,male,138.599
estimates,912,1973,male,138.275
estimates,912,1974,male,137.774
estimates,912,1975,male,137.17
estimates,912,1976,male,136.453
estimates,912,1977,male,135.675
estimates,912,1978,male,134.859
estimates,912,1979,male,133.968
estimates,912,1980,male,132.979
estimates,912,1981,male,132.183
estimates,912,1982,male,131.181
estimates,912,1983,male,130.075
estimates,912,1984,male,128.938
estimates,912,1985,male,127.782
estimates,912,1986,male,126.609
estimates,912,1987,male,125.345
estimates,912,1988,male,124.05
estimates,912,1989,male,122.721
estimates,912,1990,male,121.327
estimates,912,1991,male,120.115
estimates,912,1992,male,118.711
estimates,912,1993,male,117.148
estimates,912,1994,male,115.438
estimates,912,1995,male,113.561
estimates,912,1996,male,111.665
estimates,912,1997,male,109.649
estimates,912,1998,male,107.512
estimates,912,1999,male,105.277
estimates,912,2000,male,102.986
estimates,912,2001,male,100.657
estimates,912,2002,male,98.384
estimates,912,2003,male,96.139
estimates,912,2004,male,93.887
estimates,912,2005,male,91.633
estimates,912,2006,male,89.785
estimates,912,2007,male,87.914
estimates,912,2008,male,86.142
estimates,912,2009,male,84.638
estimates,912,2010,male,83.485
estimates,912,2011,male,82.461
estimates,912,2012,male,81.814
estimates,912,2013,male,81.441
estimates,912,2014,male,81.153
estimates,912,2015,male,80.84
medium_variant,912,2015,male,80.84
medium_variant,912,2016,male,80.953
medium_variant,912,2017,male,80.773
medium_variant,912,2018,male,80.453
medium_variant,912,2019,male,80.207
medium_variant,912,2020,male,80.101
medium_variant,912,2021,male,79.689
medium_variant,912,2022,male,79.525
medium_variant,912,2023,male,79.449
medium_variant,912,2024,male,79.254
medium_variant,912,2025,male,78.868
medium_variant,912,2026,male,78.631
medium_variant,912,2027,male,78.227
medium_variant,912,2028,male,77.644
medium_variant,912,2029,male,76.898
medium_variant,912,2030,male,75.998
medium_variant,912,2031,male,75.045
medium_variant,912,2032,male,73.932
medium_variant,912,2033,male,72.754
medium_variant,912,2034,male,71.623
medium_variant,912,2035,male,70.607
medium_variant,912,2036,male,69.817
medium_variant,912,2037,male,69.118
