global,variant,year,dependencyratio2564
900,estimates,1950,136.258732138545
900,estimates,1955,139.674079672564
900,estimates,1960,143.190939533462
900,estimates,1965,148.142878493792
900,estimates,1970,156.104671918421
900,estimates,1975,157.695160543862
900,estimates,1980,151.306364092636
900,estimates,1985,144.243734884233
900,estimates,1990,137.752425082436
900,estimates,1995,129.177536067174
900,estimates,2000,120.738430001442
900,estimates,2005,115.039678984453
900,estimates,2010,108.198716521217
900,constant-fertility,2015,102.358534527438
900,constant-mortality,2015,102.358534527438
900,estimates,2015,102.358534527438
900,high variant,2015,102.358534527438
900,instant-replacement,2015,102.358534527438
900,low variant,2015,102.358534527438
900,medium variant,2015,102.358534527438
900,no change,2015,102.358534527438
900,zero-migration,2015,102.358534527438
900,constant-fertility,2020,101.435955758512
900,constant-mortality,2020,100.410343265464
900,high variant,2020,102.444702160249
900,instant-replacement,2020,98.937620878366
900,low variant,2020,98.8494582749883
900,medium variant,2020,100.648518441166
900,no change,2020,101.191557281015
900,zero-migration,2020,100.645227055437
900,constant-fertility,2025,103.163923078672
900,constant-mortality,2025,100.125287990043
900,high variant,2025,105.273559020346
900,instant-replacement,2025,97.6821238464864
900,low variant,2025,96.3556810401385
900,medium variant,2025,100.816354566781
900,no change,2025,102.441238151714
900,zero-migration,2025,100.816512870101
900,constant-fertility,2030,106.604009495605
900,constant-mortality,2030,100.552974385136
900,high variant,2030,109.55238690088
900,instant-replacement,2030,97.5701580061726
900,low variant,2030,94.2947930457988
900,medium variant,2030,101.925738982205
900,no change,2030,105.144478606489
900,zero-migration,2030,101.920434839724
900,constant-fertility,2035,110.871126506325
900,constant-mortality,2035,100.746891866168
900,high variant,2035,113.771330911224
900,instant-replacement,2035,97.5639461374507
900,low variant,2035,92.3263764858419
900,medium variant,2035,103.04141030065
900,no change,2035,108.390052618946
900,zero-migration,2035,103.044072958925
900,constant-fertility,2040,115.270458800966
900,constant-mortality,2040,99.9141908315487
900,high variant,2040,117.368521271405
900,instant-replacement,2040,96.6748811214631
900,low variant,2040,89.4572330872846
900,medium variant,2040,103.33474458592
900,no change,2040,111.495967917092
900,zero-migration,2040,103.38560993328
900,constant-fertility,2045,118.852931189739
900,constant-mortality,2045,98.4822417677541
900,high variant,2045,117.714894611332
900,instant-replacement,2045,97.6057355967941
900,low variant,2045,88.4654401868992
900,medium variant,2045,103.025247964458
900,no change,2045,113.741579833612
900,zero-migration,2045,103.142072742684
900,constant-fertility,2050,123.947270933591
900,constant-mortality,2050,98.4500879687013
900,high variant,2050,118.629176659644
900,instant-replacement,2050,99.7333714042895
900,low variant,2050,89.9496987061256
900,medium variant,2050,104.181961394957
900,no change,2050,117.389510135574
900,zero-migration,2050,104.320136220545
900,constant-fertility,2055,130.755086743826
900,constant-mortality,2055,99.7835680875702
900,high variant,2055,120.595671720641
900,instant-replacement,2055,103.232800963737
900,low variant,2055,93.5911524953205
900,medium variant,2055,106.811303279792
900,no change,2055,122.599547513123
900,zero-migration,2055,106.926104222543
900,constant-fertility,2060,136.346627073007
900,constant-mortality,2060,99.8342434066057
900,high variant,2060,121.592686097491
900,instant-replacement,2060,105.398067486313
900,low variant,2060,95.8160297498488
900,medium variant,2060,108.119566301955
900,no change,2060,126.609311196741
900,zero-migration,2060,108.177939245029
900,constant-fertility,2065,140.277396427031
900,constant-mortality,2065,98.4051968554814
900,high variant,2065,120.8270333477
900,instant-replacement,2065,106.190603656143
900,low variant,2065,96.6699159037827
900,medium variant,2065,107.836121347581
900,no change,2065,129.076658010539
900,zero-migration,2065,107.847809830341
900,constant-fertility,2070,143.870306420375
900,constant-mortality,2070,96.9216875941777
900,high variant,2070,119.239825093542
900,instant-replacement,2070,107.206598922593
900,low variant,2070,98.0521268490448
900,medium variant,2070,107.40545420917
900,no change,2070,131.339207069332
900,zero-migration,2070,107.38240033032
900,constant-fertility,2075,147.667708692452
900,constant-mortality,2075,96.1141134743404
900,high variant,2075,117.410751245727
900,instant-replacement,2075,108.950311020854
900,low variant,2075,101.003035755119
900,medium variant,2075,107.529507675893
900,no change,2075,133.998802674367
900,zero-migration,2075,107.463646060354
900,constant-fertility,2080,151.641819388848
900,constant-mortality,2080,96.1363333771026
900,high variant,2080,115.718735135099
900,instant-replacement,2080,111.443144184741
900,low variant,2080,105.859490300277
900,medium variant,2080,108.374647007648
900,no change,2080,137.04557128133
900,zero-migration,2080,108.25232230811
900,constant-fertility,2085,155.913653994511
900,constant-mortality,2085,96.2665806403037
900,high variant,2085,115.852826632931
900,instant-replacement,2085,112.261424921782
900,low variant,2085,108.569473483435
900,medium variant,2085,109.333581915865
900,no change,2085,140.395520679403
900,zero-migration,2085,109.14346585397
900,constant-fertility,2090,159.996255646783
900,constant-mortality,2090,95.9836220192576
900,high variant,2090,116.535526981009
900,instant-replacement,2090,113.05171245455
900,low variant,2090,109.435989720858
900,medium variant,2090,109.939848150437
900,no change,2090,143.534444654943
900,zero-migration,2090,109.716787573229
900,constant-fertility,2095,163.864790564094
900,constant-mortality,2095,95.3502715410197
900,high variant,2095,117.240555421883
900,instant-replacement,2095,113.980030147739
900,low variant,2095,109.17342772661
900,medium variant,2095,110.279870542478
900,no change,2095,146.462505003666
900,zero-migration,2095,110.043803303949
900,constant-fertility,2100,167.615011969619
900,constant-mortality,2100,94.6970598308705
900,high variant,2100,117.321072555163
900,instant-replacement,2100,115.178006628321
900,low variant,2100,109.598451717747
900,medium variant,2100,110.619228893294
900,no change,2100,149.360609600085
900,zero-migration,2100,110.366673962007
