variant,region,year,dependencyratio2569
estimates,916,1950,177.36
estimates,916,1951,178.428
estimates,916,1952,180.004
estimates,916,1953,181.237
estimates,916,1954,181.976
estimates,916,1955,182.446
estimates,916,1956,184.511
estimates,916,1957,185.768
estimates,916,1958,186.752
estimates,916,1959,187.897
estimates,916,1960,189.34
estimates,916,1961,191.029
estimates,916,1962,193.021
estimates,916,1963,195.111
estimates,916,1964,196.964
estimates,916,1965,198.449
estimates,916,1966,200.262
estimates,916,1967,201.639
estimates,916,1968,202.75
estimates,916,1969,203.922
estimates,916,1970,205.328
estimates,916,1971,206.995
estimates,916,1972,208.909
estimates,916,1973,210.698
estimates,916,1974,211.762
estimates,916,1975,211.806
estimates,916,1976,211.641
estimates,916,1977,210.18
estimates,916,1978,207.972
estimates,916,1979,205.701
estimates,916,1980,203.672
estimates,916,1981,200.828
estimates,916,1982,198.386
estimates,916,1983,196.12
estimates,916,1984,193.722
estimates,916,1985,191.109
estimates,916,1986,188.085
estimates,916,1987,184.849
estimates,916,1988,181.487
estimates,916,1989,178.17
estimates,916,1990,175.002
estimates,916,1991,172.227
estimates,916,1992,169.44
estimates,916,1993,166.555
estimates,916,1994,163.432
estimates,916,1995,160.042
estimates,916,1996,156.242
estimates,916,1997,152.46
estimates,916,1998,148.905
estimates,916,1999,145.68
estimates,916,2000,142.748
estimates,916,2001,139.847
estimates,916,2002,137.043
estimates,916,2003,134.348
estimates,916,2004,131.778
estimates,916,2005,129.336
estimates,916,2006,126.742
estimates,916,2007,124.212
estimates,916,2008,121.741
estimates,916,2009,119.328
estimates,916,2010,116.982
estimates,916,2011,114.772
estimates,916,2012,112.63
estimates,916,2013,110.53
estimates,916,2014,108.431
estimates,916,2015,106.318
medium_variant,916,2015,106.318
medium_variant,916,2016,104.286
medium_variant,916,2017,102.216
medium_variant,916,2018,100.168
medium_variant,916,2019,98.208
medium_variant,916,2020,96.368
medium_variant,916,2021,94.63
medium_variant,916,2022,92.987
medium_variant,916,2023,91.439
medium_variant,916,2024,89.98
medium_variant,916,2025,88.609
medium_variant,916,2026,87.339
medium_variant,916,2027,86.152
medium_variant,916,2028,85.046
medium_variant,916,2029,84.021
medium_variant,916,2030,83.078
medium_variant,916,2031,82.209
medium_variant,916,2032,81.41
medium_variant,916,2033,80.683
medium_variant,916,2034,80.023
medium_variant,916,2035,79.427
medium_variant,916,2036,78.878
medium_variant,916,2037,78.381
medium_variant,916,2038,77.936
medium_variant,916,2039,77.548
medium_variant,916,2040,77.225
medium_variant,916,2041,76.933
medium_variant,916,2042,76.689
medium_variant,916,2043,76.497
medium_variant,916,2044,76.355
medium_variant,916,2045,76.258
medium_variant,916,2046,76.15
medium_variant,916,2047,76.083
medium_variant,916,2048,76.06
medium_variant,916,2049,76.079
medium_variant,916,2050,76.147
medium_variant,916,2051,76.197
medium_variant,916,2052,76.287
medium_variant,916,2053,76.427
medium_variant,916,2054,76.62
medium_variant,916,2055,76.871
medium_variant,916,2056,77.083
medium_variant,916,2057,77.343
medium_variant,916,2058,77.664
medium_variant,916,2059,78.051
medium_variant,916,2060,78.51
medium_variant,916,2061,78.917
medium_variant,916,2062,79.388
medium_variant,916,2063,79.923
medium_variant,916,2064,80.52
medium_variant,916,2065,81.175
medium_variant,916,2066,81.749
medium_variant,916,2067,82.38
medium_variant,916,2068,83.056
medium_variant,916,2069,83.756
medium_variant,916,2070,84.469
medium_variant,916,2071,85.035
medium_variant,916,2072,85.612
medium_variant,916,2073,86.204
medium_variant,916,2074,86.814
medium_variant,916,2075,87.446
medium_variant,916,2076,87.902
medium_variant,916,2077,88.375
medium_variant,916,2078,88.878
medium_variant,916,2079,89.425
medium_variant,916,2080,90.025
medium_variant,916,2081,90.456
medium_variant,916,2082,90.94
medium_variant,916,2083,91.48
medium_variant,916,2084,92.069
medium_variant,916,2085,92.704
medium_variant,916,2086,93.143
medium_variant,916,2087,93.634
medium_variant,916,2088,94.177
medium_variant,916,2089,94.762
medium_variant,916,2090,95.385
medium_variant,916,2091,95.794
medium_variant,916,2092,96.25
medium_variant,916,2093,96.748
medium_variant,916,2094,97.282
medium_variant,916,2095,97.849
medium_variant,916,2096,98.183
medium_variant,916,2097,98.552
medium_variant,916,2098,98.959
medium_variant,916,2099,99.408
medium_variant,916,2100,99.901
high_variant,916,2015,106.318242037471
low_variant,916,2015,106.318242037471
constant_fertility,916,2015,106.318242037471
instant_replacement,916,2015,106.318242037471
zero_migration,916,2015,106.318242037471
constant_mortality,916,2015,106.318242037471
no_change,916,2015,106.318242037471
high_variant,916,2020,98.3180423757051
low_variant,916,2020,94.4188609994181
constant_fertility,916,2020,97.6139000154596
instant_replacement,916,2020,95.5174025586018
zero_migration,916,2020,96.3759418664779
constant_mortality,916,2020,96.3018907715563
no_change,916,2020,97.5449626924822
high_variant,916,2025,93.3160345622532
low_variant,916,2025,83.9021693002108
constant_fertility,916,2025,91.9218998602064
instant_replacement,916,2025,87.9495242220979
zero_migration,916,2025,88.5292855600282
constant_mortality,916,2025,88.4206881504012
no_change,916,2025,91.727303681196
high_variant,916,2030,90.8865760535985
low_variant,916,2030,75.2697344412419
constant_fertility,916,2030,88.9759696960183
instant_replacement,916,2030,83.2660983421984
zero_migration,916,2030,82.8850069614719
constant_mortality,916,2030,82.6961774892194
no_change,916,2030,88.5893208247362
high_variant,916,2035,90.148157896018
low_variant,916,2035,68.753566291251
constant_fertility,916,2035,88.3060132036254
instant_replacement,916,2035,80.800036965008
zero_migration,916,2035,79.1516783316044
constant_mortality,916,2035,78.7437257408252
no_change,916,2035,87.6307414184624
high_variant,916,2040,91.0465661309653
low_variant,916,2040,63.6579154708664
constant_fertility,916,2040,89.5736814341808
instant_replacement,916,2040,79.9180964083991
zero_migration,916,2040,76.9228286260755
constant_mortality,916,2040,76.0871808181339
no_change,916,2040,88.472056652064
