continent,year,variant,agebroad,feminityratio_femaleper100male
935,1950,Estimates,total,95.4262922054449
935,1950,Estimates,0_1,96.7332874740867
935,1950,Estimates,0_4,95.9357726115609
935,1950,Estimates,0_14,94.3946303039061
935,1950,Estimates,0_17,94.276544697107
935,1950,Estimates,0_19,94.2110383264511
935,1950,Estimates,0_24,94.0437036321072
935,1950,Estimates,3_4,95.0234013004038
935,1950,Estimates,3_5,94.7895280496933
935,1950,Estimates,3_6,94.5786058241764
935,1950,Estimates,4_5,94.5273052702544
935,1950,Estimates,4_6,94.3240119296702
935,1950,Estimates,5_10,93.5812339912247
935,1950,Estimates,5_11,93.5121214715084
935,1950,Estimates,5_14,93.4162661394063
935,1950,Estimates,6_9,93.5081053745167
935,1950,Estimates,6_10,93.4295125127054
935,1950,Estimates,6_11,93.3727811642821
935,1950,Estimates,6_12,93.3357882062678
935,1950,Estimates,7_10,93.307685061828
935,1950,Estimates,7_12,93.2376391412415
935,1950,Estimates,11_16,93.2686833501039
935,1950,Estimates,11_17,93.3282551532662
935,1950,Estimates,11_18,93.3604502594183
935,1950,Estimates,12_14,93.1806606610234
935,1950,Estimates,12_16,93.307478052838
935,1950,Estimates,12_17,93.3712765103999
935,1950,Estimates,12_18,93.4025359216156
935,1950,Estimates,13_17,93.4266586248492
935,1950,Estimates,13_18,93.4546627616734
935,1950,Estimates,13_19,93.4439628985691
935,1950,Estimates,15plus,96.0254922326549
935,1950,Estimates,15_17,93.5723540809395
935,1950,Estimates,15_24,93.3636661283205
935,1950,Estimates,15_49,93.8824684190168
935,1950,Estimates,15_59,94.1392966474501
935,1950,Estimates,15_64,94.5660090447541
935,1950,Estimates,16plus,96.1151002400842
935,1950,Estimates,17plus,96.2021357097259
935,1950,Estimates,18plus,96.290199534569
935,1950,Estimates,18_23,93.1855858823113
935,1950,Estimates,20plus,96.4954434014041
935,1950,Estimates,20_64,94.7739948518452
935,1950,Estimates,20_69,95.3583789106283
935,1950,Estimates,21plus,96.6175490958759
935,1950,Estimates,25plus,97.164762732724
935,1950,Estimates,25_49,94.1984705486238
935,1950,Estimates,25_64,95.1260640843722
935,1950,Estimates,25_69,95.8190770420679
935,1950,Estimates,50plus,104.175315944517
935,1950,Estimates,60plus,113.769144556196
935,1950,Estimates,65plus,120.24878567467
935,1950,Estimates,70plus,127.125590605442
935,1950,Estimates,75plus,136.626318553176
935,1950,Estimates,80plus,154.237893820374
935,1950,Estimates,85plus,172.051778155354
935,1950,Estimates,90plus,204.978509299057
935,1955,Estimates,total,95.6885544863946
935,1955,Estimates,0_1,94.7167691796937
935,1955,Estimates,0_4,95.227261595478
935,1955,Estimates,0_14,94.9619710203337
935,1955,Estimates,0_17,94.7339198616414
935,1955,Estimates,0_19,94.6295169373712
935,1955,Estimates,0_24,94.5102529970182
935,1955,Estimates,3_4,95.7711043951845
935,1955,Estimates,3_5,95.8194362256234
935,1955,Estimates,3_6,95.8291153259791
935,1955,Estimates,4_5,95.8946088705414
935,1955,Estimates,4_6,95.8842768273732
935,1955,Estimates,5_10,95.4438884858974
935,1955,Estimates,5_11,95.26211826802
935,1955,Estimates,5_14,94.7686670221296
935,1955,Estimates,6_9,95.5062526593053
935,1955,Estimates,6_10,95.3330014356576
935,1955,Estimates,6_11,95.1326580593536
935,1955,Estimates,6_12,94.9312967028904
935,1955,Estimates,7_10,95.1856291753422
935,1955,Estimates,7_12,94.7530637397418
935,1955,Estimates,11_16,93.4751018506256
935,1955,Estimates,11_17,93.4410240286386
935,1955,Estimates,11_18,93.428051049307
935,1955,Estimates,12_14,93.4345917972279
935,1955,Estimates,12_16,93.3618943230606
935,1955,Estimates,12_17,93.3404700784458
935,1955,Estimates,12_18,93.3395529166551
935,1955,Estimates,13_17,93.2909516001661
935,1955,Estimates,13_18,93.2979563986979
935,1955,Estimates,13_19,93.3251648683535
935,1955,Estimates,15plus,96.1410730084576
