region,year,variant,agebroad,feminityratio_femaleper100male
934,1950,estimates,total,95.7865193033893
934,1950,estimates,0_1,96.6163300158855
934,1950,estimates,0_4,95.9858589206441
934,1950,estimates,0_14,94.7378862551543
934,1950,estimates,0_17,94.6538882861965
934,1950,estimates,0_19,94.6062436881405
934,1950,estimates,0_24,94.4539409297815
934,1950,estimates,3_4,95.2593890732763
934,1950,estimates,3_5,95.0701476117412
934,1950,estimates,3_6,94.8984381073079
934,1950,estimates,4_5,94.8579799251154
934,1950,estimates,4_6,94.691662875641
934,1950,estimates,5_10,94.0740714577876
934,1950,estimates,5_11,94.0132997899308
934,1950,estimates,5_14,93.9340799351936
934,1950,estimates,6_9,94.0147876767287
934,1950,estimates,6_10,93.9468825342082
934,1950,estimates,6_11,93.8958178128279
934,1950,estimates,6_12,93.8621214555617
934,1950,estimates,7_10,93.8436039814786
934,1950,estimates,7_12,93.7777742482863
934,1950,estimates,11_16,93.8291659818645
934,1950,estimates,11_17,93.889355059331
934,1950,estimates,11_18,93.9232114708551
934,1950,estimates,12_14,93.7375654421268
934,1950,estimates,12_16,93.8702320379735
934,1950,estimates,12_17,93.9344994669856
934,1950,estimates,12_18,93.9674526736475
934,1950,estimates,13_17,93.994015749598
934,1950,estimates,13_18,94.0234330273418
934,1950,estimates,13_19,94.0153019894358
934,1950,estimates,15plus,96.4118280554491
934,1950,estimates,15_17,94.1435761280363
934,1950,estimates,15_24,93.8932374081296
934,1950,estimates,15_49,94.1945449691033
934,1950,estimates,15_59,94.5670927741911
934,1950,estimates,15_64,95.0051204938232
934,1950,estimates,16plus,96.4957577857493
934,1950,estimates,17plus,96.5768840588675
934,1950,estimates,18plus,96.658694628326
934,1950,estimates,18_23,93.7467530305794
934,1950,estimates,20plus,96.8496258371579
934,1950,estimates,20_64,95.1866842767316
934,1950,estimates,20_69,95.7494905077532
934,1950,estimates,21plus,96.963772998673
934,1950,estimates,25plus,97.5014093220301
934,1950,estimates,25_49,94.3790842045289
934,1950,estimates,25_64,95.5277976587493
934,1950,estimates,25_69,96.196628555434
934,1950,estimates,50plus,105.012096300877
934,1950,estimates,60plus,114.157554982705
934,1950,estimates,65plus,120.289630388223
934,1950,estimates,70plus,127.117730996082
934,1950,estimates,75plus,136.287745286517
934,1950,estimates,80plus,151.664411121722
934,1950,estimates,85plus,165.712161851236
934,1950,estimates,90plus,187.108654367878
934,1955,estimates,total,96.0114045275975
934,1955,estimates,0_1,94.9470982397447
934,1955,estimates,0_4,95.3659383187844
934,1955,estimates,0_14,95.1849494651736
934,1955,estimates,0_17,95.0006184128372
934,1955,estimates,0_19,94.9184672762943
934,1955,estimates,0_24,94.8393084623195
934,1955,estimates,3_4,95.8176746429069
934,1955,estimates,3_5,95.8616113797307
934,1955,estimates,3_6,95.8743562942095
934,1955,estimates,4_5,95.9278700852644
934,1955,estimates,4_6,95.924636510437
934,1955,estimates,5_10,95.5907533543772
934,1955,estimates,5_11,95.4469590158346
934,1955,estimates,5_14,95.0509991753544
934,1955,estimates,6_9,95.6425949950313
934,1955,estimates,6_10,95.5056402900758
934,1955,estimates,6_11,95.3465440462231
934,1955,estimates,6_12,95.1857703266565
934,1955,estimates,7_10,95.3903522613965
934,1955,estimates,7_12,95.0448584525611
934,1955,estimates,11_16,93.9955910435635
934,1955,estimates,11_17,93.9621803040352
934,1955,estimates,11_18,93.9497923461251
934,1955,estimates,12_14,93.972742744391
934,1955,estimates,12_16,93.8986814000953
934,1955,estimates,12_17,93.8752552953449
934,1955,estimates,12_18,93.8730300426614
934,1955,estimates,13_17,93.8281053549813
934,1955,estimates,13_18,93.8331509513393
934,1955,estimates,13_19,93.8597366799382
934,1955,estimates,15plus,96.5427377921913
934,1955,estimates,15_17,93.7752226620603
934,1955,estimates,15_24,94.1057598464866
934,1955,estimates,15_49,94.2280139316875
934,1955,estimates,15_59,94.7129807174331
934,1955,estimates,15_64,95.0865694414667
934,1955,estimates,16plus,96.6339149326072
934,1955,estimates,17plus,96.7334690702023
934,1955,estimates,18plus,96.8390383959543
934,1955,estimates,18_23,94.2636132707228
934,1955,estimates,20plus,97.0534129225281
934,1955,estimates,20_64,95.3383038120769
934,1955,estimates,20_69,95.8742249318417
934,1955,estimates,21plus,97.1586716923707
934,1955,estimates,25plus,97.601796704005
934,1955,estimates,25_49,94.3029443484913
934,1955,estimates,25_64,95.5488409762599
934,1955,estimates,25_69,96.1918623860121
934,1955,estimates,50plus,105.640957065013
934,1955,estimates,60plus,114.762146377029
934,1955,estimates,65plus,121.886817993683
934,1955,estimates,70plus,131.136373304479
934,1955,estimates,75plus,141.283773149121
934,1955,estimates,80plus,155.746984400557
934,1955,estimates,85plus,181.291134339915
934,1955,estimates,90plus,210.468192994546
934,1960,estimates,total,96.1921971614151
934,1960,estimates,0_1,95.8695368905792
934,1960,estimates,0_4,95.4226615472297
934,1960,estimates,0_14,95.3697571973226
934,1960,estimates,0_17,95.2764944010697
934,1960,estimates,0_19,95.194265284397
934,1960,estimates,0_24,95.0483780288408
934,1960,estimates,3_4,95.0270975820543
934,1960,estimates,3_5,94.9917009310216
934,1960,estimates,3_6,94.979070935457
934,1960,estimates,4_5,94.9414291485816
934,1960,estimates,4_6,94.9405472508418
934,1960,estimates,5_10,95.1199684909879
934,1960,estimates,5_11,95.2053862473232
934,1960,estimates,5_14,95.3353915240443
934,1960,estimates,6_9,95.0900839833732
934,1960,estimates,6_10,95.1660700687892
934,1960,estimates,6_11,95.2615849607454
934,1960,estimates,6_12,95.3478555909955
934,1960,estimates,7_10,95.2302114060964
934,1960,estimates,7_12,95.4293354866736
934,1960,estimates,11_16,95.453799823299
934,1960,estimates,11_17,95.2924895822068
934,1960,estimates,11_18,95.1566056570658
934,1960,estimates,12_14,95.7342500433722
934,1960,estimates,12_16,95.3674891342453
934,1960,estimates,12_17,95.188405818094
934,1960,estimates,12_18,95.0434913939239
934,1960,estimates,13_17,95.0112765245215
934,1960,estimates,13_18,94.8669434753916
934,1960,estimates,13_19,94.7674779322187
934,1960,estimates,15plus,96.7619250465737
934,1960,estimates,15_17,94.5873592345732
934,1960,estimates,15_24,94.2975058724399
934,1960,estimates,15_49,94.2196668834482
934,1960,estimates,15_59,94.902797062885
934,1960,estimates,15_64,95.3170207856536
934,1960,estimates,16plus,96.820916923463
934,1960,estimates,17plus,96.8966565051291
934,1960,estimates,18plus,96.9868778526884
934,1960,estimates,18_23,94.1379712186193
934,1960,estimates,20plus,97.1890711594746
934,1960,estimates,20_64,95.4938215346019
934,1960,estimates,20_69,95.9888754280532
934,1960,estimates,21plus,97.2988007566077
934,1960,estimates,25plus,97.8005562857376
934,1960,estimates,25_49,94.1736040184237
934,1960,estimates,25_64,95.7815986499631
934,1960,estimates,25_69,96.3708441595589
934,1960,estimates,50plus,106.775298838374
934,1960,estimates,60plus,115.546951716124
934,1960,estimates,65plus,122.655352273484
934,1960,estimates,70plus,132.857004978545
934,1960,estimates,75plus,146.383536641593
934,1960,estimates,80plus,158.730252904696
934,1960,estimates,85plus,179.131855076611
934,1960,estimates,90plus,217.295259554554
934,1965,estimates,total,96.2806619679919
934,1965,estimates,0_1,95.1957210548438
934,1965,estimates,0_4,95.200124912487
934,1965,estimates,0_14,95.1412343018995
934,1965,estimates,0_17,95.2421599432675
934,1965,estimates,0_19,95.2849852736178
934,1965,estimates,0_24,95.2120170026781
934,1965,estimates,3_4,95.1984326917775
934,1965,estimates,3_5,95.1872875494701
934,1965,estimates,3_6,95.1743255427263
934,1965,estimates,4_5,95.1768597273944
934,1965,estimates,4_6,95.1625954084807
934,1965,estimates,5_10,95.0916912698742
934,1965,estimates,5_11,95.0746944903153
934,1965,estimates,5_14,95.1037205321209
934,1965,estimates,6_9,95.0895289675094
934,1965,estimates,6_10,95.0762604294921
934,1965,estimates,6_11,95.0586931771318
934,1965,estimates,6_12,95.0498307665543
934,1965,estimates,7_10,95.0614278612754
934,1965,estimates,7_12,95.0351153287178
934,1965,estimates,11_16,95.3393475523335
934,1965,estimates,11_17,95.4424416128867
934,1965,estimates,11_18,95.5058764948883
934,1965,estimates,12_14,95.1798843339963
934,1965,estimates,12_16,95.4243123675382
934,1965,estimates,12_17,95.5355941975305
934,1965,estimates,12_18,95.5988791181684
934,1965,estimates,13_17,95.6643399091049
934,1965,estimates,13_18,95.722034842236
934,1965,estimates,13_19,95.7176617401267
934,1965,estimates,15plus,97.1159440209544
934,1965,estimates,15_17,95.9650779252191
934,1965,estimates,15_24,95.3858974758057
934,1965,estimates,15_49,94.5656648217979
934,1965,estimates,15_59,95.2117217868676
934,1965,estimates,15_64,95.6760760435721
