continent,year,variant,agebroad,feminityrato_femaleper100male
904,1950,estimates,total,100.061354756291
904,1950,estimates,0_1,96.818842302271
904,1950,estimates,0_4,97.1234903090526
904,1950,estimates,0_14,97.5956065586797
904,1950,estimates,0_17,97.8621696559755
904,1950,estimates,0_19,98.0547601127073
904,1950,estimates,0_24,98.461707233873
904,1950,estimates,3_4,97.4497933566072
904,1950,estimates,3_5,97.5104647116365
904,1950,estimates,3_6,97.5597615008991
904,1950,estimates,4_5,97.58250218085
904,1950,estimates,4_6,97.6267392633963
904,1950,estimates,5_10,97.7692658685295
904,1950,estimates,5_11,97.7747690318618
904,1950,estimates,5_14,97.9099768141288
904,1950,estimates,6_9,97.7857746947923
904,1950,estimates,6_10,97.7977687242373
904,1950,estimates,6_11,97.799837904325
904,1950,estimates,6_12,97.8137424214134
904,1950,estimates,7_10,97.818556657876
904,1950,estimates,7_12,97.830863691438
904,1950,estimates,11_16,98.550003344055
904,1950,estimates,11_17,98.7526534064758
904,1950,estimates,11_18,98.9337122456753
904,1950,estimates,12_14,98.2697906488843
904,1950,estimates,12_16,98.7104308091663
904,1950,estimates,12_17,98.9254862447067
904,1950,estimates,12_18,99.1127035672324
904,1950,estimates,13_17,99.1488997067262
904,1950,estimates,13_18,99.3359337130985
904,1950,estimates,13_19,99.4863164474231
904,1950,estimates,15plus,101.760593169328
904,1950,estimates,15_17,99.6441905062199
904,1950,estimates,15_24,100.334626322426
904,1950,estimates,15_49,100.386271227899
904,1950,estimates,15_59,100.618696195426
904,1950,estimates,15_64,100.857701500827
904,1950,estimates,16plus,101.855365702057
904,1950,estimates,17plus,101.93558838665
904,1950,estimates,18plus,102.003835718805
904,1950,estimates,18_23,100.631604954909
904,1950,estimates,20plus,102.127982079705
904,1950,estimates,20_64,101.056127277379
904,1950,estimates,20_69,101.336775254147
904,1950,estimates,21plus,102.188056150188
904,1950,estimates,25plus,102.427573939508
904,1950,estimates,25_49,100.419972552646
904,1950,estimates,25_64,101.123989448599
904,1950,estimates,25_69,101.467181821299
904,1950,estimates,50plus,107.508398754941
904,1950,estimates,60plus,113.357651488696
904,1950,estimates,65plus,117.176103240668
904,1950,estimates,70plus,122.55951927804
904,1950,estimates,75plus,129.416437817458
904,1950,estimates,80plus,137.388367137558
904,1950,estimates,85plus,146.054349384589
904,1950,estimates,90plus,155.440498015593
904,1955,estimates,total,100.091911707593
904,1955,estimates,0_1,97.72874049611
904,1955,estimates,0_4,97.6241287941555
904,1955,estimates,0_14,97.6696272827596
904,1955,estimates,0_17,97.7431155444367
904,1955,estimates,0_19,97.8347522163106
904,1955,estimates,0_24,98.215911646368
904,1955,estimates,3_4,97.5150614746712
904,1955,estimates,3_5,97.5018233885342
904,1955,estimates,3_6,97.4957623866664
904,1955,estimates,4_5,97.4837191252717
904,1955,estimates,4_6,97.4811781788099
904,1955,estimates,5_10,97.5476800226559
904,1955,estimates,5_11,97.5850900249794
904,1955,estimates,5_14,97.7013376736224
904,1955,estimates,6_9,97.5317457560041
904,1955,estimates,6_10,97.5645724016103
904,1955,estimates,6_11,97.6066216892915
904,1955,estimates,6_12,97.6517681736163
904,1955,estimates,7_10,97.5891567046094
904,1955,estimates,7_12,97.685359520957
904,1955,estimates,11_16,98.0425898904294
904,1955,estimates,11_17,98.0884745334155
904,1955,estimates,11_18,98.1644964455911
904,1955,estimates,12_14,98.0242827968723
904,1955,estimates,12_16,98.0863571075809
904,1955,estimates,12_17,98.1338278469626
904,1955,estimates,12_18,98.2159992098266
904,1955,estimates,13_17,98.1718255815828
904,1955,estimates,13_18,98.263106425851
904,1955,estimates,13_19,98.3936544310268
904,1955,estimates,15plus,101.838292668894
904,1955,estimates,15_17,98.2521906912171
904,1955,estimates,15_24,99.4687888427571
904,1955,estimates,15_49,100.473646903072
904,1955,estimates,15_59,100.675017120745
904,1955,estimates,15_64,100.895112487885
904,1955,estimates,16plus,101.973846343758
904,1955,estimates,17plus,102.114181217072
904,1955,estimates,18plus,102.254875453566
904,1955,estimates,18_23,99.9245294223419
904,1955,estimates,20plus,102.507613593712
904,1955,estimates,20_64,101.40761292669
904,1955,estimates,20_69,101.727338363436
904,1955,estimates,21plus,102.613167114422
904,1955,estimates,25plus,102.924678103081
904,1955,estimates,25_49,101.120534080293
904,1955,estimates,25_64,101.607364330309
904,1955,estimates,25_69,101.99055510485
904,1955,estimates,50plus,107.389302361753
904,1955,estimates,60plus,113.443334722958
904,1955,estimates,65plus,117.700518812964
