country,year,variant,agebroad,feminityrato_femaleper100male
598,1950,estimates,total,89.7738079367195
598,1950,estimates,0_1,94.9243052675238
598,1950,estimates,0_4,94.0231009889833
598,1950,estimates,0_14,92.1465264747609
598,1950,estimates,0_17,91.7764364886463
598,1950,estimates,0_19,91.5506316935635
598,1950,estimates,0_24,91.0486636250708
598,1950,estimates,3_4,93.0381636837809
598,1950,estimates,3_5,92.7867656002919
598,1950,estimates,3_6,92.5583888190307
598,1950,estimates,4_5,92.5079076306051
598,1950,estimates,4_6,92.2875469161391
598,1950,estimates,5_10,91.39283871016
598,1950,estimates,5_11,91.2793595112196
598,1950,estimates,5_14,90.9677269128673
598,1950,estimates,6_9,91.3306315433975
598,1950,estimates,6_10,91.2064621178354
598,1950,estimates,6_11,91.10203519721
598,1950,estimates,6_12,91.0067043095355
598,1950,estimates,7_10,91.0425776754891
598,1950,estimates,7_12,90.8597412118896
598,1950,estimates,11_16,90.0483724680036
598,1950,estimates,11_17,89.9454545454545
598,1950,estimates,11_18,89.8445336008024
598,1950,estimates,12_14,90.1682081596731
598,1950,estimates,12_16,89.9419906370852
598,1950,estimates,12_17,89.8375098556785
598,1950,estimates,12_18,89.7354434514089
598,1950,estimates,13_17,89.7179452524769
598,1950,estimates,13_18,89.6164385960304
598,1950,estimates,13_19,89.5183491456783
598,1950,estimates,15plus,88.266933573598
598,1950,estimates,15_17,89.4847771027789
598,1950,estimates,15_24,88.8484445488991
598,1950,estimates,15_49,87.9508538482576
598,1950,estimates,15_59,88.0969031069695
598,1950,estimates,15_64,88.1150127385062
598,1950,estimates,16plus,88.215763261219
598,1950,estimates,17plus,88.1691894307341
598,1950,estimates,18plus,88.1277540618934
598,1950,estimates,18_23,88.620905324056
598,1950,estimates,20plus,88.0614174980529
598,1950,estimates,20_64,87.8581720555177
598,1950,estimates,20_69,87.9296122550173
598,1950,estimates,21plus,88.0368153790352
598,1950,estimates,25plus,87.9971706115893
598,1950,estimates,25_49,87.3744234245179
598,1950,estimates,25_64,87.7375329322945
598,1950,estimates,25_69,87.8310794647003
598,1950,estimates,50plus,89.6174549355401
598,1950,estimates,60plus,89.8208004125458
598,1950,estimates,65plus,90.3692722371968
598,1950,estimates,70plus,90.8428970971164
598,1950,estimates,75plus,91.1639762107052
598,1950,estimates,80plus,87.625313283208
598,1950,estimates,85plus,99.023199023199
598,1950,estimates,90plus,111.764705882353
598,1955,estimates,total,91.4975530522453
598,1955,estimates,0_1,95.8159869883761
598,1955,estimates,0_4,95.9043391092654
598,1955,estimates,0_14,94.4652412677189
598,1955,estimates,0_17,93.9285577738345
598,1955,estimates,0_19,93.5773752543398
598,1955,estimates,0_24,92.7155120193701
598,1955,estimates,3_4,95.9447907390917
598,1955,estimates,3_5,95.8480157476488
598,1955,estimates,3_6,95.7170916063932
598,1955,estimates,4_5,95.7632503550871
598,1955,estimates,4_6,95.6114806007351
598,1955,estimates,5_10,94.5542671838592
598,1955,estimates,5_11,94.2780222811162
598,1955,estimates,5_14,93.5072644628457
598,1955,estimates,6_9,94.5865116085198
598,1955,estimates,6_10,94.3146042758632
598,1955,estimates,6_11,94.0247457868165
598,1955,estimates,6_12,93.7369159914292
598,1955,estimates,7_10,94.0524906266738
598,1955,estimates,7_12,93.4529402766548
598,1955,estimates,11_16,91.4025935075492
598,1955,estimates,11_17,91.2368669135026
598,1955,estimates,11_18,91.0608082406004
598,1955,estimates,12_14,91.4988359920628
598,1955,estimates,12_16,91.1755141080822
598,1955,estimates,12_17,91.0162192618827
598,1955,estimates,12_18,90.8425572253046
598,1955,estimates,13_17,90.8328697061091
598,1955,estimates,13_18,90.6571010633926
598,1955,estimates,13_19,90.4632715258196
598,1955,estimates,15plus,89.4847718154198
598,1955,estimates,15_17,90.5033869039713
598,1955,estimates,15_24,89.0823844608171
598,1955,estimates,15_49,87.901393436705
598,1955,estimates,15_59,88.5374906635367
598,1955,estimates,15_64,88.7311350854022
598,1955,estimates,16plus,89.4349078741685
598,1955,estimates,17plus,89.3938213446186
598,1955,estimates,18plus,89.3636510800599
598,1955,estimates,18_23,88.5717713062415
598,1955,estimates,20plus,89.3553268183788
598,1955,estimates,20_64,88.4256749553734
598,1955,estimates,20_69,88.7018858233374
598,1955,estimates,21plus,89.3809004559355
598,1955,estimates,25plus,89.679965203356
598,1955,estimates,25_49,87.1363588649008
598,1955,estimates,25_64,88.547422901764
598,1955,estimates,25_69,88.8858428210731
598,1955,estimates,50plus,97.2636037389417
598,1955,estimates,60plus,101.334795251943
598,1955,estimates,65plus,104.161549021024
598,1955,estimates,70plus,106.843633347159
598,1955,estimates,75plus,107.992106561421
598,1955,estimates,80plus,106.896551724138
598,1955,estimates,85plus,99.0255785627284
598,1955,estimates,90plus,110.38961038961
598,1960,estimates,total,92.5647999122817
598,1960,estimates,0_1,94.5406277207656
598,1960,estimates,0_4,95.2309128779717
598,1960,estimates,0_14,95.637299246919
598,1960,estimates,0_17,95.2231997925527
598,1960,estimates,0_19,94.8862693323274
598,1960,estimates,0_24,94.0031548829275
598,1960,estimates,3_4,95.9286051265923
598,1960,estimates,3_5,96.0623706832192
598,1960,estimates,3_6,96.1634872061983
598,1960,estimates,4_5,96.2180906486064
598,1960,estimates,4_6,96.3052554841275
598,1960,estimates,5_10,96.396021197745
598,1960,estimates,5_11,96.3210631900968
598,1960,estimates,5_14,95.8999493247817
598,1960,estimates,6_9,96.4728805111242
598,1960,estimates,6_10,96.4075391495579
598,1960,estimates,6_11,96.3166757435195
598,1960,estimates,6_12,96.1947028254509
598,1960,estimates,7_10,96.38520245122
598,1960,estimates,7_12,96.1390688075181
598,1960,estimates,11_16,94.3320790216369
598,1960,estimates,11_17,93.9774153074028
598,1960,estimates,11_18,93.6413579377377
598,1960,estimates,12_14,94.7339262283131
598,1960,estimates,12_16,94.0119653380789
598,1960,estimates,12_17,93.6430465172331
598,1960,estimates,12_18,93.2984846705039
598,1960,estimates,13_17,93.2740594385445
598,1960,estimates,13_18,92.9254405226945
598,1960,estimates,13_19,92.6075053418803
598,1960,estimates,15plus,90.3703343195713
598,1960,estimates,15_17,92.4771728629749
598,1960,estimates,15_24,90.4831558488885
598,1960,estimates,15_49,88.2002081929095
598,1960,estimates,15_59,89.0031059299757
598,1960,estimates,15_64,89.3959448680392
598,1960,estimates,16plus,90.2596916172933
598,1960,estimates,17plus,90.1750525664364
598,1960,estimates,18plus,90.116026474123
598,1960,estimates,18_23,89.779540074984
598,1960,estimates,20plus,90.0592771123578
598,1960,estimates,20_64,88.853442823343
598,1960,estimates,20_69,89.213224480246
598,1960,estimates,21plus,90.0611769893121
598,1960,estimates,25plus,90.314368137869
598,1960,estimates,25_49,86.715896301854
598,1960,estimates,25_64,88.8255755290619
598,1960,estimates,25_69,89.2727239731727
598,1960,estimates,50plus,101.897064898474
598,1960,estimates,60plus,110.138535775437
598,1960,estimates,65plus,116.175453161755
598,1960,estimates,70plus,122.293855460045
598,1960,estimates,75plus,126.730740351404
598,1960,estimates,80plus,126.956196181206
598,1960,estimates,85plus,123.821339950372
598,1960,estimates,90plus,112.101910828025
598,1965,estimates,total,93.3063379273825
598,1965,estimates,0_1,94.683467665645
598,1965,estimates,0_4,94.6877610974854
598,1965,estimates,0_14,95.6083537455448
598,1965,estimates,0_17,95.632205301131
598,1965,estimates,0_19,95.5162218950365
598,1965,estimates,0_24,94.8595981742556
598,1965,estimates,3_4,94.7385875364074
598,1965,estimates,3_5,94.8334572781714
598,1965,estimates,3_6,94.9462012565476
598,1965,estimates,4_5,94.9229618548991
598,1965,estimates,4_6,95.0472271769094
598,1965,estimates,5_10,95.7712538825155
598,1965,estimates,5_11,95.9249215968309
598,1965,estimates,5_14,96.1937668819327
598,1965,estimates,6_9,95.7759382259595
598,1965,estimates,6_10,95.9316533660055
598,1965,estimates,6_11,96.0882351299923
598,1965,estimates,6_12,96.2213042594975
598,1965,estimates,7_10,96.0981094711051
598,1965,estimates,7_12,96.3874088133733
598,1965,estimates,11_16,96.6484816237042
598,1965,estimates,11_17,96.4697059580707
598,1965,estimates,11_18,96.2523976783001
598,1965,estimates,12_14,96.909157077064
598,1965,estimates,12_16,96.5871295419506
598,1965,estimates,12_17,96.3840929329984
598,1965,estimates,12_18,96.1421855345001
598,1965,estimates,13_17,96.2265839156004
598,1965,estimates,13_18,95.9626686532572
598,1965,estimates,13_19,95.6589901610985
598,1965,estimates,15plus,91.5916600205082
598,1965,estimates,15_17,95.7930128413409
598,1965,estimates,15_24,93.1913145375519
598,1965,estimates,15_49,89.286050282514
598,1965,estimates,15_59,90.0185266725929
598,1965,estimates,15_64,90.4707948375267
598,1965,estimates,16plus,91.4052851353742
598,1965,estimates,17plus,91.229559233717
598,1965,estimates,18plus,91.0698431748238
598,1965,estimates,18_23,92.2730779120597
598,1965,estimates,20plus,90.8227914231056
598,1965,estimates,20_64,89.4160540598316
598,1965,estimates,20_69,89.9583154159354
598,1965,estimates,21plus,90.7457128780849
598,1965,estimates,25plus,90.7883260965385
598,1965,estimates,25_49,86.7349801768832
598,1965,estimates,25_64,89.033208256548
598,1965,estimates,25_69,89.7156758911696
598,1965,estimates,50plus,104.264682024659
598,1965,estimates,60plus,115.938898318161
598,1965,estimates,65plus,124.389552732253
598,1965,estimates,70plus,134.866278496003
598,1965,estimates,75plus,143.978430197723
598,1965,estimates,80plus,148.770675011176
598,1965,estimates,85plus,147.257383966245
598,1965,estimates,90plus,143.037974683544
598,1970,estimates,total,93.7023303104243
598,1970,estimates,0_1,93.5489416568175
598,1970,estimates,0_4,93.7907908046614
598,1970,estimates,0_14,94.7188161685983
598,1970,estimates,0_17,95.008663190764
598,1970,estimates,0_19,95.1283310257783
598,1970,estimates,0_24,95.0461758485858
598,1970,estimates,3_4,94.0706544056344
598,1970,estimates,3_5,94.1701111261689
598,1970,estimates,3_6,94.2708873224837
598,1970,estimates,4_5,94.2746554792119
598,1970,estimates,4_6,94.3784814484591
598,1970,estimates,5_10,94.9198620019343
598,1970,estimates,5_11,95.0186601509548
598,1970,estimates,5_14,95.3313051006597
598,1970,estimates,6_9,94.9329607320746
598,1970,estimates,6_10,95.0390294366595
598,1970,estimates,6_11,95.1378712539305
598,1970,estimates,6_12,95.2361841139967
598,1970,estimates,7_10,95.1583980872684
598,1970,estimates,7_12,95.3545369887125
598,1970,estimates,11_16,96.2997240549165
598,1970,estimates,11_17,96.3981934327241
598,1970,estimates,11_18,96.4462416538208
598,1970,estimates,12_14,96.1706955427749
598,1970,estimates,12_16,96.4336720965371
598,1970,estimates,12_17,96.5290304560848
598,1970,estimates,12_18,96.5674825846502
598,1970,estimates,13_17,96.6671144450965
598,1970,estimates,13_18,96.6911391346424
598,1970,estimates,13_19,96.6507002844825
598,1970,estimates,15plus,92.9253810954212
598,1970,estimates,15_17,96.9141615356756
