region,year,variant,agebroad,feminityratio_femaleper100male
1502,1950,estimates,total,95.705211033198
1502,1950,estimates,0_1,95.2086915566769
1502,1950,estimates,0_4,94.3299104580451
1502,1950,estimates,0_14,92.1117092601372
1502,1950,estimates,0_17,91.97030918981
1502,1950,estimates,0_19,91.9579540695936
1502,1950,estimates,0_24,92.0965434609362
1502,1950,estimates,3_4,93.2577384037049
1502,1950,estimates,3_5,92.9350264411101
1502,1950,estimates,3_6,92.6283479436562
1502,1950,estimates,4_5,92.577970606407
1502,1950,estimates,4_6,92.2719312612183
1502,1950,estimates,5_10,91.0227495589976
1502,1950,estimates,5_11,90.871991517992
1502,1950,estimates,5_14,90.6553641687892
1502,1950,estimates,6_9,90.9263400881015
1502,1950,estimates,6_10,90.7617203152044
1502,1950,estimates,6_11,90.6268838306655
1502,1950,estimates,6_12,90.5296190030056
1502,1950,estimates,7_10,90.5371529534762
1502,1950,estimates,7_12,90.3391659413449
1502,1950,estimates,11_16,90.3563767700143
1502,1950,estimates,11_17,90.5153664734637
1502,1950,estimates,11_18,90.6603407951812
1502,1950,estimates,12_14,90.1306197206413
1502,1950,estimates,12_16,90.4416849309591
1502,1950,estimates,12_17,90.6146913094585
1502,1950,estimates,12_18,90.7680559065749
1502,1950,estimates,13_17,90.7566202983449
1502,1950,estimates,13_18,90.9145882502193
1502,1950,estimates,13_19,91.0456524224795
1502,1950,estimates,15plus,97.7646408539985
1502,1950,estimates,15_17,91.1250857520631
1502,1950,estimates,15_24,92.0669893231147
1502,1950,estimates,15_49,94.4250962221427
1502,1950,estimates,15_59,95.0619051307723
1502,1950,estimates,15_64,95.6861669764891
1502,1950,estimates,16plus,98.0017041097734
1502,1950,estimates,17plus,98.2359039300862
1502,1950,estimates,18plus,98.4687142352112
1502,1950,estimates,18_23,92.2716528840874
1502,1950,estimates,20plus,98.946453707171
1502,1950,estimates,20_64,96.5411295311993
1502,1950,estimates,20_69,97.367515432561
1502,1950,estimates,21plus,99.1927852092643
1502,1950,estimates,25plus,100.138314324555
1502,1950,estimates,25_49,95.8427386441179
1502,1950,estimates,25_64,97.3288906907427
1502,1950,estimates,25_69,98.2890860034848
1502,1950,estimates,50plus,109.834016106426
1502,1950,estimates,60plus,122.341889472457
1502,1950,estimates,65plus,131.526500159111
1502,1950,estimates,70plus,143.786293872785
1502,1950,estimates,75plus,159.029253472329
1502,1950,estimates,80plus,184.044431258015
1502,1950,estimates,85plus,192.115753781015
1502,1950,estimates,90plus,196.509859517979
1502,1955,estimates,total,96.1240450288288
1502,1955,estimates,0_1,94.7242007728053
1502,1955,estimates,0_4,95.1166734200771
1502,1955,estimates,0_14,94.1505069307587
1502,1955,estimates,0_17,93.6771164741103
1502,1955,estimates,0_19,93.4477434483979
1502,1955,estimates,0_24,93.2121583337437
1502,1955,estimates,3_4,95.5145376688198
1502,1955,estimates,3_5,95.4987451646567
1502,1955,estimates,3_6,95.4383282384263
1502,1955,estimates,4_5,95.5068792836436
1502,1955,estimates,4_6,95.4208554077025
1502,1955,estimates,5_10,94.5142242486727
1502,1955,estimates,5_11,94.2257372921681
1502,1955,estimates,5_14,93.4051629376947
1502,1955,estimates,6_9,94.5730537950451
1502,1955,estimates,6_10,94.2891849858908
1502,1955,estimates,6_11,93.9757776942417
1502,1955,estimates,6_12,93.6594638135447
1502,1955,estimates,7_10,94.0199431557962
1502,1955,estimates,7_12,93.3476566226579
1502,1955,estimates,11_16,91.0884141782275
1502,1955,estimates,11_17,90.9902336155608
1502,1955,estimates,11_18,90.9376755765068
1502,1955,estimates,12_14,91.0984212656862
1502,1955,estimates,12_16,90.8626532607363
1502,1955,estimates,12_17,90.7850473304019
1502,1955,estimates,12_18,90.7536373690427
1502,1955,estimates,13_17,90.6477136523318
1502,1955,estimates,13_18,90.6336646875074
1502,1955,estimates,13_19,90.6661600077878
1502,1955,estimates,15plus,97.3756884565361
1502,1955,estimates,15_17,90.4706421319057
1502,1955,estimates,15_24,91.208491276418
1502,1955,estimates,15_49,93.7525039260285
1502,1955,estimates,15_59,94.7014831155976
1502,1955,estimates,15_64,95.3106086809278
1502,1955,estimates,16plus,97.5933842898444
1502,1955,estimates,17plus,97.8326744358937
1502,1955,estimates,18plus,98.0890162284363
1502,1955,estimates,18_23,91.427219508805
1502,1955,estimates,20plus,98.6217328630046
1502,1955,estimates,20_64,96.2403678210399
1502,1955,estimates,20_69,96.9848034443343
1502,1955,estimates,21plus,98.8902797033529
1502,1955,estimates,25plus,99.9813234742182
1502,1955,estimates,25_49,95.2945293389687
1502,1955,estimates,25_64,97.1937975307937
1502,1955,estimates,25_69,98.0567111355969
1502,1955,estimates,50plus,110.764193384009
1502,1955,estimates,60plus,122.607593115906
1502,1955,estimates,65plus,132.178831230028
1502,1955,estimates,70plus,145.235301512547
1502,1955,estimates,75plus,162.395003547695
1502,1955,estimates,80plus,181.711526816374
1502,1955,estimates,85plus,209.761275622969
1502,1955,estimates,90plus,216.877142005662
1502,1960,estimates,total,96.571852552192
1502,1960,estimates,0_1,95.4211029297544
1502,1960,estimates,0_4,95.33565347582
1502,1960,estimates,0_14,95.2726699496508
1502,1960,estimates,0_17,94.9640588832379
1502,1960,estimates,0_19,94.7188439707808
1502,1960,estimates,0_24,94.1976890305467
1502,1960,estimates,3_4,95.274116066631
1502,1960,estimates,3_5,95.281703604816
1502,1960,estimates,3_6,95.2933574039181
1502,1960,estimates,4_5,95.2862411541805
1502,1960,estimates,4_6,95.3004110213471
1502,1960,estimates,5_10,95.3655629070907
1502,1960,estimates,5_11,95.3779202077803
1502,1960,estimates,5_14,95.2338640695076
1502,1960,estimates,6_9,95.3723980866598
1502,1960,estimates,6_10,95.3810559768949
1502,1960,estimates,6_11,95.3936297598124
1502,1960,estimates,6_12,95.3855118246648
1502,1960,estimates,7_10,95.3954883486194
1502,1960,estimates,7_12,95.3966602107482
1502,1960,estimates,11_16,94.3597769580612
1502,1960,estimates,11_17,94.0453650642606
1502,1960,estimates,11_18,93.7606441135431
1502,1960,estimates,12_14,94.7771998387637
1502,1960,estimates,12_16,94.0998181140682
1502,1960,estimates,12_17,93.7622377675117
1502,1960,estimates,12_18,93.4650098497467
1502,1960,estimates,13_17,93.4074673741291
1502,1960,estimates,13_18,93.1080249832118
1502,1960,estimates,13_19,92.8673289605802
