continent,year,variant,freq,age5yearinterval,fertilityrateper1000women
935,1950,estimates,5yearly,15_19,94.3465110173415
935,1950,estimates,5yearly,20_24,257.727756754703
935,1950,estimates,5yearly,25_29,285.227490812381
935,1950,estimates,5yearly,30_34,238.08215646871
935,1950,estimates,5yearly,35_39,175.154806215543
935,1950,estimates,5yearly,40_44,88.6029913883478
935,1950,estimates,5yearly,45_49,20.1230296252142
935,1955,estimates,5yearly,15_19,86.6248012784336
935,1955,estimates,5yearly,20_24,249.66074944726
935,1955,estimates,5yearly,25_29,276.742501268207
935,1955,estimates,5yearly,30_34,231.046149951339
935,1955,estimates,5yearly,35_39,166.10907462856
935,1955,estimates,5yearly,40_44,83.1273984762579
935,1955,estimates,5yearly,45_49,18.5226301747487
935,1960,estimates,5yearly,15_19,84.672754705719
935,1960,estimates,5yearly,20_24,264.535697432446
935,1960,estimates,5yearly,25_29,292.443014795717
935,1960,estimates,5yearly,30_34,243.962367026504
935,1960,estimates,5yearly,35_39,177.733582954816
935,1960,estimates,5yearly,40_44,82.3927790084023
935,1960,estimates,5yearly,45_49,16.9258191850544
935,1965,estimates,5yearly,15_19,78.7091603727598
935,1965,estimates,5yearly,20_24,266.940210563681
935,1965,estimates,5yearly,25_29,299.452902481975
935,1965,estimates,5yearly,30_34,239.797067229615
935,1965,estimates,5yearly,35_39,164.806127763055
935,1965,estimates,5yearly,40_44,79.4391703888012
935,1965,estimates,5yearly,45_49,16.0612804799205
935,1970,estimates,5yearly,15_19,69.4120503955917
935,1970,estimates,5yearly,20_24,245.176000514837
935,1970,estimates,5yearly,25_29,276.045895486705
935,1970,estimates,5yearly,30_34,205.037840645068
935,1970,estimates,5yearly,35_39,133.68698363654
935,1970,estimates,5yearly,40_44,61.7492371433888
935,1970,estimates,5yearly,45_49,14.1677025233855
935,1975,estimates,5yearly,15_19,63.5373619459133
935,1975,estimates,5yearly,20_24,220.618861893547
935,1975,estimates,5yearly,25_29,229.328620045675
935,1975,estimates,5yearly,30_34,158.363334148738
935,1975,estimates,5yearly,35_39,93.3556720513756
935,1975,estimates,5yearly,40_44,42.7993566142436
935,1975,estimates,5yearly,45_49,11.1215318574055
935,1980,estimates,5yearly,15_19,61.9356373512621
935,1980,estimates,5yearly,20_24,224.406453333404
935,1980,estimates,5yearly,25_29,220.868793473221
935,1980,estimates,5yearly,30_34,123.135730648114
935,1980,estimates,5yearly,35_39,69.8886419165078
935,1980,estimates,5yearly,40_44,32.1547644200607
935,1980,estimates,5yearly,45_49,8.48274065968363
935,1985,estimates,5yearly,15_19,60.6016364727986
935,1985,estimates,5yearly,20_24,228.610513490285
935,1985,estimates,5yearly,25_29,202.648828642497
935,1985,estimates,5yearly,30_34,115.490723771923
935,1985,estimates,5yearly,35_39,59.3366494238402
935,1985,estimates,5yearly,40_44,25.838538929167
935,1985,estimates,5yearly,45_49,7.27029515569925
935,1990,estimates,5yearly,15_19,55.5923844220813
935,1990,estimates,5yearly,20_24,186.959281365334
935,1990,estimates,5yearly,25_29,172.540173085356
935,1990,estimates,5yearly,30_34,96.5734503501402
935,1990,estimates,5yearly,35_39,47.6730122447132
935,1990,estimates,5yearly,40_44,19.6211291205754
935,1990,estimates,5yearly,45_49,5.15882910456714
935,1995,estimates,5yearly,15_19,47.5813093322839
935,1995,estimates,5yearly,20_24,169.986523621473
935,1995,estimates,5yearly,25_29,149.841021687356
935,1995,estimates,5yearly,30_34,82.7112532499504
935,1995,estimates,5yearly,35_39,41.237086961602
935,1995,estimates,5yearly,40_44,16.2547285196463
935,1995,estimates,5yearly,45_49,4.5439199754134
935,2000,estimates,5yearly,15_19,39.4426634742726
935,2000,estimates,5yearly,20_24,163.021171456771
935,2000,estimates,5yearly,25_29,146.081742670312
935,2000,estimates,5yearly,30_34,79.9247477500863
935,2000,estimates,5yearly,35_39,36.3124276517816
