variant,continent,year,infantmortality
Estimates,903,1950,2173.228
Estimates,903,1951,2172.486
Estimates,903,1952,2171.427
Estimates,903,1953,2171.933
Estimates,903,1954,2173.999
Estimates,903,1955,2177.585
Estimates,903,1956,2182.601
Estimates,903,1957,2188.944
Estimates,903,1958,2196.459
Estimates,903,1959,2204.888
Estimates,903,1960,2213.948
Estimates,903,1961,2223.389
Estimates,903,1962,2233.038
Estimates,903,1963,2242.855
Estimates,903,1964,2252.971
Estimates,903,1965,2263.795
Estimates,903,1966,2275.878
Estimates,903,1967,2289.599
Estimates,903,1968,2305.104
Estimates,903,1969,2322.224
Estimates,903,1970,2340.501
Estimates,903,1971,2359.235
Estimates,903,1972,2377.696
Estimates,903,1973,2395.301
Estimates,903,1974,2411.789
Estimates,903,1975,2427.217
Estimates,903,1976,2441.969
Estimates,903,1977,2456.62
Estimates,903,1978,2471.68
Estimates,903,1979,2487.395
Estimates,903,1980,2503.834
Estimates,903,1981,2520.79
Estimates,903,1982,2537.886
Estimates,903,1983,2554.932
Estimates,903,1984,2572.146
Estimates,903,1985,2590.848
Estimates,903,1986,2612.895
Estimates,903,1987,2639.126
Estimates,903,1988,2669.152
Estimates,903,1989,2701.452
Estimates,903,1990,2733.12
Estimates,903,1991,2760.86
Estimates,903,1992,2782.448
Estimates,903,1993,2796.676
Estimates,903,1994,2803.244
Estimates,903,1995,2802.423
Estimates,903,1996,2795.045
Estimates,903,1997,2782.827
Estimates,903,1998,2767.389
Estimates,903,1999,2749.426
Estimates,903,2000,2729.362
Estimates,903,2001,2707.09
Estimates,903,2002,2682.033
Estimates,903,2003,2654.006
Estimates,903,2004,2623.566
Estimates,903,2005,2591.478
Estimates,903,2006,2558.472
Estimates,903,2007,2525.023
Estimates,903,2008,2491.532
Estimates,903,2009,2458.444
Estimates,903,2010,2426.168
Estimates,903,2011,2395.027
Estimates,903,2012,2364.971
Estimates,903,2013,2335.938
Estimates,903,2014,2308.034
Estimates,903,2015,2281.278
Medium_variant,903,2015,2281.278
Medium_variant,903,2016,2255.622
Medium_variant,903,2017,2230.947
Medium_variant,903,2018,2207.034
Medium_variant,903,2019,2183.671
Medium_variant,903,2020,2160.764
Medium_variant,903,2021,2138.353
Medium_variant,903,2022,2116.597
Medium_variant,903,2023,2095.526
Medium_variant,903,2024,2075.007
Medium_variant,903,2025,2054.844
Medium_variant,903,2026,2034.907
Medium_variant,903,2027,2015.04
Medium_variant,903,2028,1995.09
Medium_variant,903,2029,1974.9
Medium_variant,903,2030,1954.407
Medium_variant,903,2031,1933.608
Medium_variant,903,2032,1912.588
Medium_variant,903,2033,1891.399
Medium_variant,903,2034,1869.998
Medium_variant,903,2035,1848.394
Medium_variant,903,2036,1826.582
Medium_variant,903,2037,1804.572
Medium_variant,903,2038,1782.401
Medium_variant,903,2039,1760.051
Medium_variant,903,2040,1737.556
Medium_variant,903,2041,1714.98
Medium_variant,903,2042,1692.399
Medium_variant,903,2043,1669.826
Medium_variant,903,2044,1647.278
Medium_variant,903,2045,1624.728
Medium_variant,903,2046,1602.165
Medium_variant,903,2047,1579.56
Medium_variant,903,2048,1556.941
Medium_variant,903,2049,1534.327
Medium_variant,903,2050,1511.754
Medium_variant,903,2051,1489.309
Medium_variant,903,2052,1467.09
Medium_variant,903,2053,1445.142
Medium_variant,903,2054,1423.493
Medium_variant,903,2055,1402.12
Medium_variant,903,2056,1381.009
Medium_variant,903,2057,1360.11
Medium_variant,903,2058,1339.395
Medium_variant,903,2059,1318.833
Medium_variant,903,2060,1298.416
Medium_variant,903,2061,1278.179
Medium_variant,903,2062,1258.141
Medium_variant,903,2063,1238.323
Medium_variant,903,2064,1218.751
Medium_variant,903,2065,1199.407
Medium_variant,903,2066,1180.302
Medium_variant,903,2067,1161.452
Medium_variant,903,2068,1142.858
Medium_variant,903,2069,1124.507
Medium_variant,903,2070,1106.422
Medium_variant,903,2071,1088.627
Medium_variant,903,2072,1071.122
Medium_variant,903,2073,1053.915
Medium_variant,903,2074,1037.02
Medium_variant,903,2075,1020.404
Medium_variant,903,2076,1004.072
Medium_variant,903,2077,988.018
Medium_variant,903,2078,972.248
Medium_variant,903,2079,956.779
Medium_variant,903,2080,941.645
Medium_variant,903,2081,926.888
Medium_variant,903,2082,912.546
Medium_variant,903,2083,898.617
Medium_variant,903,2084,885.096
Medium_variant,903,2085,871.962
Medium_variant,903,2086,859.18
Medium_variant,903,2087,846.696
Medium_variant,903,2088,834.48
Medium_variant,903,2089,822.476
Medium_variant,903,2090,810.671
Medium_variant,903,2091,799.039
Medium_variant,903,2092,787.584
Medium_variant,903,2093,776.302
Medium_variant,903,2094,765.207
Medium_variant,903,2095,754.287
Medium_variant,903,2096,743.555
Medium_variant,903,2097,733.001
Medium_variant,903,2098,722.64
Medium_variant,903,2099,712.471
