variant,country,year,infantmortality
estimates,180,1950,97.042
estimates,180,1951,97.359
estimates,180,1952,98.069
estimates,180,1953,98.957
estimates,180,1954,100.023
estimates,180,1955,101.268
estimates,180,1956,102.689
estimates,180,1957,104.281
estimates,180,1958,106.036
estimates,180,1959,107.938
estimates,180,1960,109.962
estimates,180,1961,112.078
estimates,180,1962,114.248
estimates,180,1963,116.431
estimates,180,1964,118.586
estimates,180,1965,120.653
estimates,180,1966,122.574
estimates,180,1967,124.346
estimates,180,1968,125.994
estimates,180,1969,127.552
estimates,180,1970,129.1
estimates,180,1971,130.74
estimates,180,1972,132.566
estimates,180,1973,134.644
estimates,180,1974,137.004
estimates,180,1975,139.623
estimates,180,1976,142.424
estimates,180,1977,145.301
estimates,180,1978,148.171
estimates,180,1979,151.004
estimates,180,1980,153.798
estimates,180,1981,156.588
estimates,180,1982,159.459
estimates,180,1983,162.496
estimates,180,1984,165.748
estimates,180,1985,169.227
estimates,180,1986,172.905
estimates,180,1987,176.734
estimates,180,1988,180.694
estimates,180,1989,184.813
estimates,180,1990,189.301
estimates,180,1991,194.464
estimates,180,1992,200.451
estimates,180,1993,207.255
estimates,180,1994,214.707
estimates,180,1995,222.382
estimates,180,1996,229.676
estimates,180,1997,235.998
estimates,180,1998,240.876
estimates,180,1999,244.043
estimates,180,2000,245.388
estimates,180,2001,245.022
estimates,180,2002,243.442
estimates,180,2003,241.161
estimates,180,2004,238.498
estimates,180,2005,235.749
estimates,180,2006,233.116
estimates,180,2007,230.624
estimates,180,2008,228.319
estimates,180,2009,226.338
estimates,180,2010,224.809
estimates,180,2011,223.801
estimates,180,2012,223.229
estimates,180,2013,222.984
estimates,180,2014,222.994
estimates,180,2015,223.161
medium_variant,180,2015,223.161
medium_variant,180,2016,223.384
medium_variant,180,2017,223.577
medium_variant,180,2018,223.651
medium_variant,180,2019,223.535
medium_variant,180,2020,223.181
medium_variant,180,2021,222.593
medium_variant,180,2022,221.835
medium_variant,180,2023,220.955
medium_variant,180,2024,219.958
medium_variant,180,2025,218.848
medium_variant,180,2026,217.629
medium_variant,180,2027,216.299
medium_variant,180,2028,214.862
medium_variant,180,2029,213.321
medium_variant,180,2030,211.682
medium_variant,180,2031,209.955
medium_variant,180,2032,208.144
medium_variant,180,2033,206.251
medium_variant,180,2034,204.28
medium_variant,180,2035,202.223
medium_variant,180,2036,200.078
medium_variant,180,2037,197.844
medium_variant,180,2038,195.531
medium_variant,180,2039,193.151
medium_variant,180,2040,190.724
medium_variant,180,2041,188.277
medium_variant,180,2042,185.833
medium_variant,180,2043,183.412
medium_variant,180,2044,181.024
medium_variant,180,2045,178.675
medium_variant,180,2046,176.362
medium_variant,180,2047,174.073
medium_variant,180,2048,171.795
medium_variant,180,2049,169.52
medium_variant,180,2050,167.239
medium_variant,180,2051,164.943
medium_variant,180,2052,162.639
medium_variant,180,2053,160.338
medium_variant,180,2054,158.051
medium_variant,180,2055,155.803
medium_variant,180,2056,153.631
medium_variant,180,2057,151.552
medium_variant,180,2058,149.572
medium_variant,180,2059,147.683
medium_variant,180,2060,145.859
medium_variant,180,2061,144.068
medium_variant,180,2062,142.276
medium_variant,180,2063,140.452
medium_variant,180,2064,138.588
medium_variant,180,2065,136.679
medium_variant,180,2066,134.742
medium_variant,180,2067,132.801
medium_variant,180,2068,130.884
medium_variant,180,2069,128.997
medium_variant,180,2070,127.147
medium_variant,180,2071,125.336
medium_variant,180,2072,123.562
medium_variant,180,2073,121.819
medium_variant,180,2074,120.11
medium_variant,180,2075,118.435
medium_variant,180,2076,116.798
medium_variant,180,2077,115.2
medium_variant,180,2078,113.636
medium_variant,180,2079,112.101
medium_variant,180,2080,110.595
medium_variant,180,2081,109.115
medium_variant,180,2082,107.657
medium_variant,180,2083,106.212
medium_variant,180,2084,104.768
medium_variant,180,2085,103.299
medium_variant,180,2086,101.782
medium_variant,180,2087,100.21
medium_variant,180,2088,98.586
medium_variant,180,2089,96.924
medium_variant,180,2090,95.247
medium_variant,180,2091,93.584
medium_variant,180,2092,91.967
medium_variant,180,2093,90.418
medium_variant,180,2094,88.963
medium_variant,180,2095,87.613
medium_variant,180,2096,86.375
medium_variant,180,2097,85.252
medium_variant,180,2098,84.246
medium_variant,180,2099,83.356
