variant,global,year,infantmortality
estimates,900,1950,14400.576
estimates,900,1951,14235.176
estimates,900,1952,13936.574
estimates,900,1953,13702.366
estimates,900,1954,13532.553
estimates,900,1955,13426.049
estimates,900,1956,13378.962
estimates,900,1957,13385.296
estimates,900,1958,13433.89
estimates,900,1959,13505.605
estimates,900,1960,13577.928
estimates,900,1961,13627.138
estimates,900,1962,13629.65
estimates,900,1963,13569.167
estimates,900,1964,13440.947
estimates,900,1965,13251.571
estimates,900,1966,13018.302
estimates,900,1967,12767.992
estimates,900,1968,12522.129
estimates,900,1969,12289.285
estimates,900,1970,12069.901
estimates,900,1971,11856.969
estimates,900,1972,11639.317
estimates,900,1973,11410.909
estimates,900,1974,11174.531
estimates,900,1975,10937.423
estimates,900,1976,10709.455
estimates,900,1977,10500.073
estimates,900,1978,10315.854
estimates,900,1979,10158.992
estimates,900,1980,10030.408
estimates,900,1981,9928.196
estimates,900,1982,9843.901
estimates,900,1983,9768.256
estimates,900,1984,9694.359
estimates,900,1985,9614.341
estimates,900,1986,9521.358
estimates,900,1987,9412.371
estimates,900,1988,9285.424
estimates,900,1989,9138.895
estimates,900,1990,8972.624
estimates,900,1991,8788.553
estimates,900,1992,8592.218
estimates,900,1993,8389.041
estimates,900,1994,8182.388
estimates,900,1995,7975.161
estimates,900,1996,7769.244
estimates,900,1997,7565.108
estimates,900,1998,7363.455
estimates,900,1999,7165.688
estimates,900,2000,6972.702
estimates,900,2001,6784.672
estimates,900,2002,6600.864
estimates,900,2003,6420.757
estimates,900,2004,6244.49
estimates,900,2005,6071.93
estimates,900,2006,5902.815
estimates,900,2007,5737.146
estimates,900,2008,5575.198
estimates,900,2009,5417.472
estimates,900,2010,5264.858
estimates,900,2011,5118.36
estimates,900,2012,4978.604
estimates,900,2013,4845.898
estimates,900,2014,4720.222
estimates,900,2015,4601.293
medium_variant,900,2015,4601.293
medium_variant,900,2016,4488.532
medium_variant,900,2017,4380.916
medium_variant,900,2018,4277.475
medium_variant,900,2019,4177.574
medium_variant,900,2020,4080.752
medium_variant,900,2021,3986.809
medium_variant,900,2022,3895.86
medium_variant,900,2023,3807.932
medium_variant,900,2024,3722.83
medium_variant,900,2025,3640.47
medium_variant,900,2026,3560.869
medium_variant,900,2027,3484.052
medium_variant,900,2028,3409.953
medium_variant,900,2029,3338.39
medium_variant,900,2030,3269.165
medium_variant,900,2031,3202.098
medium_variant,900,2032,3137.026
medium_variant,900,2033,3073.787
medium_variant,900,2034,3012.229
medium_variant,900,2035,2952.307
medium_variant,900,2036,2894.069
medium_variant,900,2037,2837.576
medium_variant,900,2038,2782.803
medium_variant,900,2039,2729.614
medium_variant,900,2040,2677.89
medium_variant,900,2041,2627.522
medium_variant,900,2042,2578.351
medium_variant,900,2043,2530.179
medium_variant,900,2044,2482.802
medium_variant,900,2045,2435.965
medium_variant,900,2046,2389.446
medium_variant,900,2047,2343.203
medium_variant,900,2048,2297.263
medium_variant,900,2049,2251.669
medium_variant,900,2050,2206.547
medium_variant,900,2051,2162.09
medium_variant,900,2052,2118.548
medium_variant,900,2053,2076.14
medium_variant,900,2054,2034.993
medium_variant,900,2055,1995.212
medium_variant,900,2056,1956.836
medium_variant,900,2057,1919.765
medium_variant,900,2058,1883.886
medium_variant,900,2059,1849.131
medium_variant,900,2060,1815.406
medium_variant,900,2061,1782.614
medium_variant,900,2062,1750.669
medium_variant,900,2063,1719.501
medium_variant,900,2064,1689.063
medium_variant,900,2065,1659.373
medium_variant,900,2066,1630.5
medium_variant,900,2067,1602.503
medium_variant,900,2068,1575.392
medium_variant,900,2069,1549.112
medium_variant,900,2070,1523.573
medium_variant,900,2071,1498.665
medium_variant,900,2072,1474.279
medium_variant,900,2073,1450.321
medium_variant,900,2074,1426.736
medium_variant,900,2075,1403.505
medium_variant,900,2076,1380.655
medium_variant,900,2077,1358.253
medium_variant,900,2078,1336.343
medium_variant,900,2079,1314.922
medium_variant,900,2080,1293.985
medium_variant,900,2081,1273.521
medium_variant,900,2082,1253.499
medium_variant,900,2083,1233.882
medium_variant,900,2084,1214.641
medium_variant,900,2085,1195.747
medium_variant,900,2086,1177.175
medium_variant,900,2087,1158.915
medium_variant,900,2088,1140.96
medium_variant,900,2089,1123.301
medium_variant,900,2090,1105.939
medium_variant,900,2091,1088.882
medium_variant,900,2092,1072.14
medium_variant,900,2093,1055.725
medium_variant,900,2094,1039.647
medium_variant,900,2095,1023.912
medium_variant,900,2096,1008.523
medium_variant,900,2097,993.483
medium_variant,900,2098,978.791
medium_variant,900,2099,964.449
