variant,region,year,infantmortality
estimates,1501,1950,6431.086
estimates,1501,1951,6417.372
estimates,1501,1952,6387.557
estimates,1501,1953,6357.579
estimates,1501,1954,6328.227
estimates,1501,1955,6300.204
estimates,1501,1956,6273.99
estimates,1501,1957,6249.962
estimates,1501,1958,6228.18
estimates,1501,1959,6208.241
estimates,1501,1960,6189.525
estimates,1501,1961,6171.339
estimates,1501,1962,6153.012
estimates,1501,1963,6134.309
estimates,1501,1964,6115.679
estimates,1501,1965,6099.699
estimates,1501,1966,6090.112
estimates,1501,1967,6089.086
estimates,1501,1968,6096.764
estimates,1501,1969,6111.218
estimates,1501,1970,6127.213
estimates,1501,1971,6137.797
estimates,1501,1972,6137.197
estimates,1501,1973,6121.817
estimates,1501,1974,6090.775
estimates,1501,1975,6046.867
estimates,1501,1976,5995.549
estimates,1501,1977,5943.226
estimates,1501,1978,5894.331
estimates,1501,1979,5849.811
estimates,1501,1980,5808.843
estimates,1501,1981,5768.781
estimates,1501,1982,5724.826
estimates,1501,1983,5673.187
estimates,1501,1984,5612.729
estimates,1501,1985,5543.171
estimates,1501,1986,5465.476
estimates,1501,1987,5382.116
estimates,1501,1988,5295.113
estimates,1501,1989,5205.291
estimates,1501,1990,5113.03
estimates,1501,1991,5018.422
estimates,1501,1992,4921.741
estimates,1501,1993,4823.379
estimates,1501,1994,4723.796
estimates,1501,1995,4623.218
estimates,1501,1996,4521.682
estimates,1501,1997,4419.379
estimates,1501,1998,4316.686
estimates,1501,1999,4213.98
estimates,1501,2000,4111.913
estimates,1501,2001,4011.164
estimates,1501,2002,3912.035
estimates,1501,2003,3814.76
estimates,1501,2004,3719.543
estimates,1501,2005,3626.127
estimates,1501,2006,3533.912
estimates,1501,2007,3442.256
estimates,1501,2008,3350.813
estimates,1501,2009,3259.795
estimates,1501,2010,3169.839
estimates,1501,2011,3081.866
estimates,1501,2012,2996.776
estimates,1501,2013,2915.125
estimates,1501,2014,2837.035
estimates,1501,2015,2762.266
medium_variant,1501,2015,2762.266
medium_variant,1501,2016,2690.27
medium_variant,1501,2017,2620.341
medium_variant,1501,2018,2551.944
medium_variant,1501,2019,2484.954
medium_variant,1501,2020,2419.515
medium_variant,1501,2021,2355.975
medium_variant,1501,2022,2294.81
medium_variant,1501,2023,2236.333
medium_variant,1501,2024,2180.527
medium_variant,1501,2025,2127.301
medium_variant,1501,2026,2076.448
medium_variant,1501,2027,2027.632
medium_variant,1501,2028,1980.546
medium_variant,1501,2029,1934.951
medium_variant,1501,2030,1890.731
medium_variant,1501,2031,1847.867
medium_variant,1501,2032,1806.405
medium_variant,1501,2033,1766.335
medium_variant,1501,2034,1727.535
medium_variant,1501,2035,1689.904
medium_variant,1501,2036,1653.368
medium_variant,1501,2037,1617.805
medium_variant,1501,2038,1583.1
medium_variant,1501,2039,1549.106
medium_variant,1501,2040,1515.715
medium_variant,1501,2041,1482.872
medium_variant,1501,2042,1450.563
medium_variant,1501,2043,1418.78
medium_variant,1501,2044,1387.487
medium_variant,1501,2045,1356.643
medium_variant,1501,2046,1326.25
medium_variant,1501,2047,1296.328
medium_variant,1501,2048,1266.913
medium_variant,1501,2049,1238.034
medium_variant,1501,2050,1209.691
medium_variant,1501,2051,1181.949
medium_variant,1501,2052,1154.84
medium_variant,1501,2053,1128.399
medium_variant,1501,2054,1102.638
medium_variant,1501,2055,1077.563
medium_variant,1501,2056,1053.158
medium_variant,1501,2057,1029.411
medium_variant,1501,2058,1006.245
medium_variant,1501,2059,983.638
medium_variant,1501,2060,961.537
medium_variant,1501,2061,939.93
medium_variant,1501,2062,918.786
medium_variant,1501,2063,898.08
medium_variant,1501,2064,877.788
medium_variant,1501,2065,857.883
medium_variant,1501,2066,838.344
medium_variant,1501,2067,819.185
medium_variant,1501,2068,800.391
medium_variant,1501,2069,781.95
medium_variant,1501,2070,763.884
medium_variant,1501,2071,746.21
medium_variant,1501,2072,728.935
medium_variant,1501,2073,712.084
medium_variant,1501,2074,695.643
medium_variant,1501,2075,679.593
medium_variant,1501,2076,663.925
medium_variant,1501,2077,648.621
medium_variant,1501,2078,633.675
medium_variant,1501,2079,619.103
medium_variant,1501,2080,604.934
medium_variant,1501,2081,591.204
medium_variant,1501,2082,577.963
medium_variant,1501,2083,565.211
medium_variant,1501,2084,552.97
medium_variant,1501,2085,541.235
medium_variant,1501,2086,530.025
medium_variant,1501,2087,519.298
medium_variant,1501,2088,509.003
medium_variant,1501,2089,499.078
medium_variant,1501,2090,489.498
medium_variant,1501,2091,480.195
medium_variant,1501,2092,471.124
medium_variant,1501,2093,462.258
medium_variant,1501,2094,453.559
medium_variant,1501,2095,445.015
medium_variant,1501,2096,436.612
medium_variant,1501,2097,428.354
medium_variant,1501,2098,420.229
medium_variant,1501,2099,412.237
