variant,continent,year,infantmortalityper1000livebirth
estimates,904,1950,133.232
estimates,904,1951,131.785
estimates,904,1952,128.91
estimates,904,1953,126.075
estimates,904,1954,123.28
estimates,904,1955,120.526
estimates,904,1956,117.815
estimates,904,1957,115.151
estimates,904,1958,112.54
estimates,904,1959,109.991
estimates,904,1960,107.518
estimates,904,1961,105.13
estimates,904,1962,102.834
estimates,904,1963,100.629
estimates,904,1964,98.501
estimates,904,1965,96.428
estimates,904,1966,94.379
estimates,904,1967,92.327
estimates,904,1968,90.252
estimates,904,1969,88.146
estimates,904,1970,86.014
estimates,904,1971,83.872
estimates,904,1972,81.744
estimates,904,1973,79.645
estimates,904,1974,77.576
estimates,904,1975,75.532
estimates,904,1976,73.505
estimates,904,1977,71.476
estimates,904,1978,69.43
estimates,904,1979,67.356
estimates,904,1980,65.235
estimates,904,1981,63.048
estimates,904,1982,60.8
estimates,904,1983,58.501
estimates,904,1984,56.171
estimates,904,1985,53.833
estimates,904,1986,51.517
estimates,904,1987,49.252
estimates,904,1988,47.069
estimates,904,1989,44.989
estimates,904,1990,43.033
estimates,904,1991,41.213
estimates,904,1992,39.517
estimates,904,1993,37.927
estimates,904,1994,36.434
estimates,904,1995,35.013
estimates,904,1996,33.638
estimates,904,1997,32.289
estimates,904,1998,30.957
estimates,904,1999,29.641
estimates,904,2000,28.355
estimates,904,2001,27.123
estimates,904,2002,25.972
estimates,904,2003,24.919
estimates,904,2004,23.971
estimates,904,2005,23.126
estimates,904,2006,22.379
estimates,904,2007,21.706
estimates,904,2008,21.088
estimates,904,2009,20.509
estimates,904,2010,19.955
estimates,904,2011,19.414
estimates,904,2012,18.883
estimates,904,2013,18.359
estimates,904,2014,17.838
estimates,904,2015,17.32
medium_variant,904,2015,17.32
medium_variant,904,2016,16.81
medium_variant,904,2017,16.314
medium_variant,904,2018,15.839
medium_variant,904,2019,15.386
medium_variant,904,2020,14.954
medium_variant,904,2021,14.543
medium_variant,904,2022,14.148
medium_variant,904,2023,13.766
medium_variant,904,2024,13.398
medium_variant,904,2025,13.041
medium_variant,904,2026,12.696
medium_variant,904,2027,12.364
medium_variant,904,2028,12.045
medium_variant,904,2029,11.738
medium_variant,904,2030,11.443
medium_variant,904,2031,11.158
medium_variant,904,2032,10.883
medium_variant,904,2033,10.617
medium_variant,904,2034,10.359
medium_variant,904,2035,10.109
medium_variant,904,2036,9.867
medium_variant,904,2037,9.633
medium_variant,904,2038,9.406
medium_variant,904,2039,9.188
medium_variant,904,2040,8.977
medium_variant,904,2041,8.773
medium_variant,904,2042,8.576
medium_variant,904,2043,8.386
medium_variant,904,2044,8.203
medium_variant,904,2045,8.025
medium_variant,904,2046,7.853
medium_variant,904,2047,7.687
medium_variant,904,2048,7.527
medium_variant,904,2049,7.371
medium_variant,904,2050,7.221
medium_variant,904,2051,7.076
medium_variant,904,2052,6.936
medium_variant,904,2053,6.8
medium_variant,904,2054,6.669
medium_variant,904,2055,6.543
medium_variant,904,2056,6.419
medium_variant,904,2057,6.299
medium_variant,904,2058,6.181
medium_variant,904,2059,6.066
medium_variant,904,2060,5.952
medium_variant,904,2061,5.842
medium_variant,904,2062,5.733
medium_variant,904,2063,5.627
medium_variant,904,2064,5.524
medium_variant,904,2065,5.424
medium_variant,904,2066,5.326
medium_variant,904,2067,5.23
medium_variant,904,2068,5.136
medium_variant,904,2069,5.045
medium_variant,904,2070,4.955
medium_variant,904,2071,4.868
medium_variant,904,2072,4.783
medium_variant,904,2073,4.699
medium_variant,904,2074,4.617
medium_variant,904,2075,4.538
medium_variant,904,2076,4.461
medium_variant,904,2077,4.385
medium_variant,904,2078,4.312
medium_variant,904,2079,4.241
medium_variant,904,2080,4.172
medium_variant,904,2081,4.104
medium_variant,904,2082,4.038
medium_variant,904,2083,3.973
medium_variant,904,2084,3.909
medium_variant,904,2085,3.846
medium_variant,904,2086,3.785
medium_variant,904,2087,3.724
medium_variant,904,2088,3.664
medium_variant,904,2089,3.605
medium_variant,904,2090,3.547
medium_variant,904,2091,3.49
medium_variant,904,2092,3.434
medium_variant,904,2093,3.379
medium_variant,904,2094,3.325
medium_variant,904,2095,3.271
medium_variant,904,2096,3.219
medium_variant,904,2097,3.167
medium_variant,904,2098,3.116
medium_variant,904,2099,3.066
