country,variant,freq,year,infantmortalityper1000livebirth
356,estimates,5yearly,1950,186.104
356,estimates,5yearly,1955,170.387
356,estimates,5yearly,1960,157.486
356,estimates,5yearly,1965,146.744
356,estimates,5yearly,1970,135.75
356,estimates,5yearly,1975,120.651
356,estimates,5yearly,1980,105.633
356,estimates,5yearly,1985,93.141
356,estimates,5yearly,1990,81.92
356,estimates,5yearly,1995,71.013
356,estimates,5yearly,2000,59.935
356,estimates,5yearly,2005,49.844
356,estimates,5yearly,2010,41.275
356,medium_variant,5yearly,2015,34.88
356,medium_variant,5yearly,2020,29.659
356,medium_variant,5yearly,2025,25.412
356,medium_variant,5yearly,2030,21.804
356,medium_variant,5yearly,2035,18.851
356,medium_variant,5yearly,2040,16.57
356,medium_variant,5yearly,2045,14.702
356,medium_variant,5yearly,2050,13.045
356,medium_variant,5yearly,2055,11.636
356,medium_variant,5yearly,2060,10.348
356,medium_variant,5yearly,2065,9.23
356,medium_variant,5yearly,2070,8.473
356,medium_variant,5yearly,2075,7.764
356,medium_variant,5yearly,2080,7.127
356,medium_variant,5yearly,2085,6.612
356,medium_variant,5yearly,2090,6.167
356,medium_variant,5yearly,2095,5.738
