variant,region,year,infantmortalityper1000livebirth
estimates,920,1950,166.943
estimates,920,1951,164.148
estimates,920,1952,158.681
estimates,920,1953,153.462
estimates,920,1954,148.491
estimates,920,1955,143.767
estimates,920,1956,139.284
estimates,920,1957,135.035
estimates,920,1958,131.003
estimates,920,1959,127.161
estimates,920,1960,123.479
estimates,920,1961,119.921
estimates,920,1962,116.453
estimates,920,1963,113.049
estimates,920,1964,109.697
estimates,920,1965,106.386
estimates,920,1966,103.11
estimates,920,1967,99.906
estimates,920,1968,96.819
estimates,920,1969,93.892
estimates,920,1970,91.224
estimates,920,1971,88.928
estimates,920,1972,87.033
estimates,920,1973,85.511
estimates,920,1974,84.289
estimates,920,1975,83.222
estimates,920,1976,82.128
estimates,920,1977,80.84
estimates,920,1978,79.242
estimates,920,1979,77.284
estimates,920,1980,74.964
estimates,920,1981,72.337
estimates,920,1982,69.551
estimates,920,1983,66.745
estimates,920,1984,63.997
estimates,920,1985,61.383
estimates,920,1986,58.956
estimates,920,1987,56.712
estimates,920,1988,54.644
estimates,920,1989,52.757
estimates,920,1990,51.037
estimates,920,1991,49.458
estimates,920,1992,47.971
estimates,920,1993,46.536
estimates,920,1994,45.13
estimates,920,1995,43.738
estimates,920,1996,42.359
estimates,920,1997,41.003
estimates,920,1998,39.679
estimates,920,1999,38.386
estimates,920,2000,37.12
estimates,920,2001,35.88
estimates,920,2002,34.665
estimates,920,2003,33.478
estimates,920,2004,32.32
estimates,920,2005,31.193
estimates,920,2006,30.098
estimates,920,2007,29.04
estimates,920,2008,28.022
estimates,920,2009,27.047
estimates,920,2010,26.12
estimates,920,2011,25.245
estimates,920,2012,24.421
estimates,920,2013,23.648
estimates,920,2014,22.924
estimates,920,2015,22.248
medium_variant,920,2015,22.248
medium_variant,920,2016,21.616
medium_variant,920,2017,21.024
medium_variant,920,2018,20.467
medium_variant,920,2019,19.939
medium_variant,920,2020,19.436
medium_variant,920,2021,18.955
medium_variant,920,2022,18.495
medium_variant,920,2023,18.054
medium_variant,920,2024,17.629
medium_variant,920,2025,17.22
medium_variant,920,2026,16.824
medium_variant,920,2027,16.444
medium_variant,920,2028,16.078
medium_variant,920,2029,15.725
medium_variant,920,2030,15.381
medium_variant,920,2031,15.044
medium_variant,920,2032,14.713
medium_variant,920,2033,14.387
medium_variant,920,2034,14.066
medium_variant,920,2035,13.751
medium_variant,920,2036,13.445
medium_variant,920,2037,13.15
medium_variant,920,2038,12.869
medium_variant,920,2039,12.601
medium_variant,920,2040,12.346
medium_variant,920,2041,12.101
medium_variant,920,2042,11.865
medium_variant,920,2043,11.636
medium_variant,920,2044,11.412
medium_variant,920,2045,11.194
medium_variant,920,2046,10.983
medium_variant,920,2047,10.779
medium_variant,920,2048,10.584
medium_variant,920,2049,10.397
medium_variant,920,2050,10.217
medium_variant,920,2051,10.044
medium_variant,920,2052,9.878
medium_variant,920,2053,9.716
medium_variant,920,2054,9.558
medium_variant,920,2055,9.404
medium_variant,920,2056,9.253
medium_variant,920,2057,9.104
medium_variant,920,2058,8.958
medium_variant,920,2059,8.815
medium_variant,920,2060,8.674
medium_variant,920,2061,8.534
medium_variant,920,2062,8.397
medium_variant,920,2063,8.262
medium_variant,920,2064,8.128
medium_variant,920,2065,7.997
medium_variant,920,2066,7.867
medium_variant,920,2067,7.739
medium_variant,920,2068,7.613
medium_variant,920,2069,7.489
medium_variant,920,2070,7.367
medium_variant,920,2071,7.248
medium_variant,920,2072,7.133
medium_variant,920,2073,7.021
medium_variant,920,2074,6.913
medium_variant,920,2075,6.809
medium_variant,920,2076,6.709
medium_variant,920,2077,6.612
medium_variant,920,2078,6.518
medium_variant,920,2079,6.428
medium_variant,920,2080,6.34
medium_variant,920,2081,6.255
medium_variant,920,2082,6.172
medium_variant,920,2083,6.092
medium_variant,920,2084,6.015
medium_variant,920,2085,5.939
medium_variant,920,2086,5.865
medium_variant,920,2087,5.792
medium_variant,920,2088,5.72
medium_variant,920,2089,5.65
medium_variant,920,2090,5.58
medium_variant,920,2091,5.511
medium_variant,920,2092,5.443
medium_variant,920,2093,5.377
medium_variant,920,2094,5.311
medium_variant,920,2095,5.247
medium_variant,920,2096,5.184
medium_variant,920,2097,5.123
medium_variant,920,2098,5.062
medium_variant,920,2099,5.004
