country,year,variant,freq,age1yearinterval,lifeexpectancy
616,1950,estimates,5yearly,0,61.441072
616,1950,estimates,5yearly,1,65.677751
616,1950,estimates,5yearly,5,62.577784
616,1950,estimates,5yearly,10,57.913429
616,1950,estimates,5yearly,15,53.170761
616,1950,estimates,5yearly,20,48.587132
616,1950,estimates,5yearly,25,44.246634
616,1950,estimates,5yearly,30,39.880669
616,1950,estimates,5yearly,35,35.544329
616,1950,estimates,5yearly,40,31.252168
616,1950,estimates,5yearly,45,27.045735
616,1950,estimates,5yearly,50,22.989374
616,1950,estimates,5yearly,55,19.134199
616,1950,estimates,5yearly,60,15.538751
616,1950,estimates,5yearly,65,12.315019
616,1950,estimates,5yearly,70,9.5287248
616,1950,estimates,5yearly,75,7.1894173
616,1950,estimates,5yearly,80,5.3610892
616,1950,estimates,5yearly,85,4.0097548
616,1950,estimates,5yearly,90,3.0478733
616,1950,estimates,5yearly,95,2.3586211
616,1950,estimates,5yearly,100plus,1.8235174
616,1955,estimates,5yearly,0,65.893555
616,1955,estimates,5yearly,1,69.023872
616,1955,estimates,5yearly,5,65.60057
616,1955,estimates,5yearly,10,60.819342
616,1955,estimates,5yearly,15,55.9925
616,1955,estimates,5yearly,20,51.276485
616,1955,estimates,5yearly,25,46.732671
616,1955,estimates,5yearly,30,42.176484
616,1955,estimates,5yearly,35,37.644297
616,1955,estimates,5yearly,40,33.159987
616,1955,estimates,5yearly,45,28.762666
616,1955,estimates,5yearly,50,24.514763
616,1955,estimates,5yearly,55,20.472197
616,1955,estimates,5yearly,60,16.69078
616,1955,estimates,5yearly,65,13.275502
616,1955,estimates,5yearly,70,10.293191
616,1955,estimates,5yearly,75,7.7600191
616,1955,estimates,5yearly,80,5.7378404
616,1955,estimates,5yearly,85,4.2432831
616,1955,estimates,5yearly,90,3.1852914
616,1955,estimates,5yearly,95,2.4396301
616,1955,estimates,5yearly,100plus,1.8699306
616,1960,estimates,5yearly,0,68.310479
616,1960,estimates,5yearly,1,70.871854
616,1960,estimates,5yearly,5,67.306747
616,1960,estimates,5yearly,10,62.474658
616,1960,estimates,5yearly,15,57.610473
616,1960,estimates,5yearly,20,52.834895
616,1960,estimates,5yearly,25,48.158437
616,1960,estimates,5yearly,30,43.505255
616,1960,estimates,5yearly,35,38.880331
616,1960,estimates,5yearly,40,34.302877
616,1960,estimates,5yearly,45,29.810909
616,1960,estimates,5yearly,50,25.455802
616,1960,estimates,5yearly,55,21.304044
616,1960,estimates,5yearly,60,17.420914
616,1960,estimates,5yearly,65,13.899612
616,1960,estimates,5yearly,70,10.804234
616,1960,estimates,5yearly,75,8.1462854
616,1960,estimates,5yearly,80,5.9969382
616,1960,estimates,5yearly,85,4.3946138
616,1960,estimates,5yearly,90,3.2773673
616,1960,estimates,5yearly,95,2.4477244
616,1960,estimates,5yearly,100plus,1.9122685
616,1965,estimates,5yearly,0,69.792436
616,1965,estimates,5yearly,1,71.423331
616,1965,estimates,5yearly,5,67.75046
616,1965,estimates,5yearly,10,62.902113
616,1965,estimates,5yearly,15,58.013536
616,1965,estimates,5yearly,20,53.217772
616,1965,estimates,5yearly,25,48.506012
616,1965,estimates,5yearly,30,43.802713
616,1965,estimates,5yearly,35,39.134902
616,1965,estimates,5yearly,40,34.544876
616,1965,estimates,5yearly,45,30.05224
616,1965,estimates,5yearly,50,25.693487
616,1965,estimates,5yearly,55,21.526072
616,1965,estimates,5yearly,60,17.622317
616,1965,estimates,5yearly,65,14.069046
616,1965,estimates,5yearly,70,10.943728
616,1965,estimates,5yearly,75,8.3055732
616,1965,estimates,5yearly,80,6.116497
616,1965,estimates,5yearly,85,4.4735008
616,1965,estimates,5yearly,90,3.2904192
616,1965,estimates,5yearly,95,2.4829517
616,1965,estimates,5yearly,100plus,1.9273084
616,1970,estimates,5yearly,0,70.284602
616,1970,estimates,5yearly,1,71.579419
616,1970,estimates,5yearly,5,67.849394
