country,year,variant,gender,freq,age1yearinterval,lifeexpectancy
116,1950,estimates,female,5yearly,0,41.7152501235383
116,1950,estimates,male,5yearly,0,38.9883119091445
116,1950,estimates,female,5yearly,1,46.9221082367816
116,1950,estimates,male,5yearly,1,45.0274525405577
116,1950,estimates,female,5yearly,5,46.9677574629795
116,1950,estimates,male,5yearly,5,44.9714597423032
116,1950,estimates,female,5yearly,10,43.849954544331
116,1950,estimates,male,5yearly,10,42.3278873692108
116,1950,estimates,female,5yearly,15,40.5084405927256
116,1950,estimates,male,5yearly,15,39.3435381510508
116,1950,estimates,female,5yearly,20,37.4464460677717
116,1950,estimates,male,5yearly,20,36.1484643121898
116,1950,estimates,female,5yearly,25,34.6927073457506
116,1950,estimates,male,5yearly,25,32.9410469183563
116,1950,estimates,female,5yearly,30,31.9247610946224
116,1950,estimates,male,5yearly,30,29.6285010382468
116,1950,estimates,female,5yearly,35,29.0890434681916
116,1950,estimates,male,5yearly,35,26.2884702875289
116,1950,estimates,female,5yearly,40,26.0407225075448
116,1950,estimates,male,5yearly,40,22.9560060857513
116,1950,estimates,female,5yearly,45,22.7612152923051
116,1950,estimates,male,5yearly,45,19.60429184848
116,1950,estimates,female,5yearly,50,19.4156872014924
116,1950,estimates,male,5yearly,50,16.4150307909109
116,1950,estimates,female,5yearly,55,16.326771224684
116,1950,estimates,male,5yearly,55,13.65438180767
116,1950,estimates,female,5yearly,60,13.3402812087293
116,1950,estimates,male,5yearly,60,11.0409710818541
116,1950,estimates,female,5yearly,65,10.7337185157591
116,1950,estimates,male,5yearly,65,8.96976660618796
116,1950,estimates,female,5yearly,70,8.51632065485995
116,1950,estimates,male,5yearly,70,7.263760488612
116,1950,estimates,female,5yearly,75,6.6538344526596
116,1950,estimates,male,5yearly,75,5.83923676364046
116,1950,estimates,female,5yearly,80,5.10956435586637
116,1950,estimates,male,5yearly,80,4.59504736963477
116,1950,estimates,female,5yearly,85,3.83672926914971
116,1950,estimates,male,5yearly,85,3.50923503831047
116,1950,estimates,female,5yearly,90,2.92726505430587
116,1950,estimates,male,5yearly,90,2.68757160558425
116,1950,estimates,female,5yearly,95,2.23900590047313
116,1950,estimates,male,5yearly,95,2.05726899507939
116,1955,estimates,female,5yearly,0,42.633923031309
116,1955,estimates,male,5yearly,0,39.5201949823094
116,1955,estimates,female,5yearly,1,47.6069968754853
116,1955,estimates,male,5yearly,1,45.2680142225488
