region,year,variant,freq,age1yearinterval,lifeexpectancy
927,1950,estimates,5yearly,0,69.4447811976065
927,1950,estimates,5yearly,1,70.1695157038363
927,1950,estimates,5yearly,5,66.617809677172
927,1950,estimates,5yearly,10,61.8258833380637
927,1950,estimates,5yearly,15,56.9975627940282
927,1950,estimates,5yearly,20,52.2850768703188
927,1950,estimates,5yearly,25,47.6290488677646
927,1950,estimates,5yearly,30,42.9401166043151
927,1950,estimates,5yearly,35,38.2568111916001
927,1950,estimates,5yearly,40,33.6429265429183
927,1950,estimates,5yearly,45,29.1541612565468
927,1950,estimates,5yearly,50,24.8705567364933
927,1950,estimates,5yearly,55,20.8449029743101
927,1950,estimates,5yearly,60,17.1025165824905
927,1950,estimates,5yearly,65,13.721479701473
927,1950,estimates,5yearly,70,10.7077348820119
927,1950,estimates,5yearly,75,8.14990577428014
927,1950,estimates,5yearly,80,6.08656845089595
927,1950,estimates,5yearly,85,4.49796034099426
927,1950,estimates,5yearly,90,3.33159729009614
927,1950,estimates,5yearly,95,2.5130605137069
927,1950,estimates,5yearly,100plus,1.96103194455373
927,1955,estimates,5yearly,0,70.4644208257035
927,1955,estimates,5yearly,1,71.0402547351822
927,1955,estimates,5yearly,5,67.4048402729783
927,1955,estimates,5yearly,10,62.5694669045353
927,1955,estimates,5yearly,15,57.7104679539684
927,1955,estimates,5yearly,20,52.9648887804479
927,1955,estimates,5yearly,25,48.2691837131791
927,1955,estimates,5yearly,30,43.5444759030122
927,1955,estimates,5yearly,35,38.8359666576045
927,1955,estimates,5yearly,40,34.1931472082452
927,1955,estimates,5yearly,45,29.6646293096168
927,1955,estimates,5yearly,50,25.3263298970326
927,1955,estimates,5yearly,55,21.2438052369157
927,1955,estimates,5yearly,60,17.4464983327921
927,1955,estimates,5yearly,65,14.0068046055618
927,1955,estimates,5yearly,70,10.9530660987234
927,1955,estimates,5yearly,75,8.35601383021204
927,1955,estimates,5yearly,80,6.25232386405364
927,1955,estimates,5yearly,85,4.6252298792655
927,1955,estimates,5yearly,90,3.42492826343277
927,1955,estimates,5yearly,95,2.57866815589944
927,1955,estimates,5yearly,100plus,2.00552143611745
927,1960,estimates,5yearly,0,70.9226235889133
927,1960,estimates,5yearly,1,71.3498342418839
927,1960,estimates,5yearly,5,67.6437543578009
927,1960,estimates,5yearly,10,62.7884932737061
927,1960,estimates,5yearly,15,57.9143830865714
927,1960,estimates,5yearly,20,53.1492078741621
927,1960,estimates,5yearly,25,48.4325366014508
927,1960,estimates,5yearly,30,43.6872360040747
927,1960,estimates,5yearly,35,38.9625630882203
927,1960,estimates,5yearly,40,34.3150954233018
927,1960,estimates,5yearly,45,29.7939197877912
927,1960,estimates,5yearly,50,25.4626699999858
927,1960,estimates,5yearly,55,21.3805716605787
927,1960,estimates,5yearly,60,17.6101065972527
927,1960,estimates,5yearly,65,14.1924446988503
927,1960,estimates,5yearly,70,11.1252093571101
927,1960,estimates,5yearly,75,8.51144786549873
927,1960,estimates,5yearly,80,6.38677431592559
927,1960,estimates,5yearly,85,4.73619214845125
927,1960,estimates,5yearly,90,3.51222255271004
927,1960,estimates,5yearly,95,2.64429844311051
927,1960,estimates,5yearly,100plus,2.05293812377833
927,1965,estimates,5yearly,0,70.9196563281099
927,1965,estimates,5yearly,1,71.2295999420541
927,1965,estimates,5yearly,5,67.4949098374767
927,1965,estimates,5yearly,10,62.6276087937452
927,1965,estimates,5yearly,15,57.7507431362223
927,1965,estimates,5yearly,20,53.0055349296023
927,1965,estimates,5yearly,25,48.3024323024021
927,1965,estimates,5yearly,30,43.5482338848485
927,1965,estimates,5yearly,35,38.8162511773017
927,1965,estimates,5yearly,40,34.167515747288
927,1965,estimates,5yearly,45,29.6509377560768
927,1965,estimates,5yearly,50,25.3259796229915
927,1965,estimates,5yearly,55,21.2565046094774
927,1965,estimates,5yearly,60,17.5027896383675
927,1965,estimates,5yearly,65,14.1312497062338
927,1965,estimates,5yearly,70,11.1205384061373
927,1965,estimates,5yearly,75,8.5423805147648
927,1965,estimates,5yearly,80,6.44214959746277
927,1965,estimates,5yearly,85,4.80387632235987
927,1965,estimates,5yearly,90,3.58147126497991
927,1965,estimates,5yearly,95,2.70747986679523
927,1965,estimates,5yearly,100plus,2.10603677995656
927,1970,estimates,5yearly,0,71.7509057705447
927,1970,estimates,5yearly,1,71.9413125167658
927,1970,estimates,5yearly,5,68.1845107630308
927,1970,estimates,5yearly,10,63.3061444567214
927,1970,estimates,5yearly,15,58.4281528793061
927,1970,estimates,5yearly,20,53.7027971118375
927,1970,estimates,5yearly,25,49.0089102916681
927,1970,estimates,5yearly,30,44.2412891382308
927,1970,estimates,5yearly,35,39.4861832819089
927,1970,estimates,5yearly,40,34.8052085038795
927,1970,estimates,5yearly,45,30.2628203363612
927,1970,estimates,5yearly,50,25.9234458721779
927,1970,estimates,5yearly,55,21.8236798616774
927,1970,estimates,5yearly,60,18.0175902595105
927,1970,estimates,5yearly,65,14.5623043576274
927,1970,estimates,5yearly,70,11.4731674468625
927,1970,estimates,5yearly,75,8.81881079373437
927,1970,estimates,5yearly,80,6.64745560266927
927,1970,estimates,5yearly,85,4.94768300144595
927,1970,estimates,5yearly,90,3.67620913892303
927,1970,estimates,5yearly,95,2.76610311817928
927,1970,estimates,5yearly,100plus,2.14005209933508
927,1975,estimates,5yearly,0,73.4061770292666
927,1975,estimates,5yearly,1,73.3364013577442
927,1975,estimates,5yearly,5,69.527230735552
927,1975,estimates,5yearly,10,64.6261257855292
927,1975,estimates,5yearly,15,59.7369783203201
927,1975,estimates,5yearly,20,55.0006928220473
927,1975,estimates,5yearly,25,50.3087680890227
927,1975,estimates,5yearly,30,45.5400339352446
927,1975,estimates,5yearly,35,40.7665627310957
927,1975,estimates,5yearly,40,36.0539942104231
927,1975,estimates,5yearly,45,31.4725857585888
927,1975,estimates,5yearly,50,27.0830522615072
927,1975,estimates,5yearly,55,22.921252192815
927,1975,estimates,5yearly,60,19.0296473069946
927,1975,estimates,5yearly,65,15.4636514235623
927,1975,estimates,5yearly,70,12.2618993462796
927,1975,estimates,5yearly,75,9.48820885155453
927,1975,estimates,5yearly,80,7.19283201434462
927,1975,estimates,5yearly,85,5.37291357627108
927,1975,estimates,5yearly,90,3.99333269378038
927,1975,estimates,5yearly,95,2.99285921777119
927,1975,estimates,5yearly,100plus,2.2963118765706
927,1980,estimates,5yearly,0,74.8512313463557
927,1980,estimates,5yearly,1,74.6285060436934
927,1980,estimates,5yearly,5,70.7909582680873
927,1980,estimates,5yearly,10,65.876401244113
927,1980,estimates,5yearly,15,60.9715244064879
927,1980,estimates,5yearly,20,56.1988365357809
927,1980,estimates,5yearly,25,51.4837653188457
927,1980,estimates,5yearly,30,46.7153159610848
927,1980,estimates,5yearly,35,41.9240311174998
927,1980,estimates,5yearly,40,37.1678209748106
927,1980,estimates,5yearly,45,32.5187167965921
927,1980,estimates,5yearly,50,28.035043012941
927,1980,estimates,5yearly,55,23.7778089623268
927,1980,estimates,5yearly,60,19.7954650431124
927,1980,estimates,5yearly,65,16.1197620114652
927,1980,estimates,5yearly,70,12.8024998187557
927,1980,estimates,5yearly,75,9.91615595982146
927,1980,estimates,5yearly,80,7.51339767444144
927,1980,estimates,5yearly,85,5.59874477065797
927,1980,estimates,5yearly,90,4.14226645797603
927,1980,estimates,5yearly,95,3.08452445246844
927,1980,estimates,5yearly,100plus,2.34881189958366
927,1985,estimates,5yearly,0,75.8764393560277
927,1985,estimates,5yearly,1,75.5642388759591
927,1985,estimates,5yearly,5,71.7019678968067
927,1985,estimates,5yearly,10,66.7739585139254
927,1985,estimates,5yearly,15,61.8592756417675
927,1985,estimates,5yearly,20,57.0811016036473
927,1985,estimates,5yearly,25,52.3697880613019
927,1985,estimates,5yearly,30,47.6114615499175
927,1985,estimates,5yearly,35,42.8322775260907
927,1985,estimates,5yearly,40,38.0721852842047
927,1985,estimates,5yearly,45,33.385238386663
927,1985,estimates,5yearly,50,28.836697835266
927,1985,estimates,5yearly,55,24.4863604786733
927,1985,estimates,5yearly,60,20.3990240577532
927,1985,estimates,5yearly,65,16.6245970703367
927,1985,estimates,5yearly,70,13.1894003126837
927,1985,estimates,5yearly,75,10.1808671255879
927,1985,estimates,5yearly,80,7.66995272833421
927,1985,estimates,5yearly,85,5.66954224695312
927,1985,estimates,5yearly,90,4.15370318923192
927,1985,estimates,5yearly,95,3.06167030781962
927,1985,estimates,5yearly,100plus,2.31130944649382
927,1990,estimates,5yearly,0,77.4584752016593
927,1990,estimates,5yearly,1,76.9780121992711
927,1990,estimates,5yearly,5,73.0931013599439
927,1990,estimates,5yearly,10,68.1517043957981
927,1990,estimates,5yearly,15,63.2235847969107
927,1990,estimates,5yearly,20,58.4033503256479
927,1990,estimates,5yearly,25,53.6459446851076
927,1990,estimates,5yearly,30,48.87020371796
927,1990,estimates,5yearly,35,44.0912528932505
927,1990,estimates,5yearly,40,39.3318108788134
927,1990,estimates,5yearly,45,34.6230221464214
927,1990,estimates,5yearly,50,30.0231071596268
927,1990,estimates,5yearly,55,25.5915396294935
927,1990,estimates,5yearly,60,21.3887662458144
927,1990,estimates,5yearly,65,17.4911038455794
927,1990,estimates,5yearly,70,13.9294765509458
927,1990,estimates,5yearly,75,10.778716896323
927,1990,estimates,5yearly,80,8.12634822649574
927,1990,estimates,5yearly,85,5.99636639120016
927,1990,estimates,5yearly,90,4.37208491593879
927,1990,estimates,5yearly,95,3.19749004092875
927,1990,estimates,5yearly,100plus,2.38992036714124
927,1995,estimates,5yearly,0,78.6329495003354
927,1995,estimates,5yearly,1,78.0749760029589
927,1995,estimates,5yearly,5,74.1796691904688
927,1995,estimates,5yearly,10,69.2290188450679
927,1995,estimates,5yearly,15,64.2990311575825
927,1995,estimates,5yearly,20,59.4792513420538
927,1995,estimates,5yearly,25,54.7237626730716
927,1995,estimates,5yearly,30,49.9562075416892
927,1995,estimates,5yearly,35,45.1849962270229
927,1995,estimates,5yearly,40,40.427805108934
927,1995,estimates,5yearly,45,35.7121516406773
927,1995,estimates,5yearly,50,31.0801728939347
927,1995,estimates,5yearly,55,26.5861523519703
927,1995,estimates,5yearly,60,22.2996499607999
927,1995,estimates,5yearly,65,18.2740528182403
927,1995,estimates,5yearly,70,14.5594256575157
927,1995,estimates,5yearly,75,11.241813292589
927,1995,estimates,5yearly,80,8.4318866818183
927,1995,estimates,5yearly,85,6.16831749642949
927,1995,estimates,5yearly,90,4.44451832384357
927,1995,estimates,5yearly,95,3.20667562661298
927,1995,estimates,5yearly,100plus,2.36667647979195
927,2000,estimates,5yearly,0,80.1128042532921
927,2000,estimates,5yearly,1,79.5172057179035
927,2000,estimates,5yearly,5,75.6018645035586
927,2000,estimates,5yearly,10,70.6445275680146
927,2000,estimates,5yearly,15,65.7006399116675
927,2000,estimates,5yearly,20,60.8432731992841
927,2000,estimates,5yearly,25,56.0367316057165
927,2000,estimates,5yearly,30,51.2287139324996
927,2000,estimates,5yearly,35,46.4280779338051
927,2000,estimates,5yearly,40,41.6497568731908
927,2000,estimates,5yearly,45,36.9246853180838
927,2000,estimates,5yearly,50,32.2769671723971
927,2000,estimates,5yearly,55,27.7382100740575
927,2000,estimates,5yearly,60,23.3702375910674
927,2000,estimates,5yearly,65,19.2289080389723
