region,year,variant,gender,freq,age1yearinterval,lifeexpectancy
947,1950,estimates,female,5yearly,0,37.4732804941142
947,1950,estimates,male,5yearly,0,34.9267294296259
947,1950,estimates,female,5yearly,1,44.0677548479405
947,1950,estimates,male,5yearly,1,42.354262868721
947,1950,estimates,female,5yearly,5,47.5608539902011
947,1950,estimates,male,5yearly,5,45.7632207898102
947,1950,estimates,female,5yearly,10,45.5517229970454
947,1950,estimates,male,5yearly,10,43.6200714455699
947,1950,estimates,female,5yearly,15,41.8857550393678
947,1950,estimates,male,5yearly,15,39.7973463503659
947,1950,estimates,female,5yearly,20,38.3892269018542
947,1950,estimates,male,5yearly,20,36.2524342506429
947,1950,estimates,female,5yearly,25,35.1330755481735
947,1950,estimates,male,5yearly,25,33.1085410703142
947,1950,estimates,female,5yearly,30,31.941763271833
947,1950,estimates,male,5yearly,30,29.9750446782256
947,1950,estimates,female,5yearly,35,28.7583880186698
947,1950,estimates,male,5yearly,35,26.7166005787668
947,1950,estimates,female,5yearly,40,25.5478063085429
947,1950,estimates,male,5yearly,40,23.4738772548219
947,1950,estimates,female,5yearly,45,22.2386123570484
947,1950,estimates,male,5yearly,45,20.3108196901596
947,1950,estimates,female,5yearly,50,18.8562492680871
947,1950,estimates,male,5yearly,50,17.2319935421245
947,1950,estimates,female,5yearly,55,15.5431665114029
947,1950,estimates,male,5yearly,55,14.2680626060301
947,1950,estimates,female,5yearly,60,12.4572502610058
947,1950,estimates,male,5yearly,60,11.4959603103098
947,1950,estimates,female,5yearly,65,9.72578822795435
947,1950,estimates,male,5yearly,65,9.00287219130123
947,1950,estimates,female,5yearly,70,7.42590299002167
947,1950,estimates,male,5yearly,70,6.86609087686578
947,1950,estimates,female,5yearly,75,5.58028376686803
947,1950,estimates,male,5yearly,75,5.15985956448967
947,1950,estimates,female,5yearly,80,4.16859174131897
947,1950,estimates,male,5yearly,80,3.8672237091512
947,1950,estimates,female,5yearly,85,3.13377297561506
947,1950,estimates,male,5yearly,85,2.92714115997246
947,1950,estimates,female,5yearly,90,2.4045846634876
947,1950,estimates,male,5yearly,90,2.26844104621909
947,1950,estimates,female,5yearly,95,1.90801942904547
947,1950,estimates,male,5yearly,95,1.82127641092812
947,1950,estimates,female,5yearly,100plus,1.57904875140546
947,1950,estimates,male,5yearly,100plus,1.52523973703963
947,1955,estimates,female,5yearly,0,39.7043678322495
947,1955,estimates,male,5yearly,0,37.0941180964029
947,1955,estimates,female,5yearly,1,46.0186800681253
947,1955,estimates,male,5yearly,1,44.2076224904263
947,1955,estimates,female,5yearly,5,49.1024719051869
947,1955,estimates,male,5yearly,5,47.2088518053213
947,1955,estimates,female,5yearly,10,46.8772482791752
947,1955,estimates,male,5yearly,10,44.8396800257112
947,1955,estimates,female,5yearly,15,43.1326285066338
947,1955,estimates,male,5yearly,15,40.9514807010156
947,1955,estimates,female,5yearly,20,39.5522182040152
947,1955,estimates,male,5yearly,20,37.3343502539328
947,1955,estimates,female,5yearly,25,36.197675959231
947,1955,estimates,male,5yearly,25,34.0982765903815
947,1955,estimates,female,5yearly,30,32.8997786203019
947,1955,estimates,male,5yearly,30,30.8651799280591
947,1955,estimates,female,5yearly,35,29.6099036660768
947,1955,estimates,male,5yearly,35,27.5163497472708
947,1955,estimates,female,5yearly,40,26.2991932199356
947,1955,estimates,male,5yearly,40,24.1864896127215
947,1955,estimates,female,5yearly,45,22.9031113820562
947,1955,estimates,male,5yearly,45,20.9367982318881
947,1955,estimates,female,5yearly,50,19.4516796294447
947,1955,estimates,male,5yearly,50,17.7792897616282
947,1955,estimates,female,5yearly,55,16.0788694781123
947,1955,estimates,male,5yearly,55,14.7442455688271
947,1955,estimates,female,5yearly,60,12.9299303827822
947,1955,estimates,male,5yearly,60,11.9047436712629
947,1955,estimates,female,5yearly,65,10.137953832521
947,1955,estimates,male,5yearly,65,9.35058439146011
947,1955,estimates,female,5yearly,70,7.78006613632295
947,1955,estimates,male,5yearly,70,7.15465999574072
947,1955,estimates,female,5yearly,75,5.87243543459668
947,1955,estimates,male,5yearly,75,5.38700014651503
947,1955,estimates,female,5yearly,80,4.39978847788965
947,1955,estimates,male,5yearly,80,4.03881533641531
947,1955,estimates,female,5yearly,85,3.30943720911606
947,1955,estimates,male,5yearly,85,3.05181801603298
947,1955,estimates,female,5yearly,90,2.53317633203239
947,1955,estimates,male,5yearly,90,2.35596206171549
947,1955,estimates,female,5yearly,95,1.99920695174505
947,1955,estimates,male,5yearly,95,1.88099365276817
947,1955,estimates,female,5yearly,100plus,1.64208830498186
947,1955,estimates,male,5yearly,100plus,1.56510252641142
947,1960,estimates,female,5yearly,0,41.9900470926785
947,1960,estimates,male,5yearly,0,39.2551049510464
947,1960,estimates,female,5yearly,1,48.0007440352403
947,1960,estimates,male,5yearly,1,46.0369486469402
947,1960,estimates,female,5yearly,5,50.632182948412
947,1960,estimates,male,5yearly,5,48.5995346115306
947,1960,estimates,female,5yearly,10,48.2018018681874
947,1960,estimates,male,5yearly,10,46.0438893425771
947,1960,estimates,female,5yearly,15,44.372877246519
947,1960,estimates,male,5yearly,15,42.0856588912308
947,1960,estimates,female,5yearly,20,40.7021723446819
