country,variant,gender,freq,year,lifeexpectancyat15
624,estimates,female,5yearly,1950,41.33264
624,estimates,male,5yearly,1950,39.5119
624,estimates,female,5yearly,1955,42.34388
624,estimates,male,5yearly,1955,40.36287
624,estimates,female,5yearly,1960,43.37358
624,estimates,male,5yearly,1960,41.30422
624,estimates,female,5yearly,1965,44.67397
624,estimates,male,5yearly,1965,42.53467
624,estimates,female,5yearly,1970,46.02144
624,estimates,male,5yearly,1970,43.66564
624,estimates,female,5yearly,1975,47.1457
624,estimates,male,5yearly,1975,44.85236
624,estimates,female,5yearly,1980,48.707697
624,estimates,male,5yearly,1980,45.868556
624,estimates,female,5yearly,1985,49.811295
624,estimates,male,5yearly,1985,46.749611
624,estimates,female,5yearly,1990,50.978378
624,estimates,male,5yearly,1990,47.753144
624,estimates,female,5yearly,1995,50.918977
624,estimates,male,5yearly,1995,48.810826
624,estimates,female,5yearly,2000,49.901443
624,estimates,male,5yearly,2000,49.837621
624,estimates,female,5yearly,2005,51.114756
624,estimates,male,5yearly,2005,49.448634
624,estimates,female,5yearly,2010,52.033946
624,estimates,male,5yearly,2010,49.915976
624,medium_variant,female,5yearly,2015,52.90231
624,medium_variant,male,5yearly,2015,50.815397
624,medium_variant,female,5yearly,2020,53.88746
624,medium_variant,male,5yearly,2020,51.676487
624,medium_variant,female,5yearly,2025,54.84233
624,medium_variant,male,5yearly,2025,52.490163
624,medium_variant,female,5yearly,2030,55.725921
624,medium_variant,male,5yearly,2030,53.178782
624,medium_variant,female,5yearly,2035,56.555383
624,medium_variant,male,5yearly,2035,53.823983
624,medium_variant,female,5yearly,2040,57.331003
624,medium_variant,male,5yearly,2040,54.41022
624,medium_variant,female,5yearly,2045,58.041851
624,medium_variant,male,5yearly,2045,54.844715
624,medium_variant,female,5yearly,2050,58.762057
624,medium_variant,male,5yearly,2050,55.252859
624,medium_variant,female,5yearly,2055,59.441686
624,medium_variant,male,5yearly,2055,55.641441
624,medium_variant,female,5yearly,2060,60.108827
624,medium_variant,male,5yearly,2060,56.00466
624,medium_variant,female,5yearly,2065,60.772487
624,medium_variant,male,5yearly,2065,56.371819
624,medium_variant,female,5yearly,2070,61.419641
624,medium_variant,male,5yearly,2070,56.755531
624,medium_variant,female,5yearly,2075,62.050983
624,medium_variant,male,5yearly,2075,57.117634
624,medium_variant,female,5yearly,2080,62.699387
624,medium_variant,male,5yearly,2080,57.608498
624,medium_variant,female,5yearly,2085,63.298215
624,medium_variant,male,5yearly,2085,58.117221
624,medium_variant,female,5yearly,2090,63.915608
624,medium_variant,male,5yearly,2090,58.639546
624,medium_variant,female,5yearly,2095,64.49914
624,medium_variant,male,5yearly,2095,59.210823
