continent,variant,freq,year,lifeexpectancyat80
904,estimates,5yearly,1950,5.35014233499377
904,estimates,5yearly,1955,5.79161436874068
904,estimates,5yearly,1960,5.98280370524899
904,estimates,5yearly,1965,6.12812987395169
904,estimates,5yearly,1970,6.28211890257907
904,estimates,5yearly,1975,6.39784581948909
904,estimates,5yearly,1980,6.5884582260408
904,estimates,5yearly,1985,6.86167804161033
904,estimates,5yearly,1990,7.18948232654134
904,estimates,5yearly,1995,7.68986485050463
904,estimates,5yearly,2000,8.09198897784402
904,estimates,5yearly,2005,8.61240530050362
904,estimates,5yearly,2010,8.96769140881949
904,mediumvariant,5yearly,2015,9.25365958084733
904,mediumvariant,5yearly,2020,9.49394159091988
904,mediumvariant,5yearly,2025,9.73328850304507
904,mediumvariant,5yearly,2030,9.9878965568849
904,mediumvariant,5yearly,2035,10.237020649511
904,mediumvariant,5yearly,2040,10.5021645485389
904,mediumvariant,5yearly,2045,10.7763198690746
904,mediumvariant,5yearly,2050,11.0473800675929
904,mediumvariant,5yearly,2055,11.3011953079438
904,mediumvariant,5yearly,2060,11.5252283312301
904,mediumvariant,5yearly,2065,11.7277195991095
904,mediumvariant,5yearly,2070,11.9413112789303
904,mediumvariant,5yearly,2075,12.1661297949712
904,mediumvariant,5yearly,2080,12.3869639325574
904,mediumvariant,5yearly,2085,12.6135671538709
904,mediumvariant,5yearly,2090,12.8437599738919
904,mediumvariant,5yearly,2095,13.0772852032423
