region,variant,gender,freq,year,lifeexpectancyat80
922,estimates,female,5yearly,1950,5.04520126164432
922,estimates,male,5yearly,1950,4.75018715933644
922,estimates,female,5yearly,1955,5.38209967802708
922,estimates,male,5yearly,1955,4.95568169450087
922,estimates,female,5yearly,1960,5.75418900970496
922,estimates,male,5yearly,1960,5.10760825903806
922,estimates,female,5yearly,1965,6.10452761345166
922,estimates,male,5yearly,1965,5.3042551588257
922,estimates,female,5yearly,1970,6.30978622502103
922,estimates,male,5yearly,1970,5.43652200729221
922,estimates,female,5yearly,1975,6.43536738516474
922,estimates,male,5yearly,1975,5.47638682775749
922,estimates,female,5yearly,1980,6.52742003361191
922,estimates,male,5yearly,1980,5.49984895776371
922,estimates,female,5yearly,1985,6.64500624615616
922,estimates,male,5yearly,1985,5.56272618969656
922,estimates,female,5yearly,1990,6.73157369185389
922,estimates,male,5yearly,1990,5.61938122390622
922,estimates,female,5yearly,1995,6.89163313761528
922,estimates,male,5yearly,1995,5.69806171180139
922,estimates,female,5yearly,2000,7.08126807334616
922,estimates,male,5yearly,2000,5.79241909880431
922,estimates,female,5yearly,2005,7.41674943030093
922,estimates,male,5yearly,2005,5.98086378397308
922,estimates,female,5yearly,2010,7.67545370615287
922,estimates,male,5yearly,2010,6.1557387077092
922,mediumvariant,female,5yearly,2015,7.96424551185495
922,mediumvariant,male,5yearly,2015,6.3980811166849
922,mediumvariant,female,5yearly,2020,8.27355125618206
922,mediumvariant,male,5yearly,2020,6.65634987688045
922,mediumvariant,female,5yearly,2025,8.55755453845789
922,mediumvariant,male,5yearly,2025,6.89544161568445
922,mediumvariant,female,5yearly,2030,8.85596036097482
922,mediumvariant,male,5yearly,2030,7.17809985688222
922,mediumvariant,female,5yearly,2035,9.1177937641257
922,mediumvariant,male,5yearly,2035,7.46755388498023
922,mediumvariant,female,5yearly,2040,9.35785072486619
922,mediumvariant,male,5yearly,2040,7.77520308854941
922,mediumvariant,female,5yearly,2045,9.58620280930515
922,mediumvariant,male,5yearly,2045,8.09486876392736
922,mediumvariant,female,5yearly,2050,9.80019735955371
922,mediumvariant,male,5yearly,2050,8.40966080775972
922,mediumvariant,female,5yearly,2055,10.0187098744543
922,mediumvariant,male,5yearly,2055,8.66165619461752
922,mediumvariant,female,5yearly,2060,10.2277294930584
922,mediumvariant,male,5yearly,2060,8.88066745443469
922,mediumvariant,female,5yearly,2065,10.418520019653
922,mediumvariant,male,5yearly,2065,9.10007473585485
922,mediumvariant,female,5yearly,2070,10.6067893163956
922,mediumvariant,male,5yearly,2070,9.34214011437298
922,mediumvariant,female,5yearly,2075,10.7922834383395
922,mediumvariant,male,5yearly,2075,9.58869260913716
922,mediumvariant,female,5yearly,2080,10.9955215582996
922,mediumvariant,male,5yearly,2080,9.80728990505655
922,mediumvariant,female,5yearly,2085,11.1912471728449
922,mediumvariant,male,5yearly,2085,10.0082055185059
922,mediumvariant,female,5yearly,2090,11.3788793524482
922,mediumvariant,male,5yearly,2090,10.1728009193256
922,mediumvariant,female,5yearly,2095,11.5522433846774
922,mediumvariant,male,5yearly,2095,10.3313225038287
