continent,variant,gender,freq,year,lifeexpectancyatbirth
904,estimates,female,5yearly,1950,52.9683442646399
904,estimates,male,5yearly,1950,49.5494860872159
904,estimates,female,5yearly,1955,55.9878098960049
904,estimates,male,5yearly,1955,52.3867077452147
904,estimates,female,5yearly,1960,58.8505705809532
904,estimates,male,5yearly,1960,54.7915104977097
904,estimates,female,5yearly,1965,61.2955627402133
904,estimates,male,5yearly,1965,56.7065349632995
904,estimates,female,5yearly,1970,63.8501594500977
904,estimates,male,5yearly,1970,58.6192933587054
904,estimates,female,5yearly,1975,65.9592245487521
904,estimates,male,5yearly,1975,60.2219897344327
904,estimates,female,5yearly,1980,68.08114342075
904,estimates,male,5yearly,1980,61.8161802199556
904,estimates,female,5yearly,1985,70.0075799020893
904,estimates,male,5yearly,1985,63.4354578356743
904,estimates,female,5yearly,1990,71.8942950114984
904,estimates,male,5yearly,1990,65.0719026959273
904,estimates,female,5yearly,1995,73.8637162849292
904,estimates,male,5yearly,1995,67.1310979007267
904,estimates,female,5yearly,2000,75.5738301533667
904,estimates,male,5yearly,2000,68.8044181461262
904,estimates,female,5yearly,2005,76.8015655467572
904,estimates,male,5yearly,2005,70.0508509743435
904,estimates,female,5yearly,2010,77.9219320692056
904,estimates,male,5yearly,2010,71.2251258125649
904,medium_variant,female,5yearly,2015,78.9726347071025
904,medium_variant,male,5yearly,2015,72.4830606169091
904,medium_variant,female,5yearly,2020,79.9513318768317
904,medium_variant,male,5yearly,2020,73.7040877973226
904,medium_variant,female,5yearly,2025,80.8388644131088
904,medium_variant,male,5yearly,2025,74.8881502616428
904,medium_variant,female,5yearly,2030,81.6640620148007
904,medium_variant,male,5yearly,2030,76.0630151870498
904,medium_variant,female,5yearly,2035,82.4294787131049
904,medium_variant,male,5yearly,2035,77.2328359046124
904,medium_variant,female,5yearly,2040,83.1642626572868
904,medium_variant,male,5yearly,2040,78.3905296675982
904,medium_variant,female,5yearly,2045,83.861735192937
904,medium_variant,male,5yearly,2045,79.4872300234671
904,medium_variant,female,5yearly,2050,84.5166455396243
904,medium_variant,male,5yearly,2050,80.5323061044098
904,medium_variant,female,5yearly,2055,85.1376013226031
904,medium_variant,male,5yearly,2055,81.4453027153145
904,medium_variant,female,5yearly,2060,85.7439872321679
904,medium_variant,male,5yearly,2060,82.2481912478306
904,medium_variant,female,5yearly,2065,86.3066293455752
904,medium_variant,male,5yearly,2065,82.9897912135806
904,medium_variant,female,5yearly,2070,86.8647721150843
904,medium_variant,male,5yearly,2070,83.6833262771025
904,medium_variant,female,5yearly,2075,87.4329913195139
904,medium_variant,male,5yearly,2075,84.3450381179149
904,medium_variant,female,5yearly,2080,87.9885174136856
904,medium_variant,male,5yearly,2080,84.9505232244515
904,medium_variant,female,5yearly,2085,88.5283537929945
904,medium_variant,male,5yearly,2085,85.5623477030695
904,medium_variant,female,5yearly,2090,89.0728960104479
904,medium_variant,male,5yearly,2090,86.1217637186042
904,medium_variant,female,5yearly,2095,89.5875426211925
904,medium_variant,male,5yearly,2095,86.687312647444
