variant,continent,year,totaldeaths,gender
estimates,904,1950,48.318,male
estimates,904,1950,51.736,female
estimates,904,1951,48.633,male
estimates,904,1951,52.045,female
estimates,904,1952,49.257,male
estimates,904,1952,52.663,female
estimates,904,1953,49.865,male
estimates,904,1953,53.278,female
estimates,904,1954,50.458,male
estimates,904,1954,53.89,female
estimates,904,1955,51.035,male
estimates,904,1955,54.5,female
estimates,904,1956,51.595,male
estimates,904,1956,55.105,female
estimates,904,1957,52.139,male
estimates,904,1957,55.707,female
estimates,904,1958,52.666,male
estimates,904,1958,56.302,female
estimates,904,1959,53.174,male
estimates,904,1959,56.889,female
estimates,904,1960,53.662,male
estimates,904,1960,57.464,female
estimates,904,1961,54.128,male
estimates,904,1961,58.024,female
estimates,904,1962,54.572,male
estimates,904,1962,58.567,female
estimates,904,1963,54.994,male
estimates,904,1963,59.092,female
estimates,904,1964,55.399,male
estimates,904,1964,59.601,female
estimates,904,1965,55.789,male
estimates,904,1965,60.099,female
estimates,904,1966,56.172,male
estimates,904,1966,60.593,female
estimates,904,1967,56.551,male
estimates,904,1967,61.088,female
estimates,904,1968,56.93,male
estimates,904,1968,61.589,female
estimates,904,1969,57.31,male
estimates,904,1969,62.094,female
estimates,904,1970,57.689,male
estimates,904,1970,62.6,female
estimates,904,1971,58.062,male
estimates,904,1971,63.1,female
estimates,904,1972,58.427,male
estimates,904,1972,63.586,female
estimates,904,1973,58.778,male
estimates,904,1973,64.054,female
estimates,904,1974,59.117,male
estimates,904,1974,64.504,female
estimates,904,1975,59.445,male
estimates,904,1975,64.938,female
estimates,904,1976,59.764,male
estimates,904,1976,65.361,female
estimates,904,1977,60.077,male
estimates,904,1977,65.778,female
estimates,904,1978,60.39,male
estimates,904,1978,66.196,female
estimates,904,1979,60.703,male
estimates,904,1979,66.615,female
estimates,904,1980,61.019,male
estimates,904,1980,67.036,female
estimates,904,1981,61.337,male
estimates,904,1981,67.455,female
estimates,904,1982,61.657,male
estimates,904,1982,67.868,female
estimates,904,1983,61.978,male
estimates,904,1983,68.274,female
estimates,904,1984,62.299,male
estimates,904,1984,68.672,female
estimates,904,1985,62.621,male
estimates,904,1985,69.062,female
estimates,904,1986,62.941,male
estimates,904,1986,69.445,female
estimates,904,1987,63.259,male
estimates,904,1987,69.823,female
estimates,904,1988,63.576,male
estimates,904,1988,70.198,female
estimates,904,1989,63.895,male
estimates,904,1989,70.572,female
estimates,904,1990,64.221,male
estimates,904,1990,70.949,female
estimates,904,1991,64.562,male
estimates,904,1991,71.33,female
estimates,904,1992,64.922,male
estimates,904,1992,71.717,female
estimates,904,1993,65.3,male
estimates,904,1993,72.107,female
estimates,904,1994,65.695,male
estimates,904,1994,72.5,female
estimates,904,1995,66.1,male
estimates,904,1995,72.894,female
estimates,904,1996,66.51,male
estimates,904,1996,73.288,female
estimates,904,1997,66.914,male
estimates,904,1997,73.676,female
estimates,904,1998,67.306,male
estimates,904,1998,74.056,female
estimates,904,1999,67.679,male
estimates,904,1999,74.424,female
estimates,904,2000,68.029,male
estimates,904,2000,74.776,female
estimates,904,2001,68.354,male
estimates,904,2001,75.107,female
estimates,904,2002,68.658,male
estimates,904,2002,75.417,female
estimates,904,2003,68.943,male
estimates,904,2003,75.708,female
estimates,904,2004,69.212,male
estimates,904,2004,75.979,female
estimates,904,2005,69.467,male
estimates,904,2005,76.234,female
estimates,904,2006,69.71,male
estimates,904,2006,76.475,female
estimates,904,2007,69.946,male
estimates,904,2007,76.706,female
estimates,904,2008,70.177,male
estimates,904,2008,76.932,female
estimates,904,2009,70.407,male
estimates,904,2009,77.155,female
estimates,904,2010,70.639,male
estimates,904,2010,77.377,female
estimates,904,2011,70.874,male
estimates,904,2011,77.598,female
estimates,904,2012,71.113,male
estimates,904,2012,77.818,female
estimates,904,2013,71.356,male
estimates,904,2013,78.034,female
estimates,904,2014,71.602,male
estimates,904,2014,78.248,female
estimates,904,2015,71.851,male
estimates,904,2015,78.459,female
medium_variant,904,2015,71.851,male
medium_variant,904,2015,78.459,female
medium_variant,904,2016,72.102,male
medium_variant,904,2016,78.668,female
medium_variant,904,2017,72.354,male
medium_variant,904,2017,78.874,female
medium_variant,904,2018,72.604,male
medium_variant,904,2018,79.077,female
medium_variant,904,2019,72.853,male
medium_variant,904,2019,79.278,female
medium_variant,904,2020,73.099,male
medium_variant,904,2020,79.475,female
