variant,continent,year,lifeexpectancyatbirth,gender
estimates,909,1950,58.039,male
estimates,909,1951,58.292,male
estimates,909,1952,58.776,male
estimates,909,1953,59.219,male
estimates,909,1954,59.621,male
estimates,909,1955,59.982,male
estimates,909,1956,60.302,male
estimates,909,1957,60.583,male
estimates,909,1958,60.827,male
estimates,909,1959,61.037,male
estimates,909,1960,61.219,male
estimates,909,1961,61.377,male
estimates,909,1962,61.521,male
estimates,909,1963,61.66,male
estimates,909,1964,61.802,male
estimates,909,1965,61.956,male
estimates,909,1966,62.128,male
estimates,909,1967,62.321,male
estimates,909,1968,62.536,male
estimates,909,1969,62.775,male
estimates,909,1970,63.038,male
estimates,909,1971,63.326,male
estimates,909,1972,63.633,male
estimates,909,1973,63.955,male
estimates,909,1974,64.288,male
estimates,909,1975,64.629,male
estimates,909,1976,64.977,male
estimates,909,1977,65.33,male
estimates,909,1978,65.685,male
estimates,909,1979,66.035,male
estimates,909,1980,66.372,male
estimates,909,1981,66.689,male
estimates,909,1982,66.981,male
estimates,909,1983,67.251,male
estimates,909,1984,67.502,male
estimates,909,1985,67.745,male
estimates,909,1986,67.993,male
estimates,909,1987,68.258,male
estimates,909,1988,68.546,male
estimates,909,1989,68.858,male
estimates,909,1990,69.187,male
estimates,909,1991,69.522,male
estimates,909,1992,69.85,male
estimates,909,1993,70.162,male
estimates,909,1994,70.456,male
estimates,909,1995,70.738,male
estimates,909,1996,71.016,male
estimates,909,1997,71.3,male
estimates,909,1998,71.599,male
estimates,909,1999,71.914,male
estimates,909,2000,72.245,male
estimates,909,2001,72.587,male
estimates,909,2002,72.933,male
estimates,909,2003,73.276,male
estimates,909,2004,73.609,male
estimates,909,2005,73.926,male
estimates,909,2006,74.224,male
estimates,909,2007,74.501,male
estimates,909,2008,74.759,male
estimates,909,2009,74.997,male
estimates,909,2010,75.218,male
estimates,909,2011,75.425,male
estimates,909,2012,75.624,male
estimates,909,2013,75.818,male
estimates,909,2014,76.01,male
estimates,909,2015,76.201,male
medium_variant,909,2015,76.201,male
medium_variant,909,2016,76.391,male
medium_variant,909,2017,76.58,male
medium_variant,909,2018,76.764,male
medium_variant,909,2019,76.944,male
medium_variant,909,2020,77.118,male
medium_variant,909,2021,77.285,male
medium_variant,909,2022,77.443,male
medium_variant,909,2023,77.592,male
medium_variant,909,2024,77.733,male
medium_variant,909,2025,77.866,male
medium_variant,909,2026,77.993,male
medium_variant,909,2027,78.114,male
medium_variant,909,2028,78.232,male
medium_variant,909,2029,78.348,male
medium_variant,909,2030,78.461,male
medium_variant,909,2031,78.572,male
medium_variant,909,2032,78.68,male
medium_variant,909,2033,78.786,male
medium_variant,909,2034,78.89,male
medium_variant,909,2035,78.992,male
medium_variant,909,2036,79.094,male
medium_variant,909,2037,79.196,male
medium_variant,909,2038,79.298,male
medium_variant,909,2039,79.4,male
medium_variant,909,2040,79.503,male
medium_variant,909,2041,79.605,male
medium_variant,909,2042,79.706,male
medium_variant,909,2043,79.806,male
medium_variant,909,2044,79.904,male
medium_variant,909,2045,80,male
medium_variant,909,2046,80.094,male
medium_variant,909,2047,80.186,male
medium_variant,909,2048,80.277,male
medium_variant,909,2049,80.368,male
medium_variant,909,2050,80.458,male
medium_variant,909,2051,80.547,male
medium_variant,909,2052,80.638,male
medium_variant,909,2053,80.728,male
medium_variant,909,2054,80.819,male
medium_variant,909,2055,80.911,male
medium_variant,909,2056,81.002,male
medium_variant,909,2057,81.094,male
medium_variant,909,2058,81.184,male
medium_variant,909,2059,81.275,male
medium_variant,909,2060,81.364,male
medium_variant,909,2061,81.454,male
medium_variant,909,2062,81.544,male
medium_variant,909,2063,81.634,male
medium_variant,909,2064,81.725,male
medium_variant,909,2065,81.816,male
medium_variant,909,2066,81.908,male
medium_variant,909,2067,82,male
medium_variant,909,2068,82.093,male
medium_variant,909,2069,82.186,male
medium_variant,909,2070,82.279,male
medium_variant,909,2071,82.373,male
medium_variant,909,2072,82.468,male
medium_variant,909,2073,82.563,male
medium_variant,909,2074,82.659,male
medium_variant,909,2075,82.756,male
medium_variant,909,2076,82.855,male
medium_variant,909,2077,82.955,male
medium_variant,909,2078,83.057,male
