variant,continent,year,lifeexpectancyatbirth
estimates,903,1950,36.318
estimates,903,1951,36.577
estimates,903,1952,37.093
estimates,903,1953,37.606
estimates,903,1954,38.115
estimates,903,1955,38.621
estimates,903,1956,39.123
estimates,903,1957,39.62
estimates,903,1958,40.112
estimates,903,1959,40.597
estimates,903,1960,41.074
estimates,903,1961,41.54
estimates,903,1962,41.995
estimates,903,1963,42.437
estimates,903,1964,42.869
estimates,903,1965,43.291
estimates,903,1966,43.706
estimates,903,1967,44.117
estimates,903,1968,44.527
estimates,903,1969,44.94
estimates,903,1970,45.357
estimates,903,1971,45.781
estimates,903,1972,46.212
estimates,903,1973,46.648
estimates,903,1974,47.087
estimates,903,1975,47.526
estimates,903,1976,47.965
estimates,903,1977,48.398
estimates,903,1978,48.821
estimates,903,1979,49.23
estimates,903,1980,49.623
estimates,903,1981,50.001
estimates,903,1982,50.361
estimates,903,1983,50.701
estimates,903,1984,51.013
estimates,903,1985,51.285
estimates,903,1986,51.502
estimates,903,1987,51.659
estimates,903,1988,51.759
estimates,903,1989,51.807
estimates,903,1990,51.818
estimates,903,1991,51.809
estimates,903,1992,51.798
estimates,903,1993,51.805
estimates,903,1994,51.84
estimates,903,1995,51.905
estimates,903,1996,51.994
estimates,903,1997,52.099
estimates,903,1998,52.219
estimates,903,1999,52.365
estimates,903,2000,52.557
estimates,903,2001,52.821
estimates,903,2002,53.169
estimates,903,2003,53.608
estimates,903,2004,54.133
estimates,903,2005,54.734
estimates,903,2006,55.396
estimates,903,2007,56.09
estimates,903,2008,56.789
estimates,903,2009,57.47
estimates,903,2010,58.114
estimates,903,2011,58.707
estimates,903,2012,59.248
estimates,903,2013,59.74
estimates,903,2014,60.182
estimates,903,2015,60.577
medium_variant,903,2015,60.577
medium_variant,903,2016,60.932
medium_variant,903,2017,61.259
medium_variant,903,2018,61.572
medium_variant,903,2019,61.877
medium_variant,903,2020,62.181
medium_variant,903,2021,62.486
medium_variant,903,2022,62.791
medium_variant,903,2023,63.095
medium_variant,903,2024,63.4
medium_variant,903,2025,63.706
medium_variant,903,2026,64.015
medium_variant,903,2027,64.323
medium_variant,903,2028,64.63
medium_variant,903,2029,64.936
medium_variant,903,2030,65.239
medium_variant,903,2031,65.54
medium_variant,903,2032,65.839
medium_variant,903,2033,66.134
medium_variant,903,2034,66.426
medium_variant,903,2035,66.714
medium_variant,903,2036,66.997
medium_variant,903,2037,67.275
medium_variant,903,2038,67.549
medium_variant,903,2039,67.817
medium_variant,903,2040,68.081
medium_variant,903,2041,68.339
medium_variant,903,2042,68.594
medium_variant,903,2043,68.844
medium_variant,903,2044,69.09
medium_variant,903,2045,69.332
medium_variant,903,2046,69.57
medium_variant,903,2047,69.804
medium_variant,903,2048,70.035
medium_variant,903,2049,70.261
medium_variant,903,2050,70.483
medium_variant,903,2051,70.702
medium_variant,903,2052,70.916
medium_variant,903,2053,71.126
medium_variant,903,2054,71.332
medium_variant,903,2055,71.535
medium_variant,903,2056,71.733
medium_variant,903,2057,71.928
medium_variant,903,2058,72.119
medium_variant,903,2059,72.306
medium_variant,903,2060,72.491
medium_variant,903,2061,72.674
medium_variant,903,2062,72.854
medium_variant,903,2063,73.031
medium_variant,903,2064,73.207
medium_variant,903,2065,73.381
medium_variant,903,2066,73.552
medium_variant,903,2067,73.721
medium_variant,903,2068,73.887
medium_variant,903,2069,74.05
medium_variant,903,2070,74.211
medium_variant,903,2071,74.368
medium_variant,903,2072,74.524
medium_variant,903,2073,74.677
medium_variant,903,2074,74.828
medium_variant,903,2075,74.978
medium_variant,903,2076,75.126
medium_variant,903,2077,75.272
medium_variant,903,2078,75.417
medium_variant,903,2079,75.56
medium_variant,903,2080,75.702
medium_variant,903,2081,75.844
medium_variant,903,2082,75.984
medium_variant,903,2083,76.125
medium_variant,903,2084,76.264
medium_variant,903,2085,76.403
medium_variant,903,2086,76.541
medium_variant,903,2087,76.678
medium_variant,903,2088,76.814
medium_variant,903,2089,76.948
medium_variant,903,2090,77.081
medium_variant,903,2091,77.214
medium_variant,903,2092,77.346
medium_variant,903,2093,77.478
medium_variant,903,2094,77.609
medium_variant,903,2095,77.741
medium_variant,903,2096,77.873
medium_variant,903,2097,78.005
medium_variant,903,2098,78.137
medium_variant,903,2099,78.269
