country,variant,gender,freq,year,lifeexpectancyatbirth
348,estimates,female,5yearly,1950,66.1
348,estimates,male,5yearly,1950,61.87
348,estimates,female,5yearly,1955,69.08
348,estimates,male,5yearly,1955,64.68
348,estimates,female,5yearly,1960,71.03
348,estimates,male,5yearly,1960,66.46
348,estimates,female,5yearly,1965,72.01
348,estimates,male,5yearly,1965,66.82
348,estimates,female,5yearly,1970,72.35
348,estimates,male,5yearly,1970,66.44
348,estimates,female,5yearly,1975,72.86
348,estimates,male,5yearly,1975,66.34
348,estimates,female,5yearly,1980,73.02
348,estimates,male,5yearly,1980,65.28
348,estimates,female,5yearly,1985,73.58
348,estimates,male,5yearly,1985,65.4
348,estimates,female,5yearly,1990,74.12
348,estimates,male,5yearly,1990,64.94
348,estimates,female,5yearly,1995,75.37
348,estimates,male,5yearly,1995,66.49
348,estimates,female,5yearly,2000,76.72
348,estimates,male,5yearly,2000,68.3
348,estimates,female,5yearly,2005,77.79
348,estimates,male,5yearly,2005,69.58
348,estimates,female,5yearly,2010,78.85
348,estimates,male,5yearly,2010,71.71
348,medium_variant,female,5yearly,2015,79.48
348,medium_variant,male,5yearly,2015,72.49
348,medium_variant,female,5yearly,2020,80.1
348,medium_variant,male,5yearly,2020,73.28
348,medium_variant,female,5yearly,2025,80.7
348,medium_variant,male,5yearly,2025,74.12
348,medium_variant,female,5yearly,2030,81.3
348,medium_variant,male,5yearly,2030,74.97
348,medium_variant,female,5yearly,2035,81.89
348,medium_variant,male,5yearly,2035,75.83
348,medium_variant,female,5yearly,2040,82.46
348,medium_variant,male,5yearly,2040,76.73
348,medium_variant,female,5yearly,2045,83.04
348,medium_variant,male,5yearly,2045,77.67
348,medium_variant,female,5yearly,2050,83.62
348,medium_variant,male,5yearly,2050,78.6
348,medium_variant,female,5yearly,2055,84.17
348,medium_variant,male,5yearly,2055,79.53
348,medium_variant,female,5yearly,2060,84.73
348,medium_variant,male,5yearly,2060,80.46
348,medium_variant,female,5yearly,2065,85.25
348,medium_variant,male,5yearly,2065,81.3
348,medium_variant,female,5yearly,2070,85.79
348,medium_variant,male,5yearly,2070,82.08
348,medium_variant,female,5yearly,2075,86.33
348,medium_variant,male,5yearly,2075,82.77
348,medium_variant,female,5yearly,2080,86.86
348,medium_variant,male,5yearly,2080,83.38
348,medium_variant,female,5yearly,2085,87.38
348,medium_variant,male,5yearly,2085,83.96
348,medium_variant,female,5yearly,2090,87.93
348,medium_variant,male,5yearly,2090,84.52
348,medium_variant,female,5yearly,2095,88.46
348,medium_variant,male,5yearly,2095,85.06
348,estimates,female,5yearly,Regi,Hungary
348,estimates,male,5yearly,Regi,Hungary
348,medium_variant,female,5yearly,Regi,Hungary
348,medium_variant,male,5yearly,Regi,Hungary
