country,variant,freq,year,lifeexpectancyatbirth
608,estimates,5Yearly,1950,55.43
608,estimates,5Yearly,1955,57.084
608,estimates,5Yearly,1960,58.619
608,estimates,5Yearly,1965,60.078
608,estimates,5Yearly,1970,61.408
608,estimates,5Yearly,1975,61.664
608,estimates,5Yearly,1980,62.874
608,estimates,5Yearly,1985,64.697
608,estimates,5Yearly,1990,65.702
608,estimates,5Yearly,1995,66.355
608,estimates,5Yearly,2000,66.957
608,estimates,5Yearly,2005,67.516
608,estimates,5Yearly,2010,67.988
608,medium variant,5Yearly,2015,68.722
608,medium variant,5Yearly,2020,69.39
608,medium variant,5Yearly,2025,70.086
608,medium variant,5Yearly,2030,70.764
608,medium variant,5Yearly,2035,71.402
608,medium variant,5Yearly,2040,72.032
608,medium variant,5Yearly,2045,72.724
608,medium variant,5Yearly,2050,73.362
608,medium variant,5Yearly,2055,74.061
608,medium variant,5Yearly,2060,74.713
608,medium variant,5Yearly,2065,75.428
608,medium variant,5Yearly,2070,76.171
608,medium variant,5Yearly,2075,76.873
608,medium variant,5Yearly,2080,77.612
608,medium variant,5Yearly,2085,78.347
608,medium variant,5Yearly,2090,79.118
608,medium variant,5Yearly,2095,79.838
