country,variant,freq,year,lifeexpectancyatbirth
643,estimates,5Yearly,1950,58.518
643,estimates,5Yearly,1955,64.797
643,estimates,5Yearly,1960,67.884
643,estimates,5Yearly,1965,68.474
643,estimates,5Yearly,1970,68.309
643,estimates,5Yearly,1975,67.568
643,estimates,5Yearly,1980,67.466
643,estimates,5Yearly,1985,69.132
643,estimates,5Yearly,1990,66.582
643,estimates,5Yearly,1995,65.702
643,estimates,5Yearly,2000,64.948
643,estimates,5Yearly,2005,67.142
643,estimates,5Yearly,2010,69.827
643,medium variant,5Yearly,2015,70.384
643,medium variant,5Yearly,2020,70.986
643,medium variant,5Yearly,2025,71.57
643,medium variant,5Yearly,2030,72.14
643,medium variant,5Yearly,2035,72.74
643,medium variant,5Yearly,2040,73.345
643,medium variant,5Yearly,2045,73.917
643,medium variant,5Yearly,2050,74.551
643,medium variant,5Yearly,2055,75.178
643,medium variant,5Yearly,2060,75.819
643,medium variant,5Yearly,2065,76.441
643,medium variant,5Yearly,2070,77.047
643,medium variant,5Yearly,2075,77.652
643,medium variant,5Yearly,2080,78.326
643,medium variant,5Yearly,2085,78.965
643,medium variant,5Yearly,2090,79.628
643,medium variant,5Yearly,2095,80.307
