variant,country,year,lifeexpectancyatbirth,gender
estimates,226,1950,32.442,male
estimates,226,1951,32.588,male
estimates,226,1952,32.882,male
estimates,226,1953,33.177,male
estimates,226,1954,33.472,male
estimates,226,1955,33.768,male
estimates,226,1956,34.065,male
estimates,226,1957,34.362,male
estimates,226,1958,34.659,male
estimates,226,1959,34.957,male
estimates,226,1960,35.255,male
estimates,226,1961,35.552,male
estimates,226,1962,35.849,male
estimates,226,1963,36.145,male
estimates,226,1964,36.441,male
estimates,226,1965,36.737,male
estimates,226,1966,37.034,male
estimates,226,1967,37.334,male
estimates,226,1968,37.635,male
estimates,226,1969,37.939,male
estimates,226,1970,38.237,male
estimates,226,1971,38.522,male
estimates,226,1972,38.792,male
estimates,226,1973,39.054,male
estimates,226,1974,39.321,male
estimates,226,1975,39.619,male
estimates,226,1976,39.982,male
estimates,226,1977,40.427,male
estimates,226,1978,40.958,male
estimates,226,1979,41.562,male
estimates,226,1980,42.212,male
estimates,226,1981,42.865,male
estimates,226,1982,43.481,male
estimates,226,1983,44.03,male
estimates,226,1984,44.504,male
estimates,226,1985,44.905,male
estimates,226,1986,45.252,male
estimates,226,1987,45.579,male
estimates,226,1988,45.915,male
estimates,226,1989,46.273,male
estimates,226,1990,46.666,male
estimates,226,1991,47.097,male
estimates,226,1992,47.557,male
estimates,226,1993,48.038,male
estimates,226,1994,48.533,male
estimates,226,1995,49.035,male
estimates,226,1996,49.538,male
estimates,226,1997,50.032,male
estimates,226,1998,50.509,male
estimates,226,1999,50.965,male
estimates,226,2000,51.39,male
estimates,226,2001,51.78,male
estimates,226,2002,52.139,male
estimates,226,2003,52.472,male
estimates,226,2004,52.783,male
estimates,226,2005,53.082,male
estimates,226,2006,53.379,male
estimates,226,2007,53.682,male
estimates,226,2008,53.997,male
estimates,226,2009,54.324,male
estimates,226,2010,54.657,male
estimates,226,2011,54.987,male
estimates,226,2012,55.302,male
estimates,226,2013,55.598,male
estimates,226,2014,55.877,male
estimates,226,2015,56.144,male
medium_variant,226,2015,56.144,male
medium_variant,226,2016,56.409,male
medium_variant,226,2017,56.684,male
medium_variant,226,2018,56.979,male
medium_variant,226,2019,57.299,male
medium_variant,226,2020,57.648,male
medium_variant,226,2021,58.028,male
medium_variant,226,2022,58.432,male
medium_variant,226,2023,58.855,male
medium_variant,226,2024,59.292,male
medium_variant,226,2025,59.74,male
medium_variant,226,2026,60.195,male
medium_variant,226,2027,60.652,male
medium_variant,226,2028,61.107,male
medium_variant,226,2029,61.556,male
medium_variant,226,2030,61.995,male
medium_variant,226,2031,62.421,male
medium_variant,226,2032,62.835,male
medium_variant,226,2033,63.238,male
medium_variant,226,2034,63.628,male
medium_variant,226,2035,64.005,male
medium_variant,226,2036,64.37,male
medium_variant,226,2037,64.724,male
medium_variant,226,2038,65.069,male
medium_variant,226,2039,65.406,male
medium_variant,226,2040,65.737,male
medium_variant,226,2041,66.062,male
medium_variant,226,2042,66.381,male
medium_variant,226,2043,66.696,male
medium_variant,226,2044,67.006,male
medium_variant,226,2045,67.311,male
medium_variant,226,2046,67.613,male
medium_variant,226,2047,67.911,male
medium_variant,226,2048,68.203,male
medium_variant,226,2049,68.49,male
medium_variant,226,2050,68.769,male
medium_variant,226,2051,69.04,male
medium_variant,226,2052,69.301,male
medium_variant,226,2053,69.553,male
medium_variant,226,2054,69.796,male
medium_variant,226,2055,70.03,male
medium_variant,226,2056,70.256,male
medium_variant,226,2057,70.476,male
medium_variant,226,2058,70.691,male
medium_variant,226,2059,70.904,male
medium_variant,226,2060,71.115,male
medium_variant,226,2061,71.327,male
medium_variant,226,2062,71.539,male
medium_variant,226,2063,71.752,male
medium_variant,226,2064,71.967,male
medium_variant,226,2065,72.183,male
medium_variant,226,2066,72.402,male
medium_variant,226,2067,72.622,male
medium_variant,226,2068,72.842,male
medium_variant,226,2069,73.062,male
medium_variant,226,2070,73.282,male
medium_variant,226,2071,73.5,male
medium_variant,226,2072,73.716,male
medium_variant,226,2073,73.93,male
medium_variant,226,2074,74.14,male
medium_variant,226,2075,74.344,male
medium_variant,226,2076,74.542,male
medium_variant,226,2077,74.733,male
medium_variant,226,2078,74.917,male
medium_variant,226,2079,75.094,male
medium_variant,226,2080,75.266,male
medium_variant,226,2081,75.432,male
medium_variant,226,2082,75.595,male
medium_variant,226,2083,75.757,male
