variant,country,year,totaldeaths,gender
Estimates,860,1950,51.569,male
Estimates,860,1950,58.629,female
Estimates,860,1951,51.778,male
Estimates,860,1951,58.832,female
Estimates,860,1952,52.195,male
Estimates,860,1952,59.238,female
Estimates,860,1953,52.609,male
Estimates,860,1953,59.643,female
Estimates,860,1954,53.021,male
Estimates,860,1954,60.047,female
Estimates,860,1955,53.431,male
Estimates,860,1955,60.451,female
Estimates,860,1956,53.839,male
Estimates,860,1956,60.854,female
Estimates,860,1957,54.246,male
Estimates,860,1957,61.258,female
Estimates,860,1958,54.652,male
Estimates,860,1958,61.661,female
Estimates,860,1959,55.058,male
Estimates,860,1959,62.067,female
Estimates,860,1960,55.467,male
Estimates,860,1960,62.475,female
Estimates,860,1961,55.879,male
Estimates,860,1961,62.887,female
Estimates,860,1962,56.294,male
Estimates,860,1962,63.303,female
Estimates,860,1963,56.711,male
Estimates,860,1963,63.72,female
Estimates,860,1964,57.128,male
Estimates,860,1964,64.136,female
Estimates,860,1965,57.539,male
Estimates,860,1965,64.546,female
Estimates,860,1966,57.941,male
Estimates,860,1966,64.945,female
Estimates,860,1967,58.329,male
Estimates,860,1967,65.33,female
Estimates,860,1968,58.698,male
Estimates,860,1968,65.695,female
Estimates,860,1969,59.045,male
Estimates,860,1969,66.038,female
Estimates,860,1970,59.365,male
Estimates,860,1970,66.354,female
Estimates,860,1971,59.654,male
Estimates,860,1971,66.64,female
Estimates,860,1972,59.914,male
Estimates,860,1972,66.897,female
Estimates,860,1973,60.151,male
Estimates,860,1973,67.131,female
Estimates,860,1974,60.37,male
Estimates,860,1974,67.35,female
Estimates,860,1975,60.583,male
Estimates,860,1975,67.563,female
Estimates,860,1976,60.8,male
Estimates,860,1976,67.786,female
Estimates,860,1977,61.03,male
Estimates,860,1977,68.026,female
Estimates,860,1978,61.279,male
Estimates,860,1978,68.288,female
Estimates,860,1979,61.55,male
Estimates,860,1979,68.569,female
Estimates,860,1980,61.848,male
Estimates,860,1980,68.868,female
Estimates,860,1981,62.177,male
Estimates,860,1981,69.179,female
