variant,country,year,lifeexpectancyatbirth
estimates,258,1950,45.598
estimates,258,1951,46.522
estimates,258,1952,48.281
estimates,258,1953,49.863
estimates,258,1954,51.267
estimates,258,1955,52.495
estimates,258,1956,53.55
estimates,258,1957,54.439
estimates,258,1958,55.176
estimates,258,1959,55.782
estimates,258,1960,56.282
estimates,258,1961,56.708
estimates,258,1962,57.093
estimates,258,1963,57.465
estimates,258,1964,57.845
estimates,258,1965,58.242
estimates,258,1966,58.654
estimates,258,1967,59.061
estimates,258,1968,59.452
estimates,258,1969,59.828
estimates,258,1970,60.184
estimates,258,1971,60.518
estimates,258,1972,60.836
estimates,258,1973,61.147
estimates,258,1974,61.465
estimates,258,1975,61.816
estimates,258,1976,62.23
estimates,258,1977,62.717
estimates,258,1978,63.278
estimates,258,1979,63.902
estimates,258,1980,64.562
estimates,258,1981,65.22
estimates,258,1982,65.84
estimates,258,1983,66.394
estimates,258,1984,66.871
estimates,258,1985,67.267
estimates,258,1986,67.594
estimates,258,1987,67.879
estimates,258,1988,68.149
estimates,258,1989,68.418
estimates,258,1990,68.7
estimates,258,1991,69.005
estimates,258,1992,69.332
estimates,258,1993,69.68
estimates,258,1994,70.047
estimates,258,1995,70.43
estimates,258,1996,70.821
estimates,258,1997,71.209
estimates,258,1998,71.587
estimates,258,1999,71.955
estimates,258,2000,72.313
estimates,258,2001,72.669
estimates,258,2002,73.029
estimates,258,2003,73.396
estimates,258,2004,73.766
estimates,258,2005,74.132
estimates,258,2006,74.486
estimates,258,2007,74.818
estimates,258,2008,75.123
estimates,258,2009,75.397
estimates,258,2010,75.643
estimates,258,2011,75.862
estimates,258,2012,76.065
estimates,258,2013,76.257
estimates,258,2014,76.444
estimates,258,2015,76.628
medium_variant,258,2015,76.628
medium_variant,258,2016,76.813
medium_variant,258,2017,76.996
medium_variant,258,2018,77.178
medium_variant,258,2019,77.36
medium_variant,258,2020,77.542
medium_variant,258,2021,77.725
medium_variant,258,2022,77.907
medium_variant,258,2023,78.087
medium_variant,258,2024,78.267
medium_variant,258,2025,78.445
medium_variant,258,2026,78.622
medium_variant,258,2027,78.799
medium_variant,258,2028,78.976
medium_variant,258,2029,79.153
medium_variant,258,2030,79.33
medium_variant,258,2031,79.507
medium_variant,258,2032,79.684
medium_variant,258,2033,79.861
medium_variant,258,2034,80.037
medium_variant,258,2035,80.213
medium_variant,258,2036,80.389
medium_variant,258,2037,80.564
medium_variant,258,2038,80.738
medium_variant,258,2039,80.912
medium_variant,258,2040,81.086
medium_variant,258,2041,81.259
medium_variant,258,2042,81.433
medium_variant,258,2043,81.606
medium_variant,258,2044,81.779
medium_variant,258,2045,81.951
medium_variant,258,2046,82.123
medium_variant,258,2047,82.294
medium_variant,258,2048,82.464
medium_variant,258,2049,82.634
medium_variant,258,2050,82.801
medium_variant,258,2051,82.968
medium_variant,258,2052,83.134
medium_variant,258,2053,83.298
medium_variant,258,2054,83.461
medium_variant,258,2055,83.622
medium_variant,258,2056,83.781
medium_variant,258,2057,83.938
medium_variant,258,2058,84.093
medium_variant,258,2059,84.245
medium_variant,258,2060,84.394
medium_variant,258,2061,84.539
medium_variant,258,2062,84.682
medium_variant,258,2063,84.821
medium_variant,258,2064,84.957
medium_variant,258,2065,85.09
medium_variant,258,2066,85.22
medium_variant,258,2067,85.348
medium_variant,258,2068,85.475
medium_variant,258,2069,85.6
medium_variant,258,2070,85.724
medium_variant,258,2071,85.847
medium_variant,258,2072,85.969
medium_variant,258,2073,86.091
medium_variant,258,2074,86.212
medium_variant,258,2075,86.333
medium_variant,258,2076,86.453
medium_variant,258,2077,86.572
medium_variant,258,2078,86.69
medium_variant,258,2079,86.808
medium_variant,258,2080,86.925
medium_variant,258,2081,87.041
medium_variant,258,2082,87.158
medium_variant,258,2083,87.275
medium_variant,258,2084,87.393
medium_variant,258,2085,87.51
medium_variant,258,2086,87.628
medium_variant,258,2087,87.745
medium_variant,258,2088,87.862
medium_variant,258,2089,87.979
medium_variant,258,2090,88.095
medium_variant,258,2091,88.211
medium_variant,258,2092,88.327
medium_variant,258,2093,88.443
medium_variant,258,2094,88.559
medium_variant,258,2095,88.676
medium_variant,258,2096,88.793
medium_variant,258,2097,88.911
medium_variant,258,2098,89.03
medium_variant,258,2099,89.149
