global,variant,gender,freq,year,lifeexpectancyatbirth
900,estimates,female,5yearly,1950,48.5002025994554
900,estimates,male,5yearly,1950,45.5119605785828
900,estimates,female,5yearly,1955,50.9889219319042
900,estimates,male,5yearly,1955,47.7442162772016
900,estimates,female,5yearly,1960,52.847310475868
900,estimates,male,5yearly,1960,49.5286130713459
900,estimates,female,5yearly,1965,57.4078489214407
900,estimates,male,5yearly,1965,53.5707462774476
900,estimates,female,5yearly,1970,60.0836334806926
900,estimates,male,5yearly,1970,56.2100014451763
900,estimates,female,5yearly,1975,62.4135446096473
900,estimates,male,5yearly,1975,58.2203344194524
900,estimates,female,5yearly,1980,64.3585913817709
900,estimates,male,5yearly,1980,59.8322990277657
900,estimates,female,5yearly,1985,65.8992408844777
900,estimates,male,5yearly,1985,61.4963313576029
900,estimates,female,5yearly,1990,66.9564934826019
900,estimates,male,5yearly,1990,62.3003475953444
900,estimates,female,5yearly,1995,68.0362936119072
900,estimates,male,5yearly,1995,63.3921308208428
900,estimates,female,5yearly,2000,69.4501910091524
900,estimates,male,5yearly,2000,65.0187134199875
900,estimates,female,5yearly,2005,71.3234339236009
900,estimates,male,5yearly,2005,66.876290244347
900,estimates,female,5yearly,2010,73.1123988816179
900,estimates,male,5yearly,2010,68.5544380643071
900,medium_variant,female,5yearly,2015,74.2915198538164
900,medium_variant,male,5yearly,2015,69.6904236481348
900,medium_variant,female,5yearly,2020,75.2922321988679
900,medium_variant,male,5yearly,2020,70.6746658096846
900,medium_variant,female,5yearly,2025,76.2119076760379
900,medium_variant,male,5yearly,2025,71.5721841131143
900,medium_variant,female,5yearly,2030,77.0708059219382
900,medium_variant,male,5yearly,2030,72.4138223679486
900,medium_variant,female,5yearly,2035,77.8514931432097
900,medium_variant,male,5yearly,2035,73.2070897604332
900,medium_variant,female,5yearly,2040,78.5843381470622
900,medium_variant,male,5yearly,2040,73.9710961277549
900,medium_variant,female,5yearly,2045,79.2698424543937
900,medium_variant,male,5yearly,2045,74.7037705321369
900,medium_variant,female,5yearly,2050,79.9169041714912
900,medium_variant,male,5yearly,2050,75.4168501841132
900,medium_variant,female,5yearly,2055,80.5201685057578
900,medium_variant,male,5yearly,2055,76.0828989947633
900,medium_variant,female,5yearly,2060,81.085079177913
900,medium_variant,male,5yearly,2060,76.7189464894119
900,medium_variant,female,5yearly,2065,81.6290922328538
900,medium_variant,male,5yearly,2065,77.3237370760137
900,medium_variant,female,5yearly,2070,82.1428643424753
900,medium_variant,male,5yearly,2070,77.906366988429
900,medium_variant,female,5yearly,2075,82.6493807824553
900,medium_variant,male,5yearly,2075,78.4656343729821
900,medium_variant,female,5yearly,2080,83.1530365131678
900,medium_variant,male,5yearly,2080,79.0078155274309
900,medium_variant,female,5yearly,2085,83.6435145692903
900,medium_variant,male,5yearly,2085,79.5564108732987
900,medium_variant,female,5yearly,2090,84.1233104744355
900,medium_variant,male,5yearly,2090,80.1055346916302
900,medium_variant,female,5yearly,2095,84.6027432934472
900,medium_variant,male,5yearly,2095,80.6704203599429
