variant,global,year,lifeexpectancyatbirth
estimates,900,1950,45.78
estimates,900,1951,46.108
estimates,900,1952,46.734
estimates,900,1953,47.304
estimates,900,1954,47.816
estimates,900,1955,48.273
estimates,900,1956,48.68
estimates,900,1957,49.047
estimates,900,1958,49.387
estimates,900,1959,49.73
estimates,900,1960,50.107
estimates,900,1961,50.547
estimates,900,1962,51.08
estimates,900,1963,51.717
estimates,900,1964,52.453
estimates,900,1965,53.261
estimates,900,1966,54.1
estimates,900,1967,54.919
estimates,900,1968,55.68
estimates,900,1969,56.364
estimates,900,1970,56.964
estimates,900,1971,57.49
estimates,900,1972,57.969
estimates,900,1973,58.425
estimates,900,1974,58.865
estimates,900,1975,59.294
estimates,900,1976,59.712
estimates,900,1977,60.115
estimates,900,1978,60.501
estimates,900,1979,60.871
estimates,900,1980,61.231
estimates,900,1981,61.585
estimates,900,1982,61.934
estimates,900,1983,62.277
estimates,900,1984,62.614
estimates,900,1985,62.938
estimates,900,1986,63.239
estimates,900,1987,63.513
estimates,900,1988,63.758
estimates,900,1989,63.976
estimates,900,1990,64.171
estimates,900,1991,64.349
estimates,900,1992,64.52
estimates,900,1993,64.695
estimates,900,1994,64.881
estimates,900,1995,65.083
estimates,900,1996,65.305
estimates,900,1997,65.545
estimates,900,1998,65.803
estimates,900,1999,66.079
estimates,900,2000,66.376
estimates,900,2001,66.694
estimates,900,2002,67.03
estimates,900,2003,67.382
estimates,900,2004,67.746
estimates,900,2005,68.119
estimates,900,2006,68.497
estimates,900,2007,68.879
estimates,900,2008,69.258
estimates,900,2009,69.628
estimates,900,2010,69.984
estimates,900,2011,70.319
estimates,900,2012,70.631
estimates,900,2013,70.92
estimates,900,2014,71.185
estimates,900,2015,71.429
medium_variant,900,2015,71.429
medium_variant,900,2016,71.654
medium_variant,900,2017,71.866
medium_variant,900,2018,72.07
medium_variant,900,2019,72.269
medium_variant,900,2020,72.465
medium_variant,900,2021,72.659
medium_variant,900,2022,72.85
medium_variant,900,2023,73.038
medium_variant,900,2024,73.222
medium_variant,900,2025,73.405
medium_variant,900,2026,73.585
medium_variant,900,2027,73.762
medium_variant,900,2028,73.938
medium_variant,900,2029,74.111
medium_variant,900,2030,74.281
medium_variant,900,2031,74.45
medium_variant,900,2032,74.616
medium_variant,900,2033,74.779
medium_variant,900,2034,74.94
medium_variant,900,2035,75.098
medium_variant,900,2036,75.254
medium_variant,900,2037,75.409
medium_variant,900,2038,75.562
medium_variant,900,2039,75.713
medium_variant,900,2040,75.864
medium_variant,900,2041,76.012
medium_variant,900,2042,76.159
medium_variant,900,2043,76.305
medium_variant,900,2044,76.449
medium_variant,900,2045,76.591
medium_variant,900,2046,76.732
medium_variant,900,2047,76.873
medium_variant,900,2048,77.012
medium_variant,900,2049,77.149
medium_variant,900,2050,77.286
medium_variant,900,2051,77.421
medium_variant,900,2052,77.554
medium_variant,900,2053,77.685
medium_variant,900,2054,77.815
medium_variant,900,2055,77.943
medium_variant,900,2056,78.069
medium_variant,900,2057,78.193
medium_variant,900,2058,78.316
medium_variant,900,2059,78.437
medium_variant,900,2060,78.557
medium_variant,900,2061,78.677
medium_variant,900,2062,78.795
medium_variant,900,2063,78.912
medium_variant,900,2064,79.028
medium_variant,900,2065,79.143
medium_variant,900,2066,79.257
medium_variant,900,2067,79.37
medium_variant,900,2068,79.481
medium_variant,900,2069,79.592
medium_variant,900,2070,79.702
medium_variant,900,2071,79.811
medium_variant,900,2072,79.919
medium_variant,900,2073,80.027
medium_variant,900,2074,80.134
medium_variant,900,2075,80.241
medium_variant,900,2076,80.347
medium_variant,900,2077,80.452
medium_variant,900,2078,80.558
medium_variant,900,2079,80.663
medium_variant,900,2080,80.767
medium_variant,900,2081,80.872
medium_variant,900,2082,80.976
medium_variant,900,2083,81.081
medium_variant,900,2084,81.185
medium_variant,900,2085,81.289
medium_variant,900,2086,81.393
medium_variant,900,2087,81.497
medium_variant,900,2088,81.601
medium_variant,900,2089,81.704
medium_variant,900,2090,81.808
medium_variant,900,2091,81.912
medium_variant,900,2092,82.015
medium_variant,900,2093,82.12
medium_variant,900,2094,82.224
medium_variant,900,2095,82.329
medium_variant,900,2096,82.434
medium_variant,900,2097,82.54
medium_variant,900,2098,82.646
medium_variant,900,2099,82.753
