region,variant,gender,freq,year,lifeexpectancyatbirth
916,estimates,female,5yearly,1950,50.8001213840292
916,estimates,male,5yearly,1950,47.4795496406092
916,estimates,female,5yearly,1955,55.0697417636651
916,estimates,male,5yearly,1955,51.5038369676144
916,estimates,female,5yearly,1960,58.3904942969569
916,estimates,male,5yearly,1960,54.6175151486625
916,estimates,female,5yearly,1965,60.6763831584966
916,estimates,male,5yearly,1965,56.6428189500088
916,estimates,female,5yearly,1970,63.4859517046746
916,estimates,male,5yearly,1970,58.7404542934261
916,estimates,female,5yearly,1975,66.6804826953368
916,estimates,male,5yearly,1975,60.6703358707192
916,estimates,female,5yearly,1980,69.2846253992564
916,estimates,male,5yearly,1980,62.7071465762508
916,estimates,female,5yearly,1985,71.4796814464005
916,estimates,male,5yearly,1985,65.2272258881964
916,estimates,female,5yearly,1990,73.4364386576588
916,estimates,male,5yearly,1990,67.6901632854178
916,estimates,female,5yearly,1995,75.0856426331516
916,estimates,male,5yearly,1995,69.9297944702054
916,estimates,female,5yearly,2000,76.4911179179802
916,estimates,male,5yearly,2000,71.2516398374309
916,estimates,female,5yearly,2005,77.4441006399031
916,estimates,male,5yearly,2005,72.2557631050234
916,estimates,female,5yearly,2010,78.4200853915167
916,estimates,male,5yearly,2010,73.1725390083634
916,medium_variant,female,5yearly,2015,79.3568159807012
916,medium_variant,male,5yearly,2015,74.2029820101793
916,medium_variant,female,5yearly,2020,80.2266166951178
916,medium_variant,male,5yearly,2020,75.2245493370144
916,medium_variant,female,5yearly,2025,81.0388831582601
916,medium_variant,male,5yearly,2025,76.2267240230652
916,medium_variant,female,5yearly,2030,81.8063955932535
916,medium_variant,male,5yearly,2030,77.2383135024104
916,medium_variant,female,5yearly,2035,82.5350213838116
916,medium_variant,male,5yearly,2035,78.2467629477692
916,medium_variant,female,5yearly,2040,83.2461407610127
916,medium_variant,male,5yearly,2040,79.2416048001969
916,medium_variant,female,5yearly,2045,83.9184780039882
916,medium_variant,male,5yearly,2045,80.2492464795498
916,medium_variant,female,5yearly,2050,84.575558399605
916,medium_variant,male,5yearly,2050,81.2295149105123
916,medium_variant,female,5yearly,2055,85.2091459071699
916,medium_variant,male,5yearly,2055,82.1380829019659
916,medium_variant,female,5yearly,2060,85.8289349389892
916,medium_variant,male,5yearly,2060,82.9373873934473
916,medium_variant,female,5yearly,2065,86.4246469202844
916,medium_variant,male,5yearly,2065,83.6613415361611
916,medium_variant,female,5yearly,2070,87.0108853992902
916,medium_variant,male,5yearly,2070,84.3050335278141
916,medium_variant,female,5yearly,2075,87.5925781223595
916,medium_variant,male,5yearly,2075,84.9217556457029
916,medium_variant,female,5yearly,2080,88.1641736919042
916,medium_variant,male,5yearly,2080,85.5001701803465
916,medium_variant,female,5yearly,2085,88.7236062089258
916,medium_variant,male,5yearly,2085,86.0678159754543
916,medium_variant,female,5yearly,2090,89.3038117663254
916,medium_variant,male,5yearly,2090,86.6280087128644
916,medium_variant,female,5yearly,2095,89.8611513035452
916,medium_variant,male,5yearly,2095,87.1743502882149
916,estimates,female,5yearly,Regi,Central America
916,estimates,male,5yearly,Regi,Central America
916,medium_variant,female,5yearly,Regi,Central America
916,medium_variant,male,5yearly,Regi,Central America
