variant,region,year,totaldeaths,gender
Estimates,911,1950,34.384,male
Estimates,911,1950,37.528,female
Estimates,911,1951,34.571,male
Estimates,911,1951,37.708,female
Estimates,911,1952,34.943,male
Estimates,911,1952,38.067,female
Estimates,911,1953,35.309,male
Estimates,911,1953,38.42,female
Estimates,911,1954,35.67,male
Estimates,911,1954,38.767,female
Estimates,911,1955,36.025,male
Estimates,911,1955,39.109,female
Estimates,911,1956,36.376,male
Estimates,911,1956,39.446,female
Estimates,911,1957,36.721,male
Estimates,911,1957,39.777,female
Estimates,911,1958,37.063,male
Estimates,911,1958,40.104,female
Estimates,911,1959,37.402,male
Estimates,911,1959,40.427,female
Estimates,911,1960,37.739,male
Estimates,911,1960,40.748,female
Estimates,911,1961,38.078,male
Estimates,911,1961,41.069,female
Estimates,911,1962,38.419,male
Estimates,911,1962,41.392,female
Estimates,911,1963,38.766,male
Estimates,911,1963,41.72,female
Estimates,911,1964,39.12,male
Estimates,911,1964,42.056,female
Estimates,911,1965,39.488,male
Estimates,911,1965,42.407,female
Estimates,911,1966,39.873,male
Estimates,911,1966,42.781,female
Estimates,911,1967,40.275,male
Estimates,911,1967,43.178,female
Estimates,911,1968,40.691,male
Estimates,911,1968,43.595,female
Estimates,911,1969,41.118,male
Estimates,911,1969,44.027,female
Estimates,911,1970,41.545,male
Estimates,911,1970,44.464,female
Estimates,911,1971,41.965,male
Estimates,911,1971,44.893,female
Estimates,911,1972,42.369,male
Estimates,911,1972,45.304,female
Estimates,911,1973,42.75,male
Estimates,911,1973,45.688,female
Estimates,911,1974,43.107,male
Estimates,911,1974,46.043,female
Estimates,911,1975,43.442,male
Estimates,911,1975,46.372,female
Estimates,911,1976,43.761,male
Estimates,911,1976,46.68,female
Estimates,911,1977,44.07,male
Estimates,911,1977,46.978,female
Estimates,911,1978,44.376,male
Estimates,911,1978,47.274,female
Estimates,911,1979,44.677,male
Estimates,911,1979,47.569,female
Estimates,911,1980,44.971,male
Estimates,911,1980,47.862,female
Estimates,911,1981,45.251,male
Estimates,911,1981,48.151,female
Estimates,911,1982,45.51,male
Estimates,911,1982,48.43,female
Estimates,911,1983,45.745,male
Estimates,911,1983,48.693,female
Estimates,911,1984,45.956,male
Estimates,911,1984,48.939,female
Estimates,911,1985,46.145,male
Estimates,911,1985,49.168,female
Estimates,911,1986,46.321,male
Estimates,911,1986,49.384,female
Estimates,911,1987,46.489,male
Estimates,911,1987,49.589,female
Estimates,911,1988,46.65,male
Estimates,911,1988,49.781,female
Estimates,911,1989,46.805,male
Estimates,911,1989,49.955,female
Estimates,911,1990,46.939,male
Estimates,911,1990,50.094,female
Estimates,911,1991,47.035,male
Estimates,911,1991,50.177,female
Estimates,911,1992,47.084,male
Estimates,911,1992,50.198,female
Estimates,911,1993,47.093,male
Estimates,911,1993,50.165,female
Estimates,911,1994,47.074,male
Estimates,911,1994,50.091,female
Estimates,911,1995,47.055,male
Estimates,911,1995,50.008,female
Estimates,911,1996,47.068,male
Estimates,911,1996,49.951,female
Estimates,911,1997,47.143,male
Estimates,911,1997,49.951,female
Estimates,911,1998,47.299,male
Estimates,911,1998,50.036,female
Estimates,911,1999,47.548,male
Estimates,911,1999,50.217,female
Estimates,911,2000,47.891,male
Estimates,911,2000,50.501,female
Estimates,911,2001,48.32,male
Estimates,911,2001,50.883,female
Estimates,911,2002,48.81,male
Estimates,911,2002,51.335,female
Estimates,911,2003,49.335,male
Estimates,911,2003,51.833,female
Estimates,911,2004,49.881,male
Estimates,911,2004,52.362,female
Estimates,911,2005,50.435,male
Estimates,911,2005,52.911,female
Estimates,911,2006,50.99,male
Estimates,911,2006,53.471,female
Estimates,911,2007,51.541,male
Estimates,911,2007,54.04,female
Estimates,911,2008,52.086,male
Estimates,911,2008,54.609,female
Estimates,911,2009,52.614,male
Estimates,911,2009,55.169,female
Estimates,911,2010,53.12,male
Estimates,911,2010,55.711,female
Estimates,911,2011,53.597,male
Estimates,911,2011,56.226,female
Estimates,911,2012,54.047,male
Estimates,911,2012,56.716,female
Estimates,911,2013,54.473,male
Estimates,911,2013,57.181,female
Estimates,911,2014,54.875,male
Estimates,911,2014,57.62,female
Estimates,911,2015,55.257,male
Estimates,911,2015,58.036,female
Medium_variant,911,2015,55.257,male
Medium_variant,911,2015,58.036,female
Medium_variant,911,2016,55.622,male
Medium_variant,911,2016,58.432,female
Medium_variant,911,2017,55.977,male
Medium_variant,911,2017,58.815,female
Medium_variant,911,2018,56.325,male
Medium_variant,911,2018,59.192,female
Medium_variant,911,2019,56.673,male
Medium_variant,911,2019,59.566,female
Medium_variant,911,2020,57.021,male
Medium_variant,911,2020,59.942,female
Medium_variant,911,2021,57.372,male
Medium_variant,911,2021,60.322,female
Medium_variant,911,2022,57.725,male
Medium_variant,911,2022,60.707,female
Medium_variant,911,2023,58.077,male
Medium_variant,911,2023,61.094,female
Medium_variant,911,2024,58.43,male
Medium_variant,911,2024,61.485,female
Medium_variant,911,2025,58.783,male
Medium_variant,911,2025,61.879,female
Medium_variant,911,2026,59.134,male
Medium_variant,911,2026,62.275,female
Medium_variant,911,2027,59.484,male
Medium_variant,911,2027,62.669,female
Medium_variant,911,2028,59.829,male
Medium_variant,911,2028,63.061,female
Medium_variant,911,2029,60.171,male
Medium_variant,911,2029,63.45,female
Medium_variant,911,2030,60.508,male
Medium_variant,911,2030,63.833,female
Medium_variant,911,2031,60.842,male
Medium_variant,911,2031,64.21,female
Medium_variant,911,2032,61.171,male
Medium_variant,911,2032,64.583,female
Medium_variant,911,2033,61.498,male
Medium_variant,911,2033,64.951,female
Medium_variant,911,2034,61.822,male
Medium_variant,911,2034,65.314,female
Medium_variant,911,2035,62.142,male
Medium_variant,911,2035,65.672,female
Medium_variant,911,2036,62.459,male
Medium_variant,911,2036,66.024,female
Medium_variant,911,2037,62.771,male
Medium_variant,911,2037,66.372,female
Medium_variant,911,2038,63.08,male
Medium_variant,911,2038,66.715,female
Medium_variant,911,2039,63.384,male
Medium_variant,911,2039,67.052,female
Medium_variant,911,2040,63.681,male
Medium_variant,911,2040,67.384,female
Medium_variant,911,2041,63.973,male
Medium_variant,911,2041,67.709,female
Medium_variant,911,2042,64.257,male
Medium_variant,911,2042,68.026,female
Medium_variant,911,2043,64.534,male
Medium_variant,911,2043,68.337,female
Medium_variant,911,2044,64.804,male
Medium_variant,911,2044,68.641,female
Medium_variant,911,2045,65.068,male
Medium_variant,911,2045,68.939,female
Medium_variant,911,2046,65.326,male
Medium_variant,911,2046,69.23,female
Medium_variant,911,2047,65.58,male
Medium_variant,911,2047,69.517,female
Medium_variant,911,2048,65.829,male
Medium_variant,911,2048,69.8,female
Medium_variant,911,2049,66.075,male
Medium_variant,911,2049,70.079,female
Medium_variant,911,2050,66.318,male
Medium_variant,911,2050,70.355,female
Medium_variant,911,2051,66.559,male
Medium_variant,911,2051,70.628,female
Medium_variant,911,2052,66.797,male
Medium_variant,911,2052,70.898,female
Medium_variant,911,2053,67.032,male
Medium_variant,911,2053,71.164,female
Medium_variant,911,2054,67.264,male
Medium_variant,911,2054,71.427,female
Medium_variant,911,2055,67.491,male
Medium_variant,911,2055,71.684,female
Medium_variant,911,2056,67.713,male
Medium_variant,911,2056,71.934,female
Medium_variant,911,2057,67.929,male
Medium_variant,911,2057,72.178,female
Medium_variant,911,2058,68.139,male
Medium_variant,911,2058,72.415,female
Medium_variant,911,2059,68.344,male
Medium_variant,911,2059,72.645,female
Medium_variant,911,2060,68.543,male
Medium_variant,911,2060,72.87,female
Medium_variant,911,2061,68.737,male
Medium_variant,911,2061,73.093,female
Medium_variant,911,2062,68.929,male
Medium_variant,911,2062,73.313,female
Medium_variant,911,2063,69.119,male
Medium_variant,911,2063,73.534,female
Medium_variant,911,2064,69.309,male
Medium_variant,911,2064,73.753,female
Medium_variant,911,2065,69.498,male
Medium_variant,911,2065,73.971,female
Medium_variant,911,2066,69.687,male
Medium_variant,911,2066,74.186,female
Medium_variant,911,2067,69.876,male
Medium_variant,911,2067,74.396,female
Medium_variant,911,2068,70.065,male
Medium_variant,911,2068,74.6,female
Medium_variant,911,2069,70.253,male
Medium_variant,911,2069,74.796,female
Medium_variant,911,2070,70.44,male
Medium_variant,911,2070,74.985,female
Medium_variant,911,2071,70.625,male
Medium_variant,911,2071,75.168,female
Medium_variant,911,2072,70.808,male
Medium_variant,911,2072,75.345,female
Medium_variant,911,2073,70.988,male
Medium_variant,911,2073,75.518,female
Medium_variant,911,2074,71.166,male
Medium_variant,911,2074,75.687,female
Medium_variant,911,2075,71.34,male
Medium_variant,911,2075,75.854,female
Medium_variant,911,2076,71.513,male
Medium_variant,911,2076,76.019,female
Medium_variant,911,2077,71.684,male
Medium_variant,911,2077,76.182,female
Medium_variant,911,2078,71.853,male
Medium_variant,911,2078,76.344,female
Medium_variant,911,2079,72.022,male
Medium_variant,911,2079,76.503,female
